filter,function_type,function_key,setup_code,assign_to_key,comments
traffic,constant,f_traff_growth,0.02,,default traffic growth rate
flushing,constant,f_flush_aadi_min,1,,"Minimum  allowed Age At Distress Initiation (AADI), in years, for Flushing"
flushing,constant,f_flush_aadi_max,12,,"Maximum  allowed Age At Distress Initiation (AADI), in years, for Flushing"
flushing,constant,f_flush_init_min,0.5,,"Minimum  percent allowed for Initial Percent at initiation, for Flushing"
flushing,constant,f_flush_init_max,10,,"Maximum  percent allowed for Initial Percent at initiation, for Flushing"
flushing,constant,f_flush_t100_min,8,,"Minimum  Time to 100 percent distress (T100), in years, for Flushing"
flushing,constant,f_flush_t100_max,100,,"Maximum  Time to 100 percent distress (T100), in years, for Flushing"
flushing,constant,f_flush_init_exp,1.5,,"Expected initial percent distress at initiation, for Flushing"
scabbing,constant,f_scabb_aadi_min,1,,"Minimum  allowed Age At Distress Initiation (AADI), in years, for Scabbing"
scabbing,constant,f_scabb_aadi_max,12,,"Maximum  allowed Age At Distress Initiation (AADI), in years, for Scabbing"
scabbing,constant,f_scabb_init_min,0.5,,"Minimum  percent allowed for Initial Percent at initiation, for Scabbing"
scabbing,constant,f_scabb_init_max,10,,"Maximum  percent allowed for Initial Percent at initiation, for Scabbing"
scabbing,constant,f_scabb_t100_min,8,,"Minimum  Time to 100 percent distress (T100), in years, for Scabbing"
scabbing,constant,f_scabb_t100_max,100,,"Maximum  Time to 100 percent distress (T100), in years, for Scabbing"
scabbing,constant,f_scabb_init_exp,0.88,,"Expected initial percent distress at initiation, for Scabbing"
lt_cracks,constant,f_lt_cracks_aadi_min,1,,"Minimum  allowed Age At Distress Initiation (AADI), in years, for LTCracks"
lt_cracks,constant,f_lt_cracks_aadi_max,12,,"Maximum  allowed Age At Distress Initiation (AADI), in years, for LTCracks"
lt_cracks,constant,f_lt_cracks_init_min,0.5,,"Minimum  percent allowed for Initial Percent at initiation, for LTCracks"
lt_cracks,constant,f_lt_cracks_init_max,10,,"Maximum  percent allowed for Initial Percent at initiation, for LTCracks"
lt_cracks,constant,f_lt_cracks_t100_min,8,,"Minimum  Time to 100 percent distress (T100), in years, for LTCracks"
lt_cracks,constant,f_lt_cracks_t100_max,100,,"Maximum  Time to 100 percent distress (T100), in years, for LTCracks"
lt_cracks,constant,f_lt_cracks_init_exp,1.5,,"Expected initial percent distress at initiation, for LTCracks"
mesh_cracks,constant,f_mesh_cracks_aadi_min,1,,"Minimum  allowed Age At Distress Initiation (AADI), in years, for Mesh Cracks"
mesh_cracks,constant,f_mesh_cracks_aadi_max,12,,"Maximum  allowed Age At Distress Initiation (AADI), in years, for Mesh Cracks"
mesh_cracks,constant,f_mesh_cracks_init_min,0.5,,"Minimum  percent allowed for Initial Percent at initiation, for Mesh Cracks"
mesh_cracks,constant,f_mesh_cracks_init_max,10,,"Maximum  percent allowed for Initial Percent at initiation, for Mesh Cracks"
mesh_cracks,constant,f_mesh_cracks_t100_min,8,,"Minimum  Time to 100 percent distress (T100), in years, for Mesh Cracks"
mesh_cracks,constant,f_mesh_cracks_t100_max,100,,"Maximum  Time to 100 percent distress (T100), in years, for Mesh Cracks"
mesh_cracks,constant,f_mesh_cracks_init_exp,0.88,,"Expected initial percent distress at initiation, for Mesh Cracks"
shoving,constant,f_shove_aadi_min,1,,"Minimum  allowed Age At Distress Initiation (AADI), in years, for Shoving"
shoving,constant,f_shove_aadi_max,12,,"Maximum  allowed Age At Distress Initiation (AADI), in years, for Shoving"
shoving,constant,f_shove_init_min,0.5,,"Minimum  percent allowed for Initial Percent at initiation, for Shoving"
shoving,constant,f_shove_init_max,10,,"Maximum  percent allowed for Initial Percent at initiation, for Shoving"
shoving,constant,f_shove_t100_min,8,,"Minimum  Time to 100 percent distress (T100), in years, for Shoving"
shoving,constant,f_shove_t100_max,100,,"Maximum  Time to 100 percent distress (T100), in years, for Shoving"
shoving,constant,f_shove_init_exp,0.7,,"Expected initial percent distress at initiation, for Shoving"
potholes,constant,f_poth_aadi_min,1,,"Minimum  allowed Age At Distress Initiation (AADI), in years, for Potholes"
potholes,constant,f_poth_aadi_max,12,,"Maximum  allowed Age At Distress Initiation (AADI), in years, for Potholes"
potholes,constant,f_poth_init_min,0.05,,"Minimum  percent allowed for Initial Percent at initiation, for Potholes"
potholes,constant,f_poth_init_max,1,,"Maximum  percent allowed for Initial Percent at initiation, for Potholes"
potholes,constant,f_poth_t100_min,8,,"Minimum  Time to 100 percent distress (T100), in years, for Potholes"
potholes,constant,f_poth_t100_max,100,,"Maximum  Time to 100 percent distress (T100), in years, for Potholes"
potholes,constant,f_poth_init_exp,0.1,,"Expected initial percent distress at initiation, for Potholes"
