"area_name","section_id","section_name","loc_from","loc_to","lane","length","score_rank","defects_reason","n_deficits","naasra_85","surf_thick","surf_layer_no","surf_material","surf_function","surf_width","rut_lwpmean_85","rut_rwpmean_85","onrc","pave_type","road_use","no_of_bus_routes","no_of_lanes","urban_rural","nzta_hierarchy","adt","heavy_perc","onf_street_category","fwd_d0_85","fwd_sci_85","onf_movement_rank","onf_freight","surf_class","area_m2","pct_poth","pct_flush","pct_allig","pct_lt_crax","pct_shove","pct_rut","pct_scabb","maint_pa_qty","maint_pa_pctlast","maint_su_qty","maint_su_pctlast","onrc_weight","is_roundabout","is_rehab_route","pave_use","road_class","next_surf","maint_su_count","maint_pa_count","msd_remlife_lwp","msd_remlife_rwp","struc_deficit","can_treat","authority","surf_life_expected","surf_date","pave_date","cond_survey_date","roughsegment_date","hsd_date"
"BETHLEHEM ROAD/CARMICHAEL ROAD RAB_0_id_2114",2114,"BETHLEHEM ROAD/CARMICHAEL ROAD RAB",0,68,"All","68",16.67129758,"none",0,80,50,1,"AC","R",20.1,7.55,4.55,"Primary Collector","T","Unknown",1,1,"U","PRIMARY COLLECTOR",6000,4.98,"Activity Streets",-1,-1,"M2","F5","ac",1366.8,0,0,0,0,0,0,0,0,0,0,0,50,TRUE,FALSE,5,"4","seal",-1,-1,-1,-1,-1,TRUE,"Tauranga CC",8,"2021-08-20","2007-04-26","2023-06-05","2017-12-22","2017-12-22"
"CHERTSEY KYLE ROAD_383_id_118",118,"CHERTSEY KYLE ROAD",383,517,"all","134",47.6532567,"none",0,45,8,1,"RACK","R",7,6,2,"Secondary Collector","T","NoData",0,2,"U","LOCAL",119,16,"Peri-urban Roads",867,-1,"M4","F6","seal",938,0,0,0,0,0,0,0.881834215,0,0,0,0,40,FALSE,FALSE,3,"4","seal",0,0,3.56,-1,2.35175312692229,TRUE,"Ashburton DC",12,"2022-06-12","1956-07-07","2023-10-07","2023-05-28","2019-09-08"
"REIGHTON DRIVE_146_id_505",505,"REIGHTON DRIVE",146,259,"all","113",47.6532567,"none",0,116.3,5,1,"2CHIP","R",10.3,4,7.1,"Access","T","NoData",0,2,"U","LOCAL",230,3,"Local Streets",-1,-1,"M4","F7","seal",1163.9,0,0,0,0,0,0,0.242718447,0,0,0,0,35,FALSE,FALSE,2,"4","seal",0,0,6.64,-1,-1,TRUE,"Ashburton DC",12,"2006-04-18","1956-07-07","2023-10-07","2023-06-01","2010-08-20"
"NESS ST_1382_id_5517",5517,"NESS ST",1382,1501,"All","119",57.18404613,"none",0,162.35,9,2,"2CHIP","R",13.4,6,4,"Access","T","NoData",0,2,"U","ACCESS",743,6,"Local Streets",-1,-1,"M4","F7","seal",1594.6,0,0,0,0,0,0,0.125423304,0,0,0,0,35,FALSE,TRUE,2,"unknown","seal",0,0,-1,-1,-1,TRUE,"Invercargill CC",12,"2006-11-27","1960-05-31","2021-07-22","2022-07-11","2022-07-11"
"COURTNEY ROAD_19_id_116",116,"COURTNEY ROAD",19,633,"All","614",97.58266185,"Sealed_Crack/Joint = 23 | Construction_Joint = 17.9 | Longitudinal_Cracking = 16.6 | msd_lwp_remlife = 15.1 | Mill & Fill - Fatigue Cracking = 9.5 |",5,122.2,40,1,"AC","R",8.38399056285811,2,2,"Primary Collector","T","Urban Commercial",0,2,"U","PRIMARY COLLECTOR",28000,5.46,"Urban Connectors",969.71,228.51,"M2","F5","ac",5147.77020559488,0.0278679774340579,0,37.8504672897196,38.785046728972,0,0,0.111471909736232,0,0,0,0,50,FALSE,FALSE,5,"2","seal",-1,-1,0.91,-1,3.10208333333333,TRUE,"Tauranga CC",8,"2012-05-31","2012-04-10","2023-06-01","2023-07-15","2023-07-15"
"MARONAN EALING ROAD_4215_id_370",370,"MARONAN EALING ROAD",4215,6675,"all","2460",47.6532567,"none",0,110.45,11,1,"B/S","R",6.3,5,7.1,"Secondary Collector","T","NoData",0,2,"R","COLLECTOR",140,26,"Rural Roads",989.2,-1,"M4","F6","seal",15498,0,0,1,0,1,0,0.317460317,0,0,0,0,40,FALSE,TRUE,2,"unknown","seal",0,0,4.9,-1,-1,TRUE,"Ashburton DC",12,"2018-07-15","1956-07-07","2023-10-07","2022-05-17","2010-08-20"
"MICHAEL STREET WEST_443_id_731",731,"MICHAEL STREET WEST",443,576,"all","133",88.60153257,"naasra = 100 |",1,123.15,8,1,"2CHIP","R",10.5,7.3,3,"Low Volume","T","NoData",0,2,"U","LOCAL",100,2,"Local Streets",-1,-1,"M5","F8","seal",1396.5,0,0,0,0,0,0,0,0,0,0,0,20,FALSE,FALSE,1,"5","seal",0,0,-1,-1,-1,TRUE,"Ashburton DC",12,"2016-10-13","1956-07-07","2023-10-07","2023-06-01","2019-09-08"
"LAYARD ST_446_id_5457",5457,"LAYARD ST",446,665,"All","219",98.65449303,"MILLFILL-FATIGCK = 95.8 | POTFILL-HOLES = 4.2 |",2,105.85,10,3,"CAPE","R",13.6,6,5,"Primary Collector","S","NoData",0,2,"U","PRIMARY COLLECTOR",4244,8,"Urban Connectors",-1,-1,"M3","F5","seal",2978.4,0,0,31.96347032,122.3744292,0,0,0.570776256,0,0,0,0,50,FALSE,TRUE,3,"unknown","seal",0,4,-1,-1,-1,TRUE,"Invercargill CC",12,"2008-11-26","1956-05-31","2021-07-18","2022-07-11","2022-07-11"
"COMPANY ROAD_2524_id_135",135,"COMPANY ROAD",2524,4426,"all","1902",47.6532567,"naasra = 100 |",1,53.65,10,1,"1CHIP","R",6.5,5,4,"Secondary Collector","T","NoData",0,2,"R","COLLECTOR",827,12,"Rural Connectors",763.1,-1,"M3","F6","seal",12363,0,0,36,4,0,0,5.230769231,0,0,0,0,40,FALSE,TRUE,2,"unknown","seal",0,0,12.92,-1,2.92046756818703,TRUE,"Ashburton DC",12,"2006-08-02","1956-07-07","2023-10-07","2023-06-01","2019-09-08"
"DALWOOD DR_147_id_3766",3766,"DALWOOD DR",147,340,"all","193",42.75055956,"none",0,117.05,30,1,"AC","2",7.5,2,1,"Access","T","NoData",0,2,"U","LOCAL",368,4,"Local Streets",-1,-1,"M5","F7","ac",1447.5,0,0,0,0,0,0,0,0,0,0,0,35,TRUE,TRUE,2,"1A","ac",0,0,99.9,-1,0,TRUE,"Christchurch CC",8,"2012-11-15","2012-10-28","2023-10-07","2023-06-01","2019-09-08"
"MAINWARINGS ROAD_9157_id_364",364,"MAINWARINGS ROAD",9157,9257,"all","100",91.52298851,"Stabilisation = 100 |",1,110.45,6,1,"1CHIP","R",6.5,6,7.1,"Access","T","NoData",0,2,"R","LOCAL",150,19,"Rural Roads",2076,-1,"M5","F7","seal",650,0,0,0,2,0,0,0,0,0,0,0,35,FALSE,FALSE,2,"unknown","seal",0,0,52.49,-1,1.8727841775814,TRUE,"Ashburton DC",12,"2013-08-16","1956-07-07","2023-10-07","2023-05-28","2010-08-20"
"JONAS STREET_93_id_454",454,"JONAS STREET",93,122,"all","29",62.8372234,"none",0,95.8,8,3,"2CHIP","R",13.7,7.25,7.8,"Secondary Collector","T","NoData",0,2,"U","LOCAL",1158,9.2,"NoData",-1,-1,"NoData","NoData","seal",397.3,0,0,0,0,0,0,0,0,0,0,0,40,FALSE,TRUE,2,"NoData","seal",-1,-1,-1,-1,-1,TRUE,"Timaru DC",12,"2016-07-10","1984-07-25","2021-07-14","2021-09-22","2021-09-22"
