elem_index,area_name,onrc,surf_class,treat_2022,reason_2022,comment_2022,treat_2023,reason_2023,comment_2023,treat_2024,reason_2024,comment_2024,treat_2025,reason_2025,comment_2025,treat_2026,reason_2026,comment_2026,treat_2027,reason_2027,comment_2027,treat_2028,reason_2028,comment_2028,treat_2029,reason_2029,comment_2029,treat_2030,reason_2030,comment_2030,treat_2031,reason_2031,comment_2031,treat_2032,reason_2032,comment_2032,treat_2033,reason_2033,comment_2033,treat_2034,reason_2034,comment_2034,treat_2035,reason_2035,comment_2035,treat_2036,reason_2036,comment_2036
0,BETHLEHEM ROAD/CARMICHAEL ROAD RAB_0_id_2114,Primary Collector,ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,CHERTSEY KYLE ROAD_383_id_118,Secondary Collector,seal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal,pdi =2.56; sdi =2.6; age =14.5,mesh_cracks =1.92; shoving =1.26; potholes =0.65
2,REIGHTON DRIVE_146_id_505,Access,seal,,,,,,,,,,,,,,,,,,,,,,ChipSeal,pdi =1.06; sdi =1.18; age =23.7,mesh_cracks =1.02; shoving =0.86; potholes =0.1,,,,,,,,,,,,,,,,,,,,,
3,NESS ST_1382_id_5517,Access,seal,,,,,,,,,,,,,ChipSeal,pdi =0.54; sdi =0.43; age =20.1,mesh_cracks =0.5; shoving =0.37; potholes =0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,COURTNEY ROAD_19_id_116,Primary Collector,ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,MARONAN EALING ROAD_4215_id_370,Secondary Collector,seal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal,pdi =2.66; sdi =2.23; age =14.5,mesh_cracks =3.7; shoving =2.59; potholes =0.65,,,,,,,,,,,,
6,MICHAEL STREET WEST_443_id_731,Low Volume,seal,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal,pdi =2.03; sdi =1.85; age =14.2,mesh_cracks =1.93; shoving =1.63; potholes =1.03,,,,,,,,,,,,,,,,,,
7,LAYARD ST_446_id_5457,Primary Collector,seal,,,,,,,,,,RehabCS_UH,pdi =46.56; sdi =21.83; age =17.1,mesh_cracks =71.51; shoving =0.27; potholes =0.24,SecondCoat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal,pdi =1.41; sdi =1.75; age =10,mesh_cracks =1.49; shoving =1; potholes =0.73
8,COMPANY ROAD_2524_id_135,Secondary Collector,seal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,DALWOOD DR_147_id_3766,Access,ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,MAINWARINGS ROAD_9157_id_364,Access,seal,,,,,,,,,,,,,,,,,,,,,,ChipSeal,pdi =1.73; sdi =1.23; age =16.4,mesh_cracks =1.21; shoving =1.45; potholes =0.8,,,,,,,,,,,,,,,,,,,,,
11,JONAS STREET_93_id_454,Secondary Collector,seal,,,,,,,,,,,,,,,,ChipSeal,pdi =0.76; sdi =0.63; age =11.5,mesh_cracks =1.22; shoving =0; potholes =0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,TAURIKURA DRIVE (EASTBOUND)_785_id_2139,Arterial,ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,HILLVIEW RD_0_id_1152,Secondary Collector,seal,,,,,,,,,,,,,ChipSeal,pdi =3.01; sdi =0.46; age =34.1,mesh_cracks =0.52; shoving =0.41; potholes =0.41,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal,pdi =1.51; sdi =1.85; age =8,mesh_cracks =1.35; shoving =1.11; potholes =0.55,,,
14,REDMOND STREET_206_id_490,Access,ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,SPEARGRASS GROVE (24-32)_00000,Low Volume,ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,RICHARD PEARSE DRIVE_726_id_773,Secondary Collector,seal,,,,,,,,,,,,,,,,ChipSeal,pdi =1; sdi =0.66; age =9.6,mesh_cracks =1.24; shoving =0.7; potholes =0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,SYMES ROAD_105_id_671,Low Volume,seal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal,pdi =2.14; sdi =1.99; age =29.3,mesh_cracks =2.3; shoving =1.85; potholes =1.8,,,,,,,,,
18,ARMAGH ST 1 WEST FITZGERALD AVE_576_id_116,Primary Collector,ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,BROCKWORTH PL 1 OFF DEANS AVE_145_id_363,Low Volume,block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,RANDOLPH ST_365_id_1980,Access,seal,,,,SecondCoat,pdi =0.73; sdi =0.99; age =15.4,mesh_cracks =1.94; shoving =0; potholes =0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal,pdi =1.77; sdi =2.45; age =10,mesh_cracks =1.75; shoving =1.49; potholes =1.09,,,,,,
21,BLACK BEECH ST. SOUTH_00000,Low Volume,seal,,,,,,,,,,,,,,,,,,,ChipSeal,pdi =0.95; sdi =0.73; age =15.8,mesh_cracks =0.81; shoving =0.68; potholes =0.68,,,,,,,,,,,,,,,,,,,,,,,,
22,GEORGE ST_0_id_5373,Access,seal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal,pdi =3.04; sdi =0.99; age =15.1,mesh_cracks =1.79; shoving =1.08; potholes =0,,,,,,,,,
23,KELVIN ST_0_id_5434,Primary Collector,ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,STAUNTON RD_123_id_5186,Access,seal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal,pdi =2.16; sdi =2.01; age =26.1,mesh_cracks =2.34; shoving =1.86; potholes =1.81,,,,,,,,,
25,TUARANGI ROAD_500_id_602,Low Volume,seal,,,,,,,,,,,,,,,,,,,ChipSeal,pdi =0.87; sdi =1.27; age =14.5,mesh_cracks =0.79; shoving =0.67; potholes =0.67,,,,,,,,,,,,,,,,,,,,,,,,
26,STEAD ST_2315_id_5130,Arterial,ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,KERRIGAN CRESCENT_00003,Low Volume,ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,BANK ST_00000,Secondary Collector,seal,,,,,,,,,,,,,ChipSeal,pdi =0.9; sdi =1.22; age =10.1,mesh_cracks =1.2; shoving =1.06; potholes =0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,FORTH ST_130_id_5366,Secondary Collector,ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,TAIPARI STREET_593_id_568,Secondary Collector,seal,,,,,,,,,,,,,,,,ChipSeal,pdi =0.76; sdi =0.57; age =17.5,mesh_cracks =0.66; shoving =0.52; potholes =0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,OLIVE STREET_7_id_289,Access,seal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,CASHMERE RD 1 EAST HENDERSONS RD_1840_id_457,Arterial,ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,MARONAN ROAD_16550_id_371,Secondary Collector,seal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal,pdi =2.24; sdi =2.04; age =13.4,mesh_cracks =2.83; shoving =1.44; potholes =0.81,,,,,,
34,GALLAGHER DR_0_id_3989,Secondary Collector,seal,,,,SecondCoat,pdi =0; sdi =0; age =8.4,mesh_cracks =0; shoving =0; potholes =0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal,pdi =1.95; sdi =2.72; age =11,mesh_cracks =1.9; shoving =1.65; potholes =1.32,,,
35,BEACH ROAD EAST_300_id_5069,Primary Collector,seal,,,,,,,,,,ChipSeal,pdi =1.16; sdi =0.29; age =15.7,mesh_cracks =0.38; shoving =0.24; potholes =0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal,pdi =1.23; sdi =2.26; age =10,mesh_cracks =1.54; shoving =0.84; potholes =0.4
36,LARK PLACE_5_id_2082,Low Volume,ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,KOTARE LANE_126_id_5715,Low Volume,ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,MEANDER DRIVE_577_id_385,Low Volume,ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,WIGRAM RD1_1200_id_2621,Arterial,seal,,,,,,,,,,ChipSeal,pdi =3.75; sdi =4.27; age =9.5,mesh_cracks =10.84; shoving =1.01; potholes =0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal,pdi =9.73; sdi =10.66; age =10,mesh_cracks =29.39; shoving =1.33; potholes =0.74
40,RICHARD PEARSE A.L._8_id_1043,Low Volume,seal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal,pdi =3.47; sdi =1.71; age =21.5,mesh_cracks =2.69; shoving =0; potholes =0
41,WICKHAM PLACE_178_id_663,Low Volume,ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,AITKEN STREET_681_id_8,Access,seal,,,,,,,,,,,,,,,,,,,ChipSeal,pdi =0.93; sdi =1.01; age =27.5,mesh_cracks =0.85; shoving =0.69; potholes =0.61,,,,,,,,,,,,,,,,,,,,,,,,
43,OWLES TCE_388_id_1819,Primary Collector,seal,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal,pdi =1.91; sdi =1.6; age =9.3,mesh_cracks =1.2; shoving =0.7; potholes =0.1,,,,,,,,,,,,,,,,,,
44,HOODS ROAD_99_id_288,Secondary Collector,seal,,,,ChipSeal,pdi =6.2; sdi =5.41; age =9.5,mesh_cracks =17; shoving =1; potholes =0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal,pdi =4.71; sdi =5.45; age =10,mesh_cracks =13.48; shoving =0.82; potholes =0.23,,,,,,
45,THE PARADE_00000,Access,seal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal,pdi =3.01; sdi =1.8; age =15.1,mesh_cracks =1.92; shoving =1.82; potholes =0.81,,,,,,
