elem_index,area_name,onrc,surf_class,treat_2022,reason_2022,comment_2022,treat_2023,reason_2023,comment_2023,treat_2024,reason_2024,comment_2024,treat_2025,reason_2025,comment_2025,treat_2026,reason_2026,comment_2026,treat_2027,reason_2027,comment_2027,treat_2028,reason_2028,comment_2028,treat_2029,reason_2029,comment_2029,treat_2030,reason_2030,comment_2030,treat_2031,reason_2031,comment_2031,treat_2032,reason_2032,comment_2032,treat_2033,reason_2033,comment_2033,treat_2034,reason_2034,comment_2034,treat_2035,reason_2035,comment_2035,treat_2036,reason_2036,comment_2036
0,BETHLEHEM ROAD/CARMICHAEL ROAD RAB_0_id_2114,Primary Collector,ac,,,,,,,,,,,,,,,,,,,,,,,,,ThinAC,pdi =1.91; sdi =0.98; age =9.4,mesh_cracks =2.32; shoving =0.7; potholes =0.1,,,,,,,,,,,,,,,,,,
1,CHERTSEY KYLE ROAD_383_id_118,Secondary Collector,seal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal,pdi =2.11; sdi =2.27; age =13.5,mesh_cracks =1.7; shoving =1.1; potholes =0.49,,,
2,REIGHTON DRIVE_146_id_505,Access,seal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,NESS ST_1382_id_5517,Access,seal,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal,pdi =2.03; sdi =1.59; age =24.1,mesh_cracks =1.59; shoving =1.09; potholes =1.06,,,,,,,,,,,,,,,,,,
4,COURTNEY ROAD_19_id_116,Primary Collector,ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,MARONAN EALING ROAD_4215_id_370,Secondary Collector,seal,,,,,,,,,,,,,,,,ChipSeal,pdi =1.49; sdi =1.03; age =9.5,mesh_cracks =2.22; shoving =1.52; potholes =0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,MICHAEL STREET WEST_443_id_731,Low Volume,seal,,,,,,,,,,,,,,,,,,,ChipSeal,pdi =1.49; sdi =1.45; age =12.2,mesh_cracks =1.51; shoving =1.26; potholes =0.66,,,,,,,,,,,,,,,,,,,,,,,,
7,LAYARD ST_446_id_5457,Primary Collector,seal,,,,,,,,,,,,,RehabCS_UH,pdi =50.13; sdi =25.2; age =18.1,mesh_cracks =82.32; shoving =0.44; potholes =0.38,SecondCoat,pdi =0; sdi =0; age =0,mesh_cracks =0; shoving =0; potholes =0,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,COMPANY ROAD_2524_id_135,Secondary Collector,seal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,DALWOOD DR_147_id_3766,Access,ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ThinAC,pdi =2.33; sdi =0; age =23.1,mesh_cracks =0; shoving =0; potholes =0,,,
