elem_index,area_name,onrc,surf_class,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037
0,BETHLEHEM ROAD/CARMICHAEL ROAD RAB_0_id_2114,Primary Collector,ac,6000,6120,6242.4,6367.2,6494.6,6624.5,6757,6892.1,7030,7170.6,7314,7460.2,7609.5,7761.6,7916.9,8075.2
1,CHERTSEY KYLE ROAD_383_id_118,Secondary Collector,seal,119,121.4,123.8,126.3,128.8,131.4,134,136.7,139.4,142.2,145.1,148,150.9,153.9,157,160.2
2,REIGHTON DRIVE_146_id_505,Access,seal,230,234.6,239.3,244.1,249,253.9,259,264.2,269.5,274.9,280.4,286,291.7,297.5,303.5,309.5
3,NESS ST_1382_id_5517,Access,seal,743,757.9,773,788.5,804.2,820.3,836.7,853.5,870.5,888,905.7,923.8,942.3,961.1,980.4,1000
4,COURTNEY ROAD_19_id_116,Primary Collector,ac,28000,28560,29131.2,29713.8,30308.1,30914.3,31532.5,32163.2,32806.5,33462.6,34131.8,34814.5,35510.8,36221,36945.4,37684.3
5,MARONAN EALING ROAD_4215_id_370,Secondary Collector,seal,140,142.8,145.7,148.6,151.5,154.6,157.7,160.8,164,167.3,170.7,174.1,177.6,181.1,184.7,188.4
6,MICHAEL STREET WEST_443_id_731,Low Volume,seal,100,102,104,106.1,108.2,110.4,112.6,114.9,117.2,119.5,121.9,124.3,126.8,129.4,131.9,134.6
7,LAYARD ST_446_id_5457,Primary Collector,seal,4244,4328.9,4415.5,4503.8,4593.8,4685.7,4779.4,4875,4972.5,5072,5173.4,5276.9,5382.4,5490.1,5599.9,5711.9
8,COMPANY ROAD_2524_id_135,Secondary Collector,seal,827,843.5,860.4,877.6,895.2,913.1,931.3,950,969,988.3,1008.1,1028.3,1048.8,1069.8,1091.2,1113
9,DALWOOD DR_147_id_3766,Access,ac,368,375.4,382.9,390.5,398.3,406.3,414.4,422.7,431.2,439.8,448.6,457.6,466.7,476,485.6,495.3
10,MAINWARINGS ROAD_9157_id_364,Access,seal,150,153,156.1,159.2,162.4,165.6,168.9,172.3,175.7,179.3,182.8,186.5,190.2,194,197.9,201.9
11,JONAS STREET_93_id_454,Secondary Collector,seal,1158,1181.2,1204.8,1228.9,1253.5,1278.5,1304.1,1330.2,1356.8,1383.9,1411.6,1439.8,1468.6,1498,1528,1558.5
12,TAURIKURA DRIVE (EASTBOUND)_785_id_2139,Arterial,ac,1700,1734,1768.7,1804.1,1840.1,1876.9,1914.5,1952.8,1991.8,2031.7,2072.3,2113.7,2156,2199.1,2243.1,2288
13,HILLVIEW RD_0_id_1152,Secondary Collector,seal,325,331.5,338.1,344.9,351.8,358.8,366,373.3,380.8,388.4,396.2,404.1,412.2,420.4,428.8,437.4
14,REDMOND STREET_206_id_490,Access,ac,174,177.5,181,184.7,188.3,192.1,196,199.9,203.9,207.9,212.1,216.3,220.7,225.1,229.6,234.2
15,SPEARGRASS GROVE (24-32)_00000,Low Volume,ac,39,39.8,40.6,41.4,42.2,43.1,43.9,44.8,45.7,46.6,47.5,48.5,49.5,50.5,51.5,52.5
16,RICHARD PEARSE DRIVE_726_id_773,Secondary Collector,seal,1493,1522.9,1553.3,1584.4,1616.1,1648.4,1681.4,1715,1749.3,1784.3,1820,1856.4,1893.5,1931.4,1970,2009.4
17,SYMES ROAD_105_id_671,Low Volume,seal,50,51,52,53.1,54.1,55.2,56.3,57.4,58.6,59.8,60.9,62.2,63.4,64.7,66,67.3
18,ARMAGH ST 1 WEST FITZGERALD AVE_576_id_116,Primary Collector,ac,3000,3060,3121.2,3183.6,3247.3,3312.2,3378.5,3446.1,3515,3585.3,3657,3730.1,3804.7,3880.8,3958.4,4037.6
19,BROCKWORTH PL 1 OFF DEANS AVE_145_id_363,Low Volume,block,372,379.4,387,394.8,402.7,410.7,418.9,427.3,435.9,444.6,453.5,462.5,471.8,481.2,490.8,500.7
20,RANDOLPH ST_365_id_1980,Access,seal,644,656.9,670,683.4,697.1,711,725.2,739.8,754.5,769.6,785,800.7,816.7,833.1,849.7,866.7
21,BLACK BEECH ST. SOUTH_00000,Low Volume,seal,370,377.4,384.9,392.6,400.5,408.5,416.7,425,433.5,442.2,451,460,469.2,478.6,488.2,498
22,GEORGE ST_0_id_5373,Access,seal,581,592.6,604.5,616.6,628.9,641.5,654.3,667.4,680.7,694.3,708.2,722.4,736.8,751.6,766.6,781.9
23,KELVIN ST_0_id_5434,Primary Collector,ac,5670,5783.4,5899.1,6017,6137.4,6260.1,6385.3,6513,6643.3,6776.2,6911.7,7049.9,7190.9,7334.7,7481.4,7631.1
24,STAUNTON RD_123_id_5186,Access,seal,78,79.6,81.2,82.8,84.4,86.1,87.8,89.6,91.4,93.2,95.1,97,98.9,100.9,102.9,105
25,TUARANGI ROAD_500_id_602,Low Volume,seal,140,142.8,145.7,148.6,151.5,154.6,157.7,160.8,164,167.3,170.7,174.1,177.6,181.1,184.7,188.4
26,STEAD ST_2315_id_5130,Arterial,ac,9667,9860.3,10057.5,10258.7,10463.9,10673.1,10886.6,11104.3,11326.4,11553,11784,12019.7,12260.1,12505.3,12755.4,13010.5
27,KERRIGAN CRESCENT_00003,Low Volume,ac,101,103,105.1,107.2,109.3,111.5,113.7,116,118.3,120.7,123.1,125.6,128.1,130.7,133.3,135.9
28,BANK ST_00000,Secondary Collector,seal,815,831.3,847.9,864.9,882.2,899.8,917.8,936.2,954.9,974,993.5,1013.4,1033.6,1054.3,1075.4,1096.9
29,FORTH ST_130_id_5366,Secondary Collector,ac,429,437.6,446.3,455.3,464.4,473.7,483.1,492.8,502.6,512.7,522.9,533.4,544.1,555,566.1,577.4
30,TAIPARI STREET_593_id_568,Secondary Collector,seal,716,730.3,744.9,759.8,775,790.5,806.3,822.5,838.9,855.7,872.8,890.3,908.1,926.2,944.7,963.6
31,OLIVE STREET_7_id_289,Access,seal,215,219.3,223.7,228.2,232.7,237.4,242.1,247,251.9,256.9,262.1,267.3,272.7,278.1,283.7,289.4
32,CASHMERE RD 1 EAST HENDERSONS RD_1840_id_457,Arterial,ac,10973,11192.5,11416.3,11644.6,11877.5,12115.1,12357.4,12604.5,12856.6,13113.8,13376,13643.5,13916.4,14194.7,14478.6,14768.2
33,MARONAN ROAD_16550_id_371,Secondary Collector,seal,1010,1030.2,1050.8,1071.8,1093.3,1115.1,1137.4,1160.2,1183.4,1207,1231.2,1255.8,1280.9,1306.5,1332.7,1359.3
34,GALLAGHER DR_0_id_3989,Secondary Collector,seal,400,408,416.2,424.5,433,441.6,450.5,459.5,468.7,478,487.6,497.3,507.3,517.4,527.8,538.3
35,BEACH ROAD EAST_300_id_5069,Primary Collector,seal,1200,1224,1248.5,1273.4,1298.9,1324.9,1351.4,1378.4,1406,1434.1,1462.8,1492,1521.9,1552.3,1583.4,1615
36,LARK PLACE_5_id_2082,Low Volume,ac,60,61.2,62.4,63.7,64.9,66.2,67.6,68.9,70.3,71.7,73.1,74.6,76.1,77.6,79.2,80.8
37,KOTARE LANE_126_id_5715,Low Volume,ac,100,102,104,106.1,108.2,110.4,112.6,114.9,117.2,119.5,121.9,124.3,126.8,129.4,131.9,134.6
38,MEANDER DRIVE_577_id_385,Low Volume,ac,160,163.2,166.5,169.8,173.2,176.7,180.2,183.8,187.5,191.2,195,198.9,202.9,207,211.1,215.3
39,WIGRAM RD1_1200_id_2621,Arterial,seal,9302,9488,9677.8,9871.4,10068.8,10270.2,10475.6,10685.1,10898.8,11116.8,11339.1,11565.9,11797.2,12033.1,12273.8,12519.3
40,RICHARD PEARSE A.L._8_id_1043,Low Volume,seal,41,41.8,42.7,43.5,44.4,45.3,46.2,47.1,48,49,50,51,52,53,54.1,55.2
41,WICKHAM PLACE_178_id_663,Low Volume,ac,170,173.4,176.9,180.4,184,187.7,191.4,195.3,199.2,203.2,207.2,211.4,215.6,219.9,224.3,228.8
42,AITKEN STREET_681_id_8,Access,seal,370,377.4,384.9,392.6,400.5,408.5,416.7,425,433.5,442.2,451,460,469.2,478.6,488.2,498
43,OWLES TCE_388_id_1819,Primary Collector,seal,2500,2550,2601,2653,2706.1,2760.2,2815.4,2871.7,2929.1,2987.7,3047.5,3108.4,3170.6,3234,3298.7,3364.7
44,HOODS ROAD_99_id_288,Secondary Collector,seal,265,270.3,275.7,281.2,286.8,292.6,298.4,304.4,310.5,316.7,323,329.5,336.1,342.8,349.7,356.7
45,THE PARADE_00000,Access,seal,200,204,208.1,212.2,216.5,220.8,225.2,229.7,234.3,239,243.8,248.7,253.6,258.7,263.9,269.2
46,TAYLOR STREET (TU)_0_id_922,Access,seal,242,246.8,251.8,256.8,261.9,267.2,272.5,278,283.5,289.2,295,300.9,306.9,313.1,319.3,325.7
47,KAIMANAWA STREET_215_id_268,Access,seal,400,408,416.2,424.5,433,441.6,450.5,459.5,468.7,478,487.6,497.3,507.3,517.4,527.8,538.3
48,FORTUNE LANE_00000,Low Volume,ac,131,133.6,136.3,139,141.8,144.6,147.5,150.5,153.5,156.6,159.7,162.9,166.1,169.5,172.9,176.3
49,HASSALL STREET_851_id_390,Primary Collector,ac,2318,2364.4,2411.6,2459.9,2509.1,2559.3,2610.4,2662.7,2715.9,2770.2,2825.6,2882.1,2939.8,2998.6,3058.6,3119.7
50,SANDHURST DRIVE_433_id_1031,Arterial,ac,6500,6630,6762.6,6897.9,7035.8,7176.5,7320.1,7466.5,7615.8,7768.1,7923.5,8081.9,8243.6,8408.4,8576.6,8748.1
51,JUNCTION ROAD_2820_id_313,Access,seal,260,265.2,270.5,275.9,281.4,287.1,292.8,298.7,304.6,310.7,316.9,323.3,329.7,336.3,343.1,349.9
52,TRIPP SETTLEMENT ROAD_5850_id_953,Access,seal,100,102,104,106.1,108.2,110.4,112.6,114.9,117.2,119.5,121.9,124.3,126.8,129.4,131.9,134.6
53,QUARRY ROAD_9200_id_487,Low Volume,seal,45,45.9,46.8,47.8,48.7,49.7,50.7,51.7,52.7,53.8,54.9,56,57.1,58.2,59.4,60.6
54,OBAN ROAD_15_id_426,Access,seal,230,234.6,239.3,244.1,249,253.9,259,264.2,269.5,274.9,280.4,286,291.7,297.5,303.5,309.5
55,PEEL FOREST ROAD_10884_id_209,Secondary Collector,seal,590,601.8,613.8,626.1,638.6,651.4,664.4,677.7,691.3,705.1,719.2,733.6,748.3,763.2,778.5,794.1
56,TAIEPA RD_895_id_5154,Access,seal,430,438.6,447.4,456.3,465.4,474.8,484.2,493.9,503.8,513.9,524.2,534.7,545.3,556.3,567.4,578.7
57,WALTHAM RD 3 EAST_298_id_2553,Regional,ac,10389,10596.8,10808.7,11024.9,11245.4,11470.3,11699.7,11933.7,12172.4,12415.8,12664.1,12917.4,13175.8,13439.3,13708.1,13982.2
58,CHAPMAN STREET (METHVEN)_100_id_113,Access,seal,320,326.4,332.9,339.6,346.4,353.3,360.4,367.6,374.9,382.4,390.1,397.9,405.8,414,422.2,430.7
59,MOFFAT ROAD_618_id_397,Regional,ac,12200,12444,12692.9,12946.7,13205.7,13469.8,13739.2,14014,14294.2,14580.1,14871.7,15169.2,15472.5,15782,16097.6,16419.6
60,MAYFIELD LANE_0_id_379,Low Volume,ac,110,112.2,114.4,116.7,119.1,121.4,123.9,126.4,128.9,131.5,134.1,136.8,139.5,142.3,145.1,148
61,BRIDGE STREET (ASHBURTON)_1138_id_78,Primary Collector,seal,554,565.1,576.4,587.9,599.7,611.7,623.9,636.4,649.1,662.1,675.3,688.8,702.6,716.7,731,745.6
62,CALIFORNIA DRIVE_00168,Primary Collector,seal,3975,4054.5,4135.6,4218.3,4302.7,4388.7,4476.5,4566,4657.3,4750.5,4845.5,4942.4,5041.3,5142.1,5244.9,5349.8
63,INLAND RD_24440,Primary Collector,seal,897,914.9,933.2,951.9,970.9,990.4,1010.2,1030.4,1051,1072,1093.4,1115.3,1137.6,1160.4,1183.6,1207.2
64,RUSHFORD ROAD_2384_id_5018,Low Volume,seal,35,35.7,36.4,37.1,37.9,38.6,39.4,40.2,41,41.8,42.7,43.5,44.4,45.3,46.2,47.1
65,LOWER DOWNS ROAD_6798_id_354,Secondary Collector,seal,45,45.9,46.8,47.8,48.7,49.7,50.7,51.7,52.7,53.8,54.9,56,57.1,58.2,59.4,60.6
66,MURCHISON DR_198_id_633,Access,seal,440,448.8,457.8,466.9,476.3,485.8,495.5,505.4,515.5,525.8,536.4,547.1,558,569.2,580.6,592.2
67,VOGEL ST_98_id_5652,Access,seal,971,990.4,1010.2,1030.4,1051,1072.1,1093.5,1115.4,1137.7,1160.4,1183.6,1207.3,1231.5,1256.1,1281.2,1306.8
68,DOWNS ROAD_624_id_260,Access,seal,86,87.7,89.5,91.3,93.1,95,96.8,98.8,100.8,102.8,104.8,106.9,109.1,111.3,113.5,115.7
69,BOWMONT ST_735_id_5257,Access,seal,292,297.8,303.8,309.9,316.1,322.4,328.8,335.4,342.1,349,355.9,363.1,370.3,377.7,385.3,393
70,KAIMAI VIEW DRIVE_23_id_1126,Low Volume,ac,130,132.6,135.3,138,140.7,143.5,146.4,149.3,152.3,155.4,158.5,161.6,164.9,168.2,171.5,175
71,LONGBEACH ROAD_6475_id_349,Secondary Collector,seal,615,627.3,639.8,652.6,665.7,679,692.6,706.4,720.6,735,749.7,764.7,780,795.6,811.5,827.7
72,SHAKESPEARE AVENUE_00886,Primary Collector,seal,2573,2624.5,2676.9,2730.5,2785.1,2840.8,2897.6,2955.6,3014.7,3075,3136.5,3199.2,3263.2,3328.4,3395,3462.9
