elem_index,area_name,onrc,surf_class,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037
0,BETHLEHEM ROAD/CARMICHAEL ROAD RAB_0_id_2114,Primary Collector,ac,9.41,9.41,9.41,9.41,9.41,9.41,9.41,9.41,9.41,9.41,9.41,9.41,9.41,9.41,9.41,9.41
1,CHERTSEY KYLE ROAD_383_id_118,Secondary Collector,seal,9.94,9.94,9.94,9.94,9.94,9.94,9.94,9.94,9.94,9.94,9.94,9.94,9.94,9.94,9.37,9.37
2,REIGHTON DRIVE_146_id_505,Access,seal,23.4,23.4,23.4,23.4,23.4,23.4,23.4,11.12,11.12,11.12,11.12,11.12,11.12,11.12,11.12,11.12
3,NESS ST_1382_id_5517,Access,seal,23.4,23.4,23.4,23.4,10.52,10.52,10.52,10.52,10.52,10.52,10.52,10.52,10.52,10.52,10.52,10.52
4,COURTNEY ROAD_19_id_116,Primary Collector,ac,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6
5,MARONAN EALING ROAD_4215_id_370,Secondary Collector,seal,9.91,9.91,9.91,9.91,9.91,9.91,9.91,9.91,9.91,9.91,9.15,9.15,9.15,9.15,9.15,9.15
6,MICHAEL STREET WEST_443_id_731,Low Volume,seal,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,4.92,4.92,4.92,4.92,4.92,4.92,4.92,4.92
7,LAYARD ST_446_id_5457,Primary Collector,seal,15.1,15.1,15.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.11
8,COMPANY ROAD_2524_id_135,Secondary Collector,seal,17.4,17.4,17.4,17.4,17.4,17.4,17.4,17.4,17.4,17.4,17.4,17.4,17.4,17.4,17.4,17.4
9,DALWOOD DR_147_id_3766,Access,ac,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4
10,MAINWARINGS ROAD_9157_id_364,Access,seal,11.11,11.11,11.11,11.11,11.11,11.11,11.11,10.03,10.03,10.03,10.03,10.03,10.03,10.03,10.03,10.03
11,JONAS STREET_93_id_454,Secondary Collector,seal,23.4,23.4,23.4,23.4,23.4,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99
12,TAURIKURA DRIVE (EASTBOUND)_785_id_2139,Arterial,ac,11.7,11.7,11.7,11.7,11.7,11.7,11.7,11.7,11.7,11.7,11.7,11.7,11.7,11.7,11.7,11.7
13,HILLVIEW RD_0_id_1152,Secondary Collector,seal,30,30,30,30,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.66,4.66,4.66
14,REDMOND STREET_206_id_490,Access,ac,9.88,9.88,9.88,9.88,9.88,9.88,9.88,9.88,9.88,9.88,9.88,9.88,9.88,9.88,9.88,9.88
15,SPEARGRASS GROVE (24-32)_00000,Low Volume,ac,9.93,9.93,9.93,9.93,9.93,9.93,9.93,9.93,9.93,9.93,9.93,9.93,9.93,9.93,9.93,9.93
16,RICHARD PEARSE DRIVE_726_id_773,Secondary Collector,seal,9.72,9.72,9.72,9.72,9.72,7.69,7.69,7.69,7.69,7.69,7.69,7.69,7.69,7.69,7.69,7.69
17,SYMES ROAD_105_id_671,Low Volume,seal,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,6.58,6.58,6.58,6.58,6.58
18,ARMAGH ST 1 WEST FITZGERALD AVE_576_id_116,Primary Collector,ac,9.58,9.58,9.58,9.58,9.58,9.58,9.58,9.58,9.58,9.58,9.58,9.58,9.58,9.58,9.58,9.58
19,BROCKWORTH PL 1 OFF DEANS AVE_145_id_363,Low Volume,block,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5
20,RANDOLPH ST_365_id_1980,Access,seal,15.4,4.19,4.19,4.19,4.19,4.19,4.19,4.19,4.19,4.19,4.19,4.19,4.2,4.2,4.2,4.2
21,BLACK BEECH ST. SOUTH_00000,Low Volume,seal,10.8,10.8,10.8,10.8,10.8,10.8,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42
22,GEORGE ST_0_id_5373,Access,seal,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,10.4,10.4,10.4,10.4,10.4
23,KELVIN ST_0_id_5434,Primary Collector,ac,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1
24,STAUNTON RD_123_id_5186,Access,seal,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,3.49,3.49,3.49,3.49,3.49
25,TUARANGI ROAD_500_id_602,Low Volume,seal,9.5,9.5,9.5,9.5,9.5,9.5,4.92,4.92,4.92,4.92,4.92,4.92,4.92,4.92,4.92,4.92
