elem_index,area_name,onrc,surf_class,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037
0,BETHLEHEM ROAD/CARMICHAEL ROAD RAB_0_id_2114,Primary Collector,ac,0,0,0,0,0,0,0,0,1.5,1.62,1.76,1.91,2.08,2.27,2.47,2.7
1,CHERTSEY KYLE ROAD_383_id_118,Secondary Collector,seal,0,0,0,0,0,0,0,0,0,1.5,1.61,1.73,1.87,2.02,0,0
2,REIGHTON DRIVE_146_id_505,Access,seal,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0
3,NESS ST_1382_id_5517,Access,seal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5
4,COURTNEY ROAD_19_id_116,Primary Collector,ac,0,0.11,0.25,0.39,0.56,0.74,0.94,1.16,1.43,1.77,2.17,2.65,3.2,3.81,4.51,5.39
5,MARONAN EALING ROAD_4215_id_370,Secondary Collector,seal,0,0,0,0,0,1.5,1.61,1.73,1.87,2.02,0,0,0,0,0,0
6,MICHAEL STREET WEST_443_id_731,Low Volume,seal,0,1.5,1.62,1.74,1.89,2.04,2.22,2.4,0,0,0,0,0,1.5,1.61,1.74
7,LAYARD ST_446_id_5457,Primary Collector,seal,0,0.1,0.22,0,0,0,0,0,0,0,0,1.5,1.71,1.96,2.25,0
8,COMPANY ROAD_2524_id_135,Secondary Collector,seal,0,0.1,0.22,0.35,0.5,0.66,0.84,1.03,1.23,1.5,1.82,2.2,2.64,3.13,3.69,4.3
9,DALWOOD DR_147_id_3766,Access,ac,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,1.61,1.74
10,MAINWARINGS ROAD_9157_id_364,Access,seal,0,1.5,1.61,1.72,1.86,2.01,2.17,0,0,0,0,0,0,0,0,0
11,JONAS STREET_93_id_454,Secondary Collector,seal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5
12,TAURIKURA DRIVE (EASTBOUND)_785_id_2139,Arterial,ac,0,0.1,0.22,0.35,0.5,0.66,0.84,1.03,1.24,1.5,1.83,2.21,2.65,3.15,3.7,4.32
13,HILLVIEW RD_0_id_1152,Secondary Collector,seal,0,0.12,0.25,0.39,0,0,0,0,0,1.5,1.62,1.77,1.93,0,0,0
14,REDMOND STREET_206_id_490,Access,ac,0,0,0,0,0,0,0,1.5,1.6,1.72,1.85,1.99,2.15,2.32,2.51,2.71
15,SPEARGRASS GROVE (24-32)_00000,Low Volume,ac,0,0,0,1.5,1.6,1.72,1.86,2,2.16,2.34,2.53,2.73,2.99,3.31,3.69,4.11
16,RICHARD PEARSE DRIVE_726_id_773,Secondary Collector,seal,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,1.64,1.81
17,SYMES ROAD_105_id_671,Low Volume,seal,0,0.1,0.22,0.35,0.49,0.65,0.82,1,1.2,1.45,1.76,0,0,0,0,0
18,ARMAGH ST 1 WEST FITZGERALD AVE_576_id_116,Primary Collector,ac,0,0,0,0,0,0,0,0,1.5,1.62,1.75,1.89,2.05,2.23,2.42,2.63
19,BROCKWORTH PL 1 OFF DEANS AVE_145_id_363,Low Volume,block,0,0.1,0.22,0.35,0.49,0.65,0.82,1.01,1.21,1.46,1.76,2.13,2.55,3.02,3.56,4.15
20,RANDOLPH ST_365_id_1980,Access,seal,0,0,0,0,0,0,1.5,1.65,1.83,2.02,2.24,2.49,0,0,0,0
