elem_index,area_name,onrc,surf_class,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037
0,BETHLEHEM ROAD/CARMICHAEL ROAD RAB_0_id_2114,Primary Collector,ac,94.08,94.08,94.08,94.08,94.08,94.08,94.08,94.08,94.08,94.08,94.08,94.08,94.08,94.08,94.08,94.08
1,CHERTSEY KYLE ROAD_383_id_118,Secondary Collector,seal,99.35,99.35,99.35,99.35,99.35,99.35,99.35,99.35,99.35,99.35,99.35,99.35,99.35,99.35,93.73,93.73
2,REIGHTON DRIVE_146_id_505,Access,seal,98.75,98.75,98.75,98.75,98.75,98.75,98.75,88.42,88.42,88.42,88.42,88.42,88.42,88.42,88.42,88.42
3,NESS ST_1382_id_5517,Access,seal,98.14,98.14,98.14,98.14,83.63,83.63,83.63,83.63,83.63,83.63,83.63,83.63,83.63,83.63,83.63,83.63
4,COURTNEY ROAD_19_id_116,Primary Collector,ac,89.22,89.22,89.22,89.22,89.22,89.22,89.22,89.22,89.22,89.22,89.22,89.22,89.22,89.22,89.22,89.22
5,MARONAN EALING ROAD_4215_id_370,Secondary Collector,seal,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,91.47,91.47,91.47,91.47,91.47,91.47
6,MICHAEL STREET WEST_443_id_731,Low Volume,seal,99.07,99.07,99.07,99.07,99.07,99.07,99.07,99.07,91.2,91.2,91.2,91.2,91.2,91.2,91.2,91.2
7,LAYARD ST_446_id_5457,Primary Collector,seal,96.67,96.67,96.67,61.01,61.02,61.02,61.02,61.02,61.02,61.02,61.02,61.02,61.02,61.02,61.02,61.13
8,COMPANY ROAD_2524_id_135,Secondary Collector,seal,97.24,97.24,97.24,97.24,97.24,97.24,97.24,97.24,97.24,97.24,97.24,97.24,97.24,97.24,97.24,97.24
9,DALWOOD DR_147_id_3766,Access,ac,97.76,97.76,97.76,97.76,97.76,97.76,97.76,97.76,97.76,97.76,97.76,97.76,97.76,97.76,97.76,97.76
10,MAINWARINGS ROAD_9157_id_364,Access,seal,98.85,98.85,98.85,98.85,98.85,98.85,98.85,89.29,89.29,89.29,89.29,89.29,89.29,89.29,89.29,89.29
11,JONAS STREET_93_id_454,Secondary Collector,seal,97.55,97.55,97.55,97.55,97.55,79.44,79.44,79.44,79.44,79.44,79.44,79.44,79.44,79.44,79.44,79.44
12,TAURIKURA DRIVE (EASTBOUND)_785_id_2139,Arterial,ac,97.03,97.03,97.03,97.03,97.03,97.03,97.03,97.03,97.03,97.03,97.03,97.03,97.03,97.03,97.03,97.03
13,HILLVIEW RD_0_id_1152,Secondary Collector,seal,98.49,98.49,98.49,98.49,86.33,86.33,86.33,86.33,86.33,86.33,86.33,86.33,86.33,86.38,86.38,86.38
