elem_index,area_name,onrc,surf_class,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037
0,BETHLEHEM ROAD/CARMICHAEL ROAD RAB_0_id_2114,Primary Collector,ac,298.8,304.8,310.9,317.1,323.4,329.9,336.5,343.2,350.1,357.1,364.2,371.5,379,386.5,394.3,402.1
1,CHERTSEY KYLE ROAD_383_id_118,Secondary Collector,seal,19,19.4,19.8,20.2,20.6,21,21.4,21.9,22.3,22.8,23.2,23.7,24.1,24.6,25.1,25.6
2,REIGHTON DRIVE_146_id_505,Access,seal,6.9,7,7.2,7.3,7.5,7.6,7.8,7.9,8.1,8.2,8.4,8.6,8.8,8.9,9.1,9.3
3,NESS ST_1382_id_5517,Access,seal,44.6,45.5,46.4,47.3,48.3,49.2,50.2,51.2,52.2,53.3,54.3,55.4,56.5,57.7,58.8,60
4,COURTNEY ROAD_19_id_116,Primary Collector,ac,1528.8,1559.4,1590.6,1622.4,1654.8,1687.9,1721.7,1756.1,1791.2,1827.1,1863.6,1900.9,1938.9,1977.7,2017.2,2057.6
5,MARONAN EALING ROAD_4215_id_370,Secondary Collector,seal,36.4,37.1,37.9,38.6,39.4,40.2,41,41.8,42.6,43.5,44.4,45.3,46.2,47.1,48,49
6,MICHAEL STREET WEST_443_id_731,Low Volume,seal,2,2,2.1,2.1,2.2,2.2,2.3,2.3,2.3,2.4,2.4,2.5,2.5,2.6,2.6,2.7
7,LAYARD ST_446_id_5457,Primary Collector,seal,339.5,346.3,353.2,360.3,367.5,374.9,382.4,390,397.8,405.8,413.9,422.2,430.6,439.2,448,456.9
8,COMPANY ROAD_2524_id_135,Secondary Collector,seal,99.2,101.2,103.2,105.3,107.4,109.6,111.8,114,116.3,118.6,121,123.4,125.9,128.4,130.9,133.6
9,DALWOOD DR_147_id_3766,Access,ac,14.7,15,15.3,15.6,15.9,16.3,16.6,16.9,17.2,17.6,17.9,18.3,18.7,19,19.4,19.8
10,MAINWARINGS ROAD_9157_id_364,Access,seal,28.5,29.1,29.7,30.2,30.8,31.5,32.1,32.7,33.4,34.1,34.7,35.4,36.1,36.9,37.6,38.4
11,JONAS STREET_93_id_454,Secondary Collector,seal,106.5,108.7,110.8,113.1,115.3,117.6,120,122.4,124.8,127.3,129.9,132.5,135.1,137.8,140.6,143.4
12,TAURIKURA DRIVE (EASTBOUND)_785_id_2139,Arterial,ac,238,242.8,247.6,252.6,257.6,262.8,268,273.4,278.9,284.4,290.1,295.9,301.8,307.9,314,320.3
13,HILLVIEW RD_0_id_1152,Secondary Collector,seal,7.5,7.6,7.8,7.9,8.1,8.3,8.4,8.6,8.8,8.9,9.1,9.3,9.5,9.7,9.9,10.1
14,REDMOND STREET_206_id_490,Access,ac,6.5,6.6,6.8,6.9,7,7.2,7.3,7.5,7.6,7.8,7.9,8.1,8.2,8.4,8.6,8.7
15,SPEARGRASS GROVE (24-32)_00000,Low Volume,ac,1.2,1.2,1.2,1.2,1.3,1.3,1.3,1.3,1.4,1.4,1.4,1.5,1.5,1.5,1.5,1.6
16,RICHARD PEARSE DRIVE_726_id_773,Secondary Collector,seal,92.4,94.3,96.2,98.1,100,102,104.1,106.2,108.3,110.4,112.7,114.9,117.2,119.6,121.9,124.4
