elem_index,area_name,onrc,surf_class,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037
0,BETHLEHEM ROAD/CARMICHAEL ROAD RAB_0_id_2114,Primary Collector,ac,0,0,1.5,1.84,2.26,2.8,3.68,4.91,0,0,0,0,1.5,1.82,2.24,2.74
1,CHERTSEY KYLE ROAD_383_id_118,Secondary Collector,seal,0,0,0,0,1.5,1.72,1.98,2.29,2.65,3.16,3.86,4.76,5.84,0,0,0.21
2,REIGHTON DRIVE_146_id_505,Access,seal,0,0.21,0.48,0.79,1.15,1.66,2.37,3.27,4.38,5.93,7.98,10.52,13.57,17.41,22.04,27.47
3,NESS ST_1382_id_5517,Access,seal,0,0.27,0.61,1.02,1.58,2.43,3.56,5.06,0,0,0.24,0.54,0.9,1.32,1.98,2.88
4,COURTNEY ROAD_19_id_116,Primary Collector,ac,38.79,48.28,56.54,63.56,69.38,74.42,78.69,82.19,84.91,87.01,88.81,90.29,91.46,92.33,93.02,93.63
5,MARONAN EALING ROAD_4215_id_370,Secondary Collector,seal,0,0,1.5,1.65,1.83,0,0,0,0,0,0,0,0,0,1.5,1.62
6,MICHAEL STREET WEST_443_id_731,Low Volume,seal,0,1.5,1.72,1.98,2.28,2.62,0,0,0,0,0,1.5,1.64,1.8,1.99,2.19
7,LAYARD ST_446_id_5457,Primary Collector,seal,122.37,123.63,124.88,126.14,0,0,0,0,0,0,0,1.5,1.71,1.97,2.27,2.61
8,COMPANY ROAD_2524_id_135,Secondary Collector,seal,4,4.94,6.2,7.78,9.67,11.89,14.48,17.59,21.2,25.32,29.95,34.69,39.23,43.55,47.66,51.56
9,DALWOOD DR_147_id_3766,Access,ac,0,0.2,0.45,0.74,1.07,1.51,2.12,2.92,3.9,5.16,6.87,9.03,11.64,0,0,0.33
10,MAINWARINGS ROAD_9157_id_364,Access,seal,2,2.2,2.43,2.68,2.97,3.36,0,0,0,0,0,0,0,0,0,0
11,JONAS STREET_93_id_454,Secondary Collector,seal,0,0.31,0.71,1.2,1.99,3.13,4.64,0,0,0,0,0,0,0,0,0
