elem_index,area_name,onrc,surf_class,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037
0,BETHLEHEM ROAD/CARMICHAEL ROAD RAB_0_id_2114,Primary Collector,ac,39.95,39.95,39.95,39.95,39.95,39.95,39.95,39.95,39.95,39.95,39.95,39.95,39.95,39.95,39.95,39.95
1,CHERTSEY KYLE ROAD_383_id_118,Secondary Collector,seal,53.61,53.61,53.61,53.61,53.61,53.61,53.61,53.61,53.61,53.61,53.61,53.61,53.61,53.61,53.06,53.06
2,REIGHTON DRIVE_146_id_505,Access,seal,52.7,52.7,52.7,52.7,52.7,52.7,52.7,75.86,75.86,75.86,75.86,75.86,75.86,75.86,75.86,75.86
3,NESS ST_1382_id_5517,Access,seal,43.94,43.94,43.94,43.94,69.22,69.22,69.22,69.22,69.22,69.22,69.22,69.22,69.22,69.22,69.22,69.22
4,COURTNEY ROAD_19_id_116,Primary Collector,ac,27.15,27.15,27.15,27.15,27.15,27.15,27.15,27.15,27.15,27.15,27.15,27.15,27.15,27.15,27.15,27.15
5,MARONAN EALING ROAD_4215_id_370,Secondary Collector,seal,72.91,72.91,72.91,72.91,72.91,72.91,72.91,72.91,72.91,72.91,88.18,88.18,88.18,88.18,88.18,88.18
6,MICHAEL STREET WEST_443_id_731,Low Volume,seal,59.99,59.99,59.99,59.99,59.99,59.99,59.99,59.99,80.79,80.79,80.79,80.79,80.79,80.79,80.79,80.79
7,LAYARD ST_446_id_5457,Primary Collector,seal,7.97,7.97,7.97,56.54,56.4,56.4,56.4,56.4,56.4,56.4,56.4,56.4,56.4,56.4,56.4,54.85
8,COMPANY ROAD_2524_id_135,Secondary Collector,seal,65.84,65.84,65.84,65.84,65.84,65.84,65.84,65.84,65.84,65.84,65.84,65.84,65.84,65.84,65.84,65.84
9,DALWOOD DR_147_id_3766,Access,ac,55.45,55.45,55.45,55.45,55.45,55.45,55.45,55.45,55.45,55.45,55.45,55.45,55.45,55.45,55.45,55.45
10,MAINWARINGS ROAD_9157_id_364,Access,seal,73.46,73.46,73.46,73.46,73.46,73.46,73.46,88.65,88.65,88.65,88.65,88.65,88.65,88.65,88.65,88.65
11,JONAS STREET_93_id_454,Secondary Collector,seal,39.17,39.17,39.17,39.17,39.17,64.76,64.76,64.76,64.76,64.76,64.76,64.76,64.76,64.76,64.76,64.76
12,TAURIKURA DRIVE (EASTBOUND)_785_id_2139,Arterial,ac,33.73,33.73,33.73,33.73,33.73,33.73,33.73,33.73,33.73,33.73,33.73,33.73,33.73,33.73,33.73,33.73
13,HILLVIEW RD_0_id_1152,Secondary Collector,seal,94.59,94.59,94.59,94.59,52.54,52.54,52.54,52.54,52.54,52.54,52.54,52.54,52.54,74.08,74.08,74.08
14,REDMOND STREET_206_id_490,Access,ac,59.84,59.84,59.84,59.84,59.84,59.84,59.84,59.84,59.84,59.84,59.84,59.84,59.84,59.84,59.84,59.84
15,SPEARGRASS GROVE (24-32)_00000,Low Volume,ac,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2
16,RICHARD PEARSE DRIVE_726_id_773,Secondary Collector,seal,38.98,38.98,38.98,38.98,38.98,64.58,64.58,64.58,64.58,64.58,64.58,64.58,64.58,64.58,64.58,64.58
17,SYMES ROAD_105_id_671,Low Volume,seal,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,92.3,92.3,92.3,92.3,92.3
18,ARMAGH ST 1 WEST FITZGERALD AVE_576_id_116,Primary Collector,ac,46.61,46.61,46.61,46.61,46.61,46.61,46.61,46.61,46.61,46.61,46.61,46.61,46.61,46.61,46.61,46.61
19,BROCKWORTH PL 1 OFF DEANS AVE_145_id_363,Low Volume,block,67.46,67.46,67.46,67.46,67.46,67.46,67.46,67.46,67.46,67.46,67.46,67.46,67.46,67.46,67.46,67.46
20,RANDOLPH ST_365_id_1980,Access,seal,44.85,70.36,70.36,70.36,70.36,70.36,70.36,70.36,70.36,70.36,70.36,70.36,69.03,69.03,69.03,69.03
21,BLACK BEECH ST. SOUTH_00000,Low Volume,seal,49.87,49.87,49.87,49.87,49.87,49.87,73.84,73.84,73.84,73.84,73.84,73.84,73.84,73.84,73.84,73.84
