elem_index,area_name,onrc,surf_class,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037
0,BETHLEHEM ROAD/CARMICHAEL ROAD RAB_0_id_2114,Primary Collector,ac,6582,6993,7431,12210,13136,14127,15182,34075,37996,41996,46255,50954,56123,61767,67987,75046
1,CHERTSEY KYLE ROAD_383_id_118,Secondary Collector,seal,3300,3617,3962,4339,4750,5197,5685,9615,10583,24308,27663,31252,35235,39716,6430,7047
2,REIGHTON DRIVE_146_id_505,Access,seal,6371,14512,17343,20112,23033,26193,38032,6753,7472,8266,9144,10115,11190,12379,13696,15156
3,NESS ST_1382_id_5517,Access,seal,10832,31794,38734,45481,8233,9050,9946,10930,12012,13200,14507,15944,17526,19267,32741,75721
4,COURTNEY ROAD_19_id_116,Primary Collector,ac,22688,38014,43308,47956,52555,57347,62649,68695,75709,84162,94823,109409,130028,157886,192981,237808
5,MARONAN EALING ROAD_4215_id_370,Secondary Collector,seal,13944,14997,16610,17894,19266,26591,29316,32081,35061,38372,6095,6501,6928,7378,7852,8351
6,MICHAEL STREET WEST_443_id_731,Low Volume,seal,5547,19888,23012,26432,30302,34733,39851,45808,6370,7086,10615,12042,13693,39332,45804,53827
7,LAYARD ST_446_id_5457,Primary Collector,seal,20542,42630,49143,2924,3572,3856,4161,4488,4840,5217,5623,12011,21930,24583,27508,5775
8,COMPANY ROAD_2524_id_135,Secondary Collector,seal,9129,19157,22385,25548,28899,32607,36766,41579,47198,53775,61531,70644,81364,94009,108875,126295
9,DALWOOD DR_147_id_3766,Access,ac,3313,3528,3756,3998,4255,4527,4816,5123,5448,5791,6155,6538,6941,23770,26246,28732
10,MAINWARINGS ROAD_9157_id_364,Access,seal,5491,17379,19952,22421,24986,27726,30709,5546,5939,6353,6789,7249,7735,8248,8790,9365
11,JONAS STREET_93_id_454,Secondary Collector,seal,6336,6881,11554,12644,13836,6128,6666,7250,7884,8573,9322,10136,11022,11985,13034,28102
12,TAURIKURA DRIVE (EASTBOUND)_785_id_2139,Arterial,ac,7777,15868,18004,19940,21879,23892,26021,28365,31006,34000,37486,41679,46927,53635,62016,72289
13,HILLVIEW RD_0_id_1152,Secondary Collector,seal,15587,46547,56768,66726,9003,9961,11018,12186,13475,48084,55511,63577,72686,9575,10607,11748
14,REDMOND STREET_206_id_490,Access,ac,4655,4991,5351,5736,6148,6587,10914,24566,27347,30231,33345,36760,40538,44770,49562,55057
15,SPEARGRASS GROVE (24-32)_00000,Low Volume,ac,2692,2901,3124,10854,12144,13494,14964,16589,18402,20439,22758,25441,28584,32319,36805,42307
16,RICHARD PEARSE DRIVE_726_id_773,Secondary Collector,seal,7967,8685,14640,16092,36907,7300,7971,8701,9498,10366,11314,12348,20840,29389,54136,61360
17,SYMES ROAD_105_id_671,Low Volume,seal,4687,13377,16017,18466,20971,23660,26599,29867,33584,37925,42995,5953,6399,9416,10368,11447
18,ARMAGH ST 1 WEST FITZGERALD AVE_576_id_116,Primary Collector,ac,27317,29318,31472,33791,56097,60944,66175,149879,168120,187451,208572,231834,257686,286763,319348,356435
19,BROCKWORTH PL 1 OFF DEANS AVE_145_id_363,Low Volume,block,17525,51964,63446,74668,86688,99949,115178,132745,153166,177476,207037,243610,289568,349103,427258,530900
20,RANDOLPH ST_365_id_1980,Access,seal,17422,4583,5007,5466,5964,6504,22871,26078,29454,33214,37477,42365,6021,6563,9649,10739
21,BLACK BEECH ST. SOUTH_00000,Low Volume,seal,9556,27846,33937,39871,46207,53214,7368,8104,8913,9801,10777,11851,13033,14333,15766,55948
22,GEORGE ST_0_id_5373,Access,seal,8286,9175,10148,11217,12393,21165,23534,42570,47703,53417,59756,10437,11552,12784,14145,15648
23,KELVIN ST_0_id_5434,Primary Collector,ac,8198,24076,28283,31931,35581,39388,43366,47661,52475,57849,63925,70943,79254,89329,102010,118807
24,STAUNTON RD_123_id_5186,Access,seal,3779,10830,13014,15056,17157,19415,21896,24659,27819,31518,35849,5284,5686,8379,9243,25738
25,TUARANGI ROAD_500_id_602,Low Volume,seal,6019,17566,21496,25359,29508,34114,5892,6511,7194,7948,8781,31315,36048,41199,47013,53663
26,STEAD ST_2315_id_5130,Arterial,ac,12070,35992,42407,48163,54252,60670,67666,75351,83948,93698,104729,117364,132129,150163,173427,203803
27,KERRIGAN CRESCENT_00003,Low Volume,ac,1968,2100,2239,2388,2547,2715,2894,3083,3285,3499,3727,3970,4227,4502,4793,5103
28,BANK ST_00000,Secondary Collector,seal,21047,35620,39276,50778,7977,8741,9577,10491,11491,12588,13792,15112,32832,60579,68834,78089
29,FORTH ST_130_id_5366,Secondary Collector,ac,22010,38528,43446,47823,52154,56620,61382,66673,72813,80354,90154,103882,123496,149039,180556,219386
30,TAIPARI STREET_593_id_568,Secondary Collector,seal,5548,16233,19782,23230,26902,5510,6048,6635,7276,7976,8741,9578,10493,22785,41999,47670
31,OLIVE STREET_7_id_289,Access,seal,6304,6914,7581,8310,9106,9977,10929,11964,13096,14333,24261,26734,29459,32459,35758,39380
32,CASHMERE RD 1 EAST HENDERSONS RD_1840_id_457,Arterial,ac,28132,84762,100716,115453,131219,148008,166618,187319,210726,236279,263945,295353,331962,376532,433549,507165
33,MARONAN ROAD_16550_id_371,Secondary Collector,seal,3576,3811,4057,4314,7088,7583,16920,18678,20463,22359,24439,26739,4898,5201,5519,5852
34,GALLAGHER DR_0_id_3989,Secondary Collector,seal,3072,2607,2855,3124,3416,3734,13160,15017,16983,19177,21666,24522,27852,4488,4901,7263
35,BEACH ROAD EAST_300_id_5069,Primary Collector,seal,6233,14986,18118,5654,6183,6758,7384,8066,8808,9617,16236,22935,42255,47927,9366,10236
36,LARK PLACE_5_id_2082,Low Volume,ac,1717,4828,5714,6512,7312,8148,9042,10010,11078,12302,13707,15325,17231,19526,22363,25910
37,KOTARE LANE_126_id_5715,Low Volume,ac,7960,8558,9199,9888,10635,11442,12313,13252,14263,15351,34491,38307,42278,46567,51263,56444
38,MEANDER DRIVE_577_id_385,Low Volume,ac,2006,5665,6705,7642,8580,9560,10606,11739,13000,14443,16103,18025,20294,23031,26447,30762
