elem_index,area_name,onrc,surf_class,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037
0,BETHLEHEM ROAD/CARMICHAEL ROAD RAB_0_id_2114,Primary Collector,ac,6582,6993,7431,12210,13136,14127,15182,34075,7273,7733,8224,8748,9306,15307,16504,17783
1,CHERTSEY KYLE ROAD_383_id_118,Secondary Collector,seal,3300,3617,3962,4339,4750,5197,5685,9615,10583,24308,27663,31252,35235,6057,6639,7276
2,REIGHTON DRIVE_146_id_505,Access,seal,6371,14512,17343,20112,23033,26193,38032,43959,50473,57895,66385,76115,87311,100247,115341,133180
3,NESS ST_1382_id_5517,Access,seal,10832,31794,38734,45481,52678,60630,69573,79898,10562,11609,17206,19309,21726,24548,27895,32015
4,COURTNEY ROAD_19_id_116,Primary Collector,ac,22688,38014,43308,47956,52555,57347,62649,68695,75709,84162,94823,109409,130028,157886,192981,237808
5,MARONAN EALING ROAD_4215_id_370,Secondary Collector,seal,13944,14997,16610,17894,19266,4876,5217,5576,5953,6349,6765,7203,7666,12609,28218,31296
6,MICHAEL STREET WEST_443_id_731,Low Volume,seal,5547,19888,23012,26432,30302,34733,5527,6148,6839,7606,8459,30363,35145,40398,46362,53214
7,LAYARD ST_446_id_5457,Primary Collector,seal,20542,42630,49143,55202,2938,3589,3874,4180,4509,4862,5240,5648,12064,22028,24694,27634
8,COMPANY ROAD_2524_id_135,Secondary Collector,seal,9129,19157,22385,25548,28899,32607,36766,41579,47198,53775,61531,70644,81364,94009,108875,126295
9,DALWOOD DR_147_id_3766,Access,ac,3313,3528,3756,3998,4255,4527,4816,5123,5448,5791,6155,6538,6941,4297,4577,4874
10,MAINWARINGS ROAD_9157_id_364,Access,seal,5491,17379,19952,22421,24986,27726,5271,5650,6048,6468,6910,7377,7869,8390,8941,14729
11,JONAS STREET_93_id_454,Secondary Collector,seal,6336,6881,11554,12644,13836,31588,35731,6785,7380,8027,8730,9494,10325,11228,12211,13282
12,TAURIKURA DRIVE (EASTBOUND)_785_id_2139,Arterial,ac,7777,15868,18004,19940,21879,23892,26021,28365,31006,34000,1837,1943,2054,2169,2289,2413
13,HILLVIEW RD_0_id_1152,Secondary Collector,seal,15587,46547,8004,8856,9796,10833,11978,42736,49324,56480,64561,73808,9478,10496,11622,12869
14,REDMOND STREET_206_id_490,Access,ac,4655,4991,5351,5736,6148,6587,10914,24566,27347,30231,33345,36760,5688,6103,6547,7025
15,SPEARGRASS GROVE (24-32)_00000,Low Volume,ac,2692,2901,3124,10854,12144,13494,14964,16589,18402,20439,3418,3683,3968,4275,4605,4962
16,RICHARD PEARSE DRIVE_726_id_773,Secondary Collector,seal,7967,8685,14640,16092,36907,41887,47190,8128,8874,9688,10575,11543,12599,13752,23214,32749
17,SYMES ROAD_105_id_671,Low Volume,seal,4687,13377,16017,18466,20971,23660,26599,29867,33584,37925,42995,5953,6399,9416,10368,11447
18,ARMAGH ST 1 WEST FITZGERALD AVE_576_id_116,Primary Collector,ac,27317,29318,31472,33791,56097,60944,66175,149879,168120,187451,17607,18919,20334,21855,23492,25250
19,BROCKWORTH PL 1 OFF DEANS AVE_145_id_363,Low Volume,block,17525,51964,63446,74668,86688,99949,115178,132745,153166,14318,15771,23576,26430,29700,33497,58692
20,RANDOLPH ST_365_id_1980,Access,seal,17422,4583,5007,5466,5964,6504,22871,26078,29454,33214,37477,42365,48079,6422,6998,10362
21,BLACK BEECH ST. SOUTH_00000,Low Volume,seal,9556,27846,33937,39871,46207,53214,61099,70114,80681,8987,9883,14733,16549,18647,21107,24035
22,GEORGE ST_0_id_5373,Access,seal,8286,9175,10148,11217,12393,21165,23534,42570,47703,9292,10285,11382,12592,13928,15403,17032
23,KELVIN ST_0_id_5434,Primary Collector,ac,8198,24076,28283,31931,35581,39388,43366,47661,52475,57849,63925,70943,79254,89329,102010,118807
24,STAUNTON RD_123_id_5186,Access,seal,3779,10830,13014,15056,17157,19415,21896,24659,27819,31518,35849,5284,5686,8379,9243,25738
25,TUARANGI ROAD_500_id_602,Low Volume,seal,6019,17566,21496,25359,29508,34114,39316,45288,52280,60654,70730,83008,98205,117158,140974,170729
26,STEAD ST_2315_id_5130,Arterial,ac,12070,35992,42407,48163,54252,11749,12443,13178,13958,22856,24704,26623,28788,31099,70125,78323
27,KERRIGAN CRESCENT_00003,Low Volume,ac,1968,2100,2239,2388,2547,2715,2894,3083,3285,3499,3727,3970,4227,4502,4793,5103
28,BANK ST_00000,Secondary Collector,seal,21047,35620,39276,50778,57723,65176,8930,9785,10720,11744,12868,14101,15455,16941,36821,67978
29,FORTH ST_130_id_5366,Secondary Collector,ac,22010,38528,43446,47823,52154,56620,61382,66673,72813,80354,90154,103882,123496,149039,180556,219386
30,TAIPARI STREET_593_id_568,Secondary Collector,seal,5548,16233,19782,23230,26902,30951,35492,40680,6639,7280,10762,12049,13529,15264,17333,19914
31,OLIVE STREET_7_id_289,Access,seal,6304,6914,7581,8310,9106,9977,10929,11964,13096,14333,24261,26734,29459,32459,35758,8158
32,CASHMERE RD 1 EAST HENDERSONS RD_1840_id_457,Arterial,ac,28132,84762,100716,115453,131219,21097,22529,24061,25699,42222,45589,49076,53003,57145,100323,140044
33,MARONAN ROAD_16550_id_371,Secondary Collector,seal,3576,3811,4057,4314,7088,7583,16920,18678,20463,22359,24439,26739,4898,5201,5519,5852
34,GALLAGHER DR_0_id_3989,Secondary Collector,seal,3072,2607,2855,3124,3416,3734,13160,15017,16983,19177,21666,24522,27852,4488,4901,7263
35,BEACH ROAD EAST_300_id_5069,Primary Collector,seal,6233,14986,18118,21155,5971,6528,7134,7794,8511,9290,10138,17103,24148,44451,50344,9675
36,LARK PLACE_5_id_2082,Low Volume,ac,1717,4828,5714,1752,1874,2005,2144,2292,2449,2617,2796,2986,3188,10981,2517,2693
37,KOTARE LANE_126_id_5715,Low Volume,ac,7960,8558,9199,9888,10635,11442,12313,13252,14263,15351,34491,38307,42278,46567,51263,56444
38,MEANDER DRIVE_577_id_385,Low Volume,ac,2006,5665,6705,2209,2363,2528,2703,2891,3090,3303,3530,3770,4026,4295,4579,4876
39,WIGRAM RD1_1200_id_2621,Arterial,seal,32859,36285,40031,7092,12733,13594,14510,15494,16577,17751,39767,44718,49708,55206,61374,68377
40,RICHARD PEARSE A.L._8_id_1043,Low Volume,seal,4669,5096,5557,6060,6607,11140,12223,13410,14710,16132,17688,19389,4936,5397,5899,6447
