elem_index,area_name,onrc,surf_class,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037
0,BETHLEHEM ROAD/CARMICHAEL ROAD RAB_0_id_2114,Primary Collector,ac,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.58,4.58,4.58,4.58,4.58,4.58,4.58,4.58
1,CHERTSEY KYLE ROAD_383_id_118,Secondary Collector,seal,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.2,8.2,8.2
2,REIGHTON DRIVE_146_id_505,Access,seal,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7
3,NESS ST_1382_id_5517,Access,seal,17.1,17.1,17.1,17.1,17.1,17.1,17.1,17.1,9.12,9.12,9.12,9.12,9.12,9.12,9.12,9.12
4,COURTNEY ROAD_19_id_116,Primary Collector,ac,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25
5,MARONAN EALING ROAD_4215_id_370,Secondary Collector,seal,7.09,7.09,7.09,7.09,7.09,7.15,7.15,7.15,7.15,7.15,7.15,7.15,7.15,7.15,7.15,7.15
6,MICHAEL STREET WEST_443_id_731,Low Volume,seal,7.2,7.2,7.2,7.2,7.2,7.2,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78
7,LAYARD ST_446_id_5457,Primary Collector,seal,12.05,12.05,12.05,12.05,6.67,6.63,6.63,6.63,6.63,6.63,6.63,6.63,6.63,6.63,6.63,6.63
8,COMPANY ROAD_2524_id_135,Secondary Collector,seal,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,DALWOOD DR_147_id_3766,Access,ac,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,12.41,12.41,12.41
10,MAINWARINGS ROAD_9157_id_364,Access,seal,10.4,10.4,10.4,10.4,10.4,10.4,8.41,8.41,8.41,8.41,8.41,8.41,8.41,8.41,8.41,8.41
11,JONAS STREET_93_id_454,Secondary Collector,seal,9.13,9.13,9.13,9.13,9.13,9.13,9.13,8.97,8.97,8.97,8.97,8.97,8.97,8.97,8.97,8.97
12,TAURIKURA DRIVE (EASTBOUND)_785_id_2139,Arterial,ac,1,1,1,1,1,1,1,1,1,1,7.21,7.21,7.21,7.21,7.21,7.21
13,HILLVIEW RD_0_id_1152,Secondary Collector,seal,30,30,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.32,4.32,4.32,4.32
14,REDMOND STREET_206_id_490,Access,ac,8.52,8.52,8.52,8.52,8.52,8.52,8.52,8.52,8.52,8.52,8.52,8.52,8.22,8.22,8.22,8.22
15,SPEARGRASS GROVE (24-32)_00000,Low Volume,ac,9.24,9.24,9.24,9.24,9.24,9.24,9.24,9.24,9.24,9.24,9.11,9.11,9.11,9.11,9.11,9.11
16,RICHARD PEARSE DRIVE_726_id_773,Secondary Collector,seal,7.02,7.02,7.02,7.02,7.02,7.02,7.02,6.88,6.88,6.88,6.88,6.88,6.88,6.88,6.88,6.88
17,SYMES ROAD_105_id_671,Low Volume,seal,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,6.19,6.19,6.19,6.19,6.19
18,ARMAGH ST 1 WEST FITZGERALD AVE_576_id_116,Primary Collector,ac,5.47,5.47,5.47,5.47,5.47,5.47,5.47,5.47,5.47,5.47,5.03,5.03,5.03,5.03,5.03,5.03
19,BROCKWORTH PL 1 OFF DEANS AVE_145_id_363,Low Volume,block,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,5.87,5.87,5.87,5.87,5.87,5.87,5.87
20,RANDOLPH ST_365_id_1980,Access,seal,6.13,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.31,4.31,4.31
21,BLACK BEECH ST. SOUTH_00000,Low Volume,seal,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,8.2,8.2,8.2,8.2,8.2,8.2,8.2
22,GEORGE ST_0_id_5373,Access,seal,9.88,9.88,9.88,9.88,9.88,9.88,9.88,9.88,9.88,9.7,9.7,9.7,9.7,9.7,9.7,9.7
23,KELVIN ST_0_id_5434,Primary Collector,ac,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1
24,STAUNTON RD_123_id_5186,Access,seal,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,3.4,3.4,3.4,3.4,3.4
25,TUARANGI ROAD_500_id_602,Low Volume,seal,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5
26,STEAD ST_2315_id_5130,Arterial,ac,12.1,12.1,12.1,12.1,12.1,3.33,3.33,3.33,3.33,3.33,3.33,3.33,3.33,3.33,3.33,3.33
27,KERRIGAN CRESCENT_00003,Low Volume,ac,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4
28,BANK ST_00000,Secondary Collector,seal,7.63,7.63,7.63,7.63,7.63,7.63,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6
29,FORTH ST_130_id_5366,Secondary Collector,ac,12.05,12.05,12.05,12.05,12.05,12.05,12.05,12.05,12.05,12.05,12.05,12.05,12.05,12.05,12.05,12.05
30,TAIPARI STREET_593_id_568,Secondary Collector,seal,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,7.73,7.73,7.73,7.73,7.73,7.73,7.73,7.73
31,OLIVE STREET_7_id_289,Access,seal,11.07,11.07,11.07,11.07,11.07,11.07,11.07,11.07,11.07,11.07,11.07,11.07,11.07,11.07,11.07,10.77
32,CASHMERE RD 1 EAST HENDERSONS RD_1840_id_457,Arterial,ac,19.7,19.7,19.7,19.7,19.7,3.26,3.26,3.26,3.26,3.26,3.26,3.26,3.26,3.26,3.26,3.26
33,MARONAN ROAD_16550_id_371,Secondary Collector,seal,6.08,6.08,6.08,6.08,6.08,6.08,6.08,6.08,6.08,6.08,6.08,6.08,5.8,5.8,5.8,5.8
34,GALLAGHER DR_0_id_3989,Secondary Collector,seal,8.4,4.67,4.67,4.67,4.67,4.67,4.67,4.67,4.67,4.67,4.67,4.67,4.67,4.53,4.53,4.53
35,BEACH ROAD EAST_300_id_5069,Primary Collector,seal,13.7,13.7,13.7,13.7,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38,5.91
36,LARK PLACE_5_id_2082,Low Volume,ac,17.9,17.9,17.9,9.22,9.22,9.22,9.22,9.22,9.22,9.22,9.22,9.22,9.22,9.22,9.06,9.06
