elem_index,area_name,onrc,surf_class,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037
0,BETHLEHEM ROAD/CARMICHAEL ROAD RAB_0_id_2114,Primary Collector,ac,0,0,0,0.88,1.14,1.45,1.82,2.32,3.04,3.99,5.17,6.85,9.1,11.91,15.38,19.75
1,CHERTSEY KYLE ROAD_383_id_118,Secondary Collector,seal,0,0,0,0,0,0,0,0.88,1,1.15,1.31,1.49,1.7,1.92,0,0
2,REIGHTON DRIVE_146_id_505,Access,seal,0,0.12,0.26,0.42,0.6,0.8,1.02,0,0,0,0,0,0,0,0,0
3,NESS ST_1382_id_5517,Access,seal,0,0.14,0.31,0.5,0,0,0,0,0,0,0,0,0,0,0.88,1.04
4,COURTNEY ROAD_19_id_116,Primary Collector,ac,37.85,50.64,61.02,69.08,75.64,80.68,84.21,86.87,88.93,90.38,91.37,92.2,92.88,93.41,93.93,94.44
5,MARONAN EALING ROAD_4215_id_370,Secondary Collector,seal,1,1,1.88,2.04,2.22,2.43,2.67,2.94,3.27,3.7,0,0,0,0,0,0
6,MICHAEL STREET WEST_443_id_731,Low Volume,seal,0,0.88,1.01,1.16,1.33,1.51,1.71,1.93,0,0,0,0,0,0.88,1,1.14
7,LAYARD ST_446_id_5457,Primary Collector,seal,31.96,55.45,71.51,0,0,0,0,0,0,0,0,0.88,1.05,1.25,1.49,0
8,COMPANY ROAD_2524_id_135,Secondary Collector,seal,36,41.55,46.79,51.72,56.35,60.67,64.68,68.38,71.78,74.87,77.71,80.35,82.81,85.07,87.14,89.02
9,DALWOOD DR_147_id_3766,Access,ac,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88,1.02,1.17
10,MAINWARINGS ROAD_9157_id_364,Access,seal,0,0.14,0.3,0.49,0.71,0.94,1.21,0,0,0,0,0,0,0,0,0
11,JONAS STREET_93_id_454,Secondary Collector,seal,0,0,0.88,1.03,1.22,0,0,0,0,0,0,0,0,0,0,0.88
12,TAURIKURA DRIVE (EASTBOUND)_785_id_2139,Arterial,ac,45.11,53.31,60.69,67.25,72.98,77.89,82.24,86.08,89.41,92.22,94.51,96.31,97.89,99.27,100.45,101.42
13,HILLVIEW RD_0_id_1152,Secondary Collector,seal,0,0.15,0.33,0.52,0,0,0,0,0,0.88,1.02,1.17,1.35,0,0,0
14,REDMOND STREET_206_id_490,Access,ac,0,0,0,0,0,0,0.88,1.01,1.15,1.32,1.5,1.71,1.93,2.19,2.53,2.94
15,SPEARGRASS GROVE (24-32)_00000,Low Volume,ac,0,0,0,0.88,1,1.15,1.3,1.48,1.67,1.87,2.11,2.41,2.78,3.21,3.71,4.27
16,RICHARD PEARSE DRIVE_726_id_773,Secondary Collector,seal,0,0,0.88,1.05,1.24,0,0,0,0,0,0,0,0.88,1.03,1.22,1.43
17,SYMES ROAD_105_id_671,Low Volume,seal,0,0.12,0.25,0.41,0.58,0.77,0.98,1.21,1.5,1.86,2.3,0,0,0,0,0
