elem_index,area_name,onrc,surf_class,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037
0,BETHLEHEM ROAD/CARMICHAEL ROAD RAB_0_id_2114,Primary Collector,ac,49.34,49.34,49.34,49.34,49.34,49.34,49.34,49.34,49.34,49.34,49.34,49.34,49.34,49.34,49.34,49.34
1,CHERTSEY KYLE ROAD_383_id_118,Secondary Collector,seal,84.03,84.03,84.03,84.03,84.03,84.03,84.03,84.03,84.03,84.03,84.03,84.03,84.03,84.03,81.73,81.73
2,REIGHTON DRIVE_146_id_505,Access,seal,84.55,84.55,84.55,84.55,84.55,84.55,84.55,83.8,83.8,83.8,83.8,83.8,83.8,83.8,83.8,83.8
3,NESS ST_1382_id_5517,Access,seal,74.04,74.04,74.04,74.04,73.93,73.93,73.93,73.93,73.93,73.93,73.93,73.93,73.93,73.93,73.93,73.93
4,COURTNEY ROAD_19_id_116,Primary Collector,ac,19.46,19.46,19.46,19.46,19.46,19.46,19.46,19.46,19.46,19.46,19.46,19.46,19.46,19.46,19.46,19.46
5,MARONAN EALING ROAD_4215_id_370,Secondary Collector,seal,71.85,71.85,71.85,71.85,71.85,71.85,71.85,71.85,71.85,71.85,69.62,69.62,69.62,69.62,69.62,69.62
6,MICHAEL STREET WEST_443_id_731,Low Volume,seal,89.1,89.1,89.1,89.1,89.1,89.1,89.1,89.1,88.28,88.28,88.28,88.28,88.28,88.28,88.28,88.28
7,LAYARD ST_446_id_5457,Primary Collector,seal,11.1,11.1,11.1,66.96,66.56,66.56,66.56,66.56,66.56,66.56,66.56,66.56,66.56,66.56,66.56,62.04
8,COMPANY ROAD_2524_id_135,Secondary Collector,seal,54.54,54.54,54.54,54.54,54.54,54.54,54.54,54.54,54.54,54.54,54.54,54.54,54.54,54.54,54.54,54.54
9,DALWOOD DR_147_id_3766,Access,ac,83.65,83.65,83.65,83.65,83.65,83.65,83.65,83.65,83.65,83.65,83.65,83.65,83.65,83.65,83.65,83.65
10,MAINWARINGS ROAD_9157_id_364,Access,seal,74.94,74.94,74.94,74.94,74.94,74.94,74.94,74.5,74.5,74.5,74.5,74.5,74.5,74.5,74.5,74.5
11,JONAS STREET_93_id_454,Secondary Collector,seal,72.58,72.58,72.58,72.58,72.58,72.02,72.02,72.02,72.02,72.02,72.02,72.02,72.02,72.02,72.02,72.02
12,TAURIKURA DRIVE (EASTBOUND)_785_id_2139,Arterial,ac,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33
13,HILLVIEW RD_0_id_1152,Secondary Collector,seal,79.97,79.97,79.97,79.97,82.4,82.4,82.4,82.4,82.4,82.4,82.4,82.4,82.4,79.94,79.94,79.94
14,REDMOND STREET_206_id_490,Access,ac,85.17,85.17,85.17,85.17,85.17,85.17,85.17,85.17,85.17,85.17,85.17,85.17,85.17,85.17,85.17,85.17
15,SPEARGRASS GROVE (24-32)_00000,Low Volume,ac,92.41,92.41,92.41,92.41,92.41,92.41,92.41,92.41,92.41,92.41,92.41,92.41,92.41,92.41,92.41,92.41
