elem_index,area_name,onrc,surf_class,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037
0,BETHLEHEM ROAD/CARMICHAEL ROAD RAB_0_id_2114,Primary Collector,ac,49.34,49.34,49.34,49.34,49.34,49.34,49.34,49.34,45.76,45.76,45.76,45.76,45.76,45.76,45.76,45.76
1,CHERTSEY KYLE ROAD_383_id_118,Secondary Collector,seal,84.03,84.03,84.03,84.03,84.03,84.03,84.03,84.03,84.03,84.03,84.03,84.03,84.03,81.99,81.99,81.99
2,REIGHTON DRIVE_146_id_505,Access,seal,84.55,84.55,84.55,84.55,84.55,84.55,84.55,84.55,84.55,84.55,84.55,84.55,84.55,84.55,84.55,84.55
3,NESS ST_1382_id_5517,Access,seal,74.04,74.04,74.04,74.04,74.04,74.04,74.04,74.04,72.52,72.52,72.52,72.52,72.52,72.52,72.52,72.52
4,COURTNEY ROAD_19_id_116,Primary Collector,ac,19.46,19.46,19.46,19.46,19.46,19.46,19.46,19.46,19.46,19.46,19.46,19.46,19.46,19.46,19.46,19.46
5,MARONAN EALING ROAD_4215_id_370,Secondary Collector,seal,71.85,71.85,71.85,71.85,71.85,71.48,71.48,71.48,71.48,71.48,71.48,71.48,71.48,71.48,71.48,71.48
6,MICHAEL STREET WEST_443_id_731,Low Volume,seal,89.1,89.1,89.1,89.1,89.1,89.1,88.65,88.65,88.65,88.65,88.65,88.65,88.65,88.65,88.65,88.65
7,LAYARD ST_446_id_5457,Primary Collector,seal,11.1,11.1,11.1,11.1,66.75,66.35,66.35,66.35,66.35,66.35,66.35,66.35,66.35,66.35,66.35,66.35
8,COMPANY ROAD_2524_id_135,Secondary Collector,seal,54.54,54.54,54.54,54.54,54.54,54.54,54.54,54.54,54.54,54.54,54.54,54.54,54.54,54.54,54.54,54.54
9,DALWOOD DR_147_id_3766,Access,ac,83.65,83.65,83.65,83.65,83.65,83.65,83.65,83.65,83.65,83.65,83.65,83.65,83.65,80.2,80.2,80.2
10,MAINWARINGS ROAD_9157_id_364,Access,seal,74.94,74.94,74.94,74.94,74.94,74.94,74.84,74.84,74.84,74.84,74.84,74.84,74.84,74.84,74.84,74.84
11,JONAS STREET_93_id_454,Secondary Collector,seal,72.58,72.58,72.58,72.58,72.58,72.58,72.58,71.29,71.29,71.29,71.29,71.29,71.29,71.29,71.29,71.29
12,TAURIKURA DRIVE (EASTBOUND)_785_id_2139,Arterial,ac,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,72.13,72.13,72.13,72.13,72.13,72.13
13,HILLVIEW RD_0_id_1152,Secondary Collector,seal,79.97,79.97,82.91,82.91,82.91,82.91,82.91,82.91,82.91,82.91,82.91,82.91,80.22,80.22,80.22,80.22
14,REDMOND STREET_206_id_490,Access,ac,85.17,85.17,85.17,85.17,85.17,85.17,85.17,85.17,85.17,85.17,85.17,85.17,82.24,82.24,82.24,82.24
15,SPEARGRASS GROVE (24-32)_00000,Low Volume,ac,92.41,92.41,92.41,92.41,92.41,92.41,92.41,92.41,92.41,92.41,91.05,91.05,91.05,91.05,91.05,91.05
16,RICHARD PEARSE DRIVE_726_id_773,Secondary Collector,seal,70.18,70.18,70.18,70.18,70.18,70.18,70.18,68.83,68.83,68.83,68.83,68.83,68.83,68.83,68.83,68.83
17,SYMES ROAD_105_id_671,Low Volume,seal,86.91,86.91,86.91,86.91,86.91,86.91,86.91,86.91,86.91,86.91,86.91,85.29,85.29,85.29,85.29,85.29
18,ARMAGH ST 1 WEST FITZGERALD AVE_576_id_116,Primary Collector,ac,54.74,54.74,54.74,54.74,54.74,54.74,54.74,54.74,54.74,54.74,50.27,50.27,50.27,50.27,50.27,50.27
19,BROCKWORTH PL 1 OFF DEANS AVE_145_id_363,Low Volume,block,62.2,62.2,62.2,62.2,62.2,62.2,62.2,62.2,62.2,58.71,58.71,58.71,58.71,58.71,58.71,58.71
20,RANDOLPH ST_365_id_1980,Access,seal,82.19,83.2,83.2,83.2,83.2,83.2,83.2,83.2,83.2,83.2,83.2,83.2,83.2,79.97,79.97,79.97
21,BLACK BEECH ST. SOUTH_00000,Low Volume,seal,83.46,83.46,83.46,83.46,83.46,83.46,83.46,83.46,83.46,82.04,82.04,82.04,82.04,82.04,82.04,82.04
22,GEORGE ST_0_id_5373,Access,seal,78.56,78.56,78.56,78.56,78.56,78.56,78.56,78.56,78.56,77.08,77.08,77.08,77.08,77.08,77.08,77.08
23,KELVIN ST_0_id_5434,Primary Collector,ac,42.13,42.13,42.13,42.13,42.13,42.13,42.13,42.13,42.13,42.13,42.13,42.13,42.13,42.13,42.13,42.13
24,STAUNTON RD_123_id_5186,Access,seal,86.19,86.19,86.19,86.19,86.19,86.19,86.19,86.19,86.19,86.19,86.19,84.49,84.49,84.49,84.49,84.49
25,TUARANGI ROAD_500_id_602,Low Volume,seal,85.63,85.63,85.63,85.63,85.63,85.63,85.63,85.63,85.63,85.63,85.63,85.63,85.63,85.63,85.63,85.63
26,STEAD ST_2315_id_5130,Arterial,ac,35.32,35.32,35.32,35.32,35.32,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3
27,KERRIGAN CRESCENT_00003,Low Volume,ac,91.63,91.63,91.63,91.63,91.63,91.63,91.63,91.63,91.63,91.63,91.63,91.63,91.63,91.63,91.63,91.63
28,BANK ST_00000,Secondary Collector,seal,76.31,76.31,76.31,76.31,76.31,76.31,76.01,76.01,76.01,76.01,76.01,76.01,76.01,76.01,76.01,76.01
29,FORTH ST_130_id_5366,Secondary Collector,ac,67.1,67.1,67.1,67.1,67.1,67.1,67.1,67.1,67.1,67.1,67.1,67.1,67.1,67.1,67.1,67.1
30,TAIPARI STREET_593_id_568,Secondary Collector,seal,78.66,78.66,78.66,78.66,78.66,78.66,78.66,78.66,77.25,77.25,77.25,77.25,77.25,77.25,77.25,77.25
31,OLIVE STREET_7_id_289,Access,seal,87.98,87.98,87.98,87.98,87.98,87.98,87.98,87.98,87.98,87.98,87.98,87.98,87.98,87.98,87.98,85.61
