elem_index,area_name,onrc,surf_class,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037
0,BETHLEHEM ROAD/CARMICHAEL ROAD RAB_0_id_2114,Primary Collector,ac,70,72.59,75.19,77.79,80.42,83.06,85.72,88.38,74.19,76.79,79.4,82.03,84.67,87.32,89.99,92.68
1,CHERTSEY KYLE ROAD_383_id_118,Secondary Collector,seal,60,63.45,66.94,70.45,74,77.57,81.17,84.79,88.45,92.14,95.89,99.7,103.59,81.79,85.48,89.2
2,REIGHTON DRIVE_146_id_505,Access,seal,88.15,92.24,96.37,100.54,104.76,109.02,113.33,117.69,122.12,126.62,131.18,135.81,140.5,145.26,150.09,154.98
3,NESS ST_1382_id_5517,Access,seal,111.18,114.9,118.69,122.54,126.48,130.5,134.6,138.79,99.39,103.29,107.22,111.32,115.53,119.85,124.3,128.89
4,COURTNEY ROAD_19_id_116,Primary Collector,ac,91.1,93.05,95.02,97.04,99.1,101.21,103.36,105.56,107.84,110.22,112.72,115.4,118.33,121.6,125.31,129.71
5,MARONAN EALING ROAD_4215_id_370,Secondary Collector,seal,85.22,86.58,87.95,89.35,90.76,75.38,76.74,78.12,79.52,80.94,82.38,83.85,85.33,86.84,88.38,89.94
6,MICHAEL STREET WEST_443_id_731,Low Volume,seal,91.58,95.98,100.46,105.01,109.64,114.35,87.17,91.64,96.15,100.7,105.29,109.92,114.63,119.4,124.25,129.18
7,LAYARD ST_446_id_5457,Primary Collector,seal,82.92,85.49,88.29,91.25,60,60,62.5,65.03,67.59,70.18,72.79,75.43,78.08,80.77,83.54,86.36
8,COMPANY ROAD_2524_id_135,Secondary Collector,seal,60,61.65,63.35,65.13,66.97,68.88,70.86,72.92,75.07,77.32,79.67,82.16,84.83,87.72,90.86,94.3
9,DALWOOD DR_147_id_3766,Access,ac,88.52,90.67,92.83,95.01,97.2,99.41,101.63,103.87,106.11,108.36,110.62,112.89,115.15,87.58,89.89,92.22
10,MAINWARINGS ROAD_9157_id_364,Access,seal,85.22,86.65,88.11,89.6,91.14,92.71,76.36,77.83,79.32,80.84,82.38,83.95,85.55,87.17,88.81,90.48
11,JONAS STREET_93_id_454,Secondary Collector,seal,77.9,81.17,84.46,87.8,91.15,94.53,97.95,78.98,82.27,85.6,88.96,92.34,95.76,99.21,102.68,106.19
12,TAURIKURA DRIVE (EASTBOUND)_785_id_2139,Arterial,ac,61.75,63.36,65.03,66.75,68.52,70.32,72.14,73.97,75.83,77.74,55,56.06,57.14,58.23,59.33,60.43
13,HILLVIEW RD_0_id_1152,Secondary Collector,seal,144.75,148.75,104.37,108.42,112.51,116.64,120.8,125,129.29,133.65,138.08,142.59,101.29,105.58,109.9,114.28
14,REDMOND STREET_206_id_490,Access,ac,97.5,100.01,102.55,105.1,107.68,110.27,112.88,115.51,118.19,120.91,123.67,126.48,93.24,95.95,98.69,101.44
15,SPEARGRASS GROVE (24-32)_00000,Low Volume,ac,86.5,89.18,91.88,94.58,97.35,100.16,103.02,105.93,108.9,111.93,85.96,88.84,91.73,94.65,97.6,100.57
16,RICHARD PEARSE DRIVE_726_id_773,Secondary Collector,seal,87.4,90.89,94.4,97.95,101.53,105.15,108.82,84.41,87.94,91.5,95.1,98.72,102.37,106.05,109.75,113.47
17,SYMES ROAD_105_id_671,Low Volume,seal,91.58,93.31,95.09,96.92,98.8,100.73,102.73,104.8,106.96,109.2,111.55,85.77,87.72,89.7,91.83,94.04
18,ARMAGH ST 1 WEST FITZGERALD AVE_576_id_116,Primary Collector,ac,156.5,159.71,162.93,166.18,169.43,172.7,175.99,179.3,182.64,186.03,123.01,126.26,129.52,132.8,136.1,139.4
