elem_index,area_name,onrc,surf_class,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037
0,BETHLEHEM ROAD/CARMICHAEL ROAD RAB_0_id_2114,Primary Collector,ac,0,0,246.024,662.09633,837.30172,1054.34184,1351.31304,2099.94247,2923.05132,3842.47445,5010.52159,6568.29758,8599.13899,11103.04583,13995.38926,17217.33717
1,CHERTSEY KYLE ROAD_383_id_118,Secondary Collector,seal,99.25926,112.54731,127.89793,145.31111,333.62685,379.4235,432.68472,741.04249,849.48405,1238.20528,1462.62671,1728.74198,2036.55109,2412.97058,0,0
2,REIGHTON DRIVE_146_id_505,Access,seal,33.9,153.08451,291.04855,450.37168,634.24909,856.25367,1286.56788,0,0,0,0,0,0,122.90784,157.02666,199.68873
3,NESS ST_1382_id_5517,Access,seal,24,240.43572,494.65704,786.66395,0,0,0,0,0,0,168.38976,222.95973,290.647,658.47956,1230.13121,1939.25491
4,COURTNEY ROAD_19_id_116,Primary Collector,ac,82509.98469,108976.28654,130610.4966,147976.16781,162349.52472,173990.95589,182967.47533,190367.09487,196656.10888,201941.62935,206619.15608,211339.18277,216293.51151,221482.1423,227263.20601,233769.14092
5,MARONAN EALING ROAD_4215_id_370,Secondary Collector,seal,8029.44,8327.65765,15550.12909,16945.91139,20193.90351,24410.51562,27200.45429,30300.10561,33945.76098,38547.99204,0,0,0,0,0,0
6,MICHAEL STREET WEST_443_id_731,Low Volume,seal,0,1138.9854,1328.86554,1544.7581,1786.66307,2055.55978,2369.73741,2729.19594,0,0,143.38254,348.17975,458.18469,1551.58433,1815.68426,2147.13703
7,LAYARD ST_446_id_5457,Primary Collector,seal,72501.59999,94158.62225,109216.53793,0,0,0,0,0,0,0,850.63104,2225.50849,3115.87053,3794.74567,4613.82639,0
8,COMPANY ROAD_2524_id_135,Secondary Collector,seal,147214.8,171001.61224,194482.63355,217657.86394,240527.30341,263090.95195,285439.83958,307908.86081,330782.28423,354128.13916,378158.35812,402504.10298,426836.03587,451333.02806,476027.05829,500607.20297
9,DALWOOD DR_147_id_3766,Access,ac,0,34.79693,77.38604,127.76732,185.94078,261.8502,368.92833,507.17515,676.59068,896.12158,1193.57423,1568.94864,2022.2448,3491.49948,4323.66271,5302.10513
10,MAINWARINGS ROAD_9157_id_364,Access,seal,156,380.32144,473.54844,579.27482,698.57446,836.3545,992.61494,0,0,0,0,0,0,0,68.64,84.41597
11,JONAS STREET_93_id_454,Secondary Collector,seal,0,14.77875,138.73072,180.51383,281.53976,0,0,0,0,0,0,41.95488,54.05795,69.16017,158.77553,351.84821
12,TAURIKURA DRIVE (EASTBOUND)_785_id_2139,Arterial,ac,10915.2,13165.10928,15272.66389,17309.89116,19328.60322,21345.48397,23343.27644,25164.04353,26820.8354,28317.8901,29655.22135,30835.40841,31941.33198,33020.65332,34084.37616,35139.45051
13,HILLVIEW RD_0_id_1152,Secondary Collector,seal,192,248.35118,311.22681,381.73671,0,0,4.93142,31.28922,44.65211,162.31569,202.04563,252.57981,316.10005,0,0,0
14,REDMOND STREET_206_id_490,Access,ac,0,0,0,0,52.272,59.86954,176.14125,278.83577,322.25928,375.23096,437.81848,510.02182,591.841,690.22584,812.70238,961.37065
15,SPEARGRASS GROVE (24-32)_00000,Low Volume,ac,0,69.48,118.52268,338.10638,388.91801,446.2463,510.9022,585.96411,671.43204,767.30599,877.44167,1009.49125,1175.38619,1375.12651,1608.7122,1876.14325
16,RICHARD PEARSE DRIVE_726_id_773,Secondary Collector,seal,0,57.10269,533.5551,700.35957,1319.50644,0,0,0,0,0,161.0928,212.00877,952.1607,1344.50503,1830.79876,2241.54222
17,SYMES ROAD_105_id_671,Low Volume,seal,0,63.96177,137.48329,220.56456,313.20559,415.40637,527.1669,649.75661,795.3332,978.45434,1199.81449,0,0,103.68603,126.45062,153.18308
18,ARMAGH ST 1 WEST FITZGERALD AVE_576_id_116,Primary Collector,ac,0,0,0,65.52,174.24288,216.03897,265.6349,421.22453,571.69115,716.20078,902.41143,1140.04966,1439.52961,1821.19954,2303.15954,2890.94245
19,BROCKWORTH PL 1 OFF DEANS AVE_145_id_363,Low Volume,block,12,50.33186,96.19297,149.62613,210.63134,279.20859,361.87963,460.72226,576.40546,713.78997,878.12706,1080.01671,1321.45041,1602.42818,1922.95002,2296.21991
20,RANDOLPH ST_365_id_1980,Access,seal,776,0,0,0,97.8912,288.26146,825.71809,977.15094,1151.40707,1358.56034,1604.33731,1892.47633,0,0,100.71539,243.41624
21,BLACK BEECH ST. SOUTH_00000,Low Volume,seal,0,256.57401,557.01906,901.33514,1289.52227,1757.47929,0,0,0,0,0,214.368,270.47516,340.15405,788.80466,1999.92574
22,GEORGE ST_0_id_5373,Access,seal,223.2,736.416,825.09189,934.84346,1065.6707,1992.17328,2668.53252,3547.32744,4234.10922,5154.29319,6318.57738,0,0,78.12124,175.21859,291.29204
23,KELVIN ST_0_id_5434,Primary Collector,ac,3698.4,5410.6121,7517.04964,9582.27446,11631.24002,13722.35178,15855.60976,18146.38235,20757.67608,23730.44317,27197.7115,31303.0194,36046.36687,41093.45054,45877.25323,50468.49728
24,STAUNTON RD_123_id_5186,Access,seal,0,37.12539,79.82093,128.08662,181.92248,241.32849,306.30465,377.65654,462.75145,569.87358,699.27634,0,0,60.39601,109.09359,362.19672
25,TUARANGI ROAD_500_id_602,Low Volume,seal,116.44444,228.50255,357.5065,506.12626,677.19041,876.17535,0,0,0,89.9184,117.61393,756.15892,890.56578,1055.4145,1259.37217,1502.43882
26,STEAD ST_2315_id_5130,Arterial,ac,0,682.48994,1552.31251,2729.65931,4560.72128,7185.53294,11114.84154,16729.91006,24344.69309,34396.28434,45785.67135,57607.57419,68526.4809,78564.23515,87811.11623,96459.86239
27,KERRIGAN CRESCENT_00003,Low Volume,ac,0,0,0,0,0,0,186.48,208.53188,234.80573,265.30154,300.01933,338.95909,394.56223,467.05324,556.43214,662.69892
28,BANK ST_00000,Secondary Collector,seal,2178.76291,4326.68699,5074.34334,6934.9434,0,0,0,0,0,711.9552,916.72918,2383.76202,4727.39295,7395.69013,8941.67267,10818.0577
29,FORTH ST_130_id_5366,Secondary Collector,ac,134384.00002,137123.46884,140183.18944,143776.2163,148017.52341,152907.11076,158444.97835,164631.12619,171821.82909,180190.08085,189740.87851,200474.22205,212390.11148,224350.38176,236324.80604,248360.05768
30,TAIPARI STREET_593_id_568,Secondary Collector,seal,0,268.87449,586.2781,952.21082,1381.85415,0,0,0,0,0,212.48386,270.37308,704.35149,1398.24712,2175.56499,2613.48084
31,OLIVE STREET_7_id_289,Access,seal,0,0,0,0,0,0,395.46,460.41098,537.7042,627.33964,1555.83927,1836.7226,2183.19511,2595.25679,3106.72043,3757.82661
32,CASHMERE RD 1 EAST HENDERSONS RD_1840_id_457,Arterial,ac,0,54.23855,123.4143,217.49942,363.69093,569.94051,884.84819,1330.49256,1940.05487,2758.0427,3695.33143,4631.15998,5495.05216,6290.4579,7022.75589,7703.51425
33,MARONAN ROAD_16550_id_371,Secondary Collector,seal,159.12,159.12,159.12,159.12,1630.98,1870.34417,3383.82854,3921.77234,4532.5041,5234.04447,6103.78323,7173.10856,0,0,0,0
34,GALLAGHER DR_0_id_3989,Secondary Collector,seal,0,0,0,0,0,102.816,310.16545,365.34465,428.8129,502.69188,590.57501,692.46232,812.35572,0,0,47.56168
35,BEACH ROAD EAST_300_id_5069,Primary Collector,seal,173,349.2778,571.11065,0,0,0,0,0,73.92,104.63095,453.02545,577.24283,916.65272,1150.02068,0,0
36,LARK PLACE_5_id_2082,Low Volume,ac,222.72,320.92695,437.86526,573.53494,727.93599,908.13104,1115.27199,1349.35883,1613.89405,1919.98661,2237.16602,2565.4323,2904.78544,3255.22545,3616.75231,4001.86151
37,KOTARE LANE_126_id_5715,Low Volume,ac,1440,1583.96292,1744.69434,1925.69724,2151.94218,2423.42918,2753.24759,3150.14005,3614.10655,4145.14709,5474.81079,6380.88135,7471.18304,8745.71586,10204.47982,11852.18407
38,MEANDER DRIVE_577_id_385,Low Volume,ac,752.4,1117.26661,1541.21006,2024.23036,2583.01749,3225.46805,3951.58203,4761.35944,5679.54685,6687.01302,7739.71374,8837.64901,9980.81882,11169.22319,12431.96496,13801.2433
