elem_index,area_name,onrc,surf_class,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037
0,BETHLEHEM ROAD/CARMICHAEL ROAD RAB_0_id_2114,Primary Collector,ac,0,0,246.024,662.09633,837.30172,1054.34184,1351.31304,2099.94247,0,0,0,0,246.024,659.9321,843.68194,1069.4196
1,CHERTSEY KYLE ROAD_383_id_118,Secondary Collector,seal,99.25926,112.54731,127.89793,145.31111,333.62685,379.4235,432.68472,741.04249,849.48405,1238.20528,1462.62671,1728.74198,2036.55109,0,0,23.76248
2,REIGHTON DRIVE_146_id_505,Access,seal,33.9,153.08451,291.04855,450.37168,634.24909,856.25367,1286.56788,1634.91539,2054.90939,2589.39236,3247.61537,4038.8896,4963.66245,6063.10527,7377.495,8925.60356
3,NESS ST_1382_id_5517,Access,seal,24,240.43572,494.65704,786.66395,1138.38963,1576.82637,2101.97414,2952.91056,0,0,215.11553,346.05096,502.36175,685.09747,1102.05672,1509.44233
4,COURTNEY ROAD_19_id_116,Primary Collector,ac,82509.98469,108976.28654,130610.4966,147976.16781,162349.52472,173990.95589,182967.47533,190367.09487,196656.10888,201941.62935,206619.15608,211339.18277,216293.51151,221482.1423,227263.20601,233769.14092
5,MARONAN EALING ROAD_4215_id_370,Secondary Collector,seal,8029.44,8327.65765,15550.12909,16945.91139,20193.90351,0,0,0,0,0,0,1636.5888,2022.00205,6578.09391,12967.36263,17311.81237
6,MICHAEL STREET WEST_443_id_731,Low Volume,seal,0,1138.9854,1328.86554,1544.7581,1786.66307,2055.55978,0,0,0,147.4704,189.27208,1232.03522,1440.37117,1687.16246,1993.59183,2359.65927
7,LAYARD ST_446_id_5457,Primary Collector,seal,72501.59999,94158.62225,109216.53793,119608.52536,0,0,0,0,0,0,0,850.63104,2226.18297,3119.39267,3801.83409,4625.45992
8,COMPANY ROAD_2524_id_135,Secondary Collector,seal,147214.8,171001.61224,194482.63355,217657.86394,240527.30341,263090.95195,285439.83958,307908.86081,330782.28423,354128.13916,378158.35812,402504.10298,426836.03587,451333.02806,476027.05829,500607.20297
9,DALWOOD DR_147_id_3766,Access,ac,0,34.79693,77.38604,127.76732,185.94078,261.8502,368.92833,507.17515,676.59068,896.12158,1193.57423,1568.94864,2022.2448,0,0,56.92537
10,MAINWARINGS ROAD_9157_id_364,Access,seal,156,380.32144,473.54844,579.27482,698.57446,836.3545,0,0,0,0,0,0,0,68.64,84.27828,274.60837
11,JONAS STREET_93_id_454,Secondary Collector,seal,0,14.77875,138.73072,180.51383,281.53976,424.88647,549.55738,0,0,0,0,0,0,41.95488,54.35291,69.80348
12,TAURIKURA DRIVE (EASTBOUND)_785_id_2139,Arterial,ac,10915.2,13165.10928,15272.66389,17309.89116,19328.60322,21345.48397,23343.27644,25164.04353,26820.8354,28317.8901,0,0,0,0,141.246,188.25529
13,HILLVIEW RD_0_id_1152,Secondary Collector,seal,192,248.35118,0,0,4.91417,31.24819,44.48124,161.98477,201.35306,251.19313,313.88025,389.41442,0,0,0,20.2752
14,REDMOND STREET_206_id_490,Access,ac,0,0,0,0,52.272,59.86954,176.14125,278.83577,322.25928,375.23096,437.81848,510.02182,0,0,0,0
15,SPEARGRASS GROVE (24-32)_00000,Low Volume,ac,0,69.48,118.52268,338.10638,388.91801,446.2463,510.9022,585.96411,671.43204,767.30599,0,0,0,0,0,0
