elem_index,area_name,onrc,surf_class,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037
0,BETHLEHEM ROAD/CARMICHAEL ROAD RAB_0_id_2114,Primary Collector,ac,0,0,0.3,0.63136,0.7934,0.99512,1.28298,1.90735,2.52226,3.38677,4.50086,5.98069,7.9158,10.30618,13.01979,15.92579
1,CHERTSEY KYLE ROAD_383_id_118,Secondary Collector,seal,0,0,0,0,0.3,0.3431,0.3958,0.7221,0.83123,1.20646,1.45456,1.75434,2.10581,2.55679,0,0
2,REIGHTON DRIVE_146_id_505,Access,seal,0,0.11072,0.24171,0.39297,0.56452,0.77577,1.05711,0,0,0,0,0,0,0,0,0
3,NESS ST_1382_id_5517,Access,seal,0,0.14976,0.3292,0.5383,0,0,0,0,0,0,0,0,0,0.3,0.59634,0.91229
4,COURTNEY ROAD_19_id_116,Primary Collector,ac,19.11772,24.92335,29.78226,33.71277,36.96627,39.62708,41.71364,43.443,44.89638,46.10563,47.17205,48.23635,49.34369,50.49407,51.75528,53.15132
5,MARONAN EALING ROAD_4215_id_370,Secondary Collector,seal,0.6,0.63207,1.23278,1.35135,1.48777,1.66203,1.85743,2.07364,2.32832,2.65734,0,0,0,0,0,0
6,MICHAEL STREET WEST_443_id_731,Low Volume,seal,0,0.794,0.93674,1.09971,1.28292,1.48752,1.73535,2.02641,0,0,0.10267,0.14372,0.19208,1.02174,1.18241,1.38039
7,LAYARD ST_446_id_5457,Primary Collector,seal,34.06393,41.42039,46.56011,0,0,0,0,0,0,0,0.3,0.62636,0.97425,1.17781,1.41257,0
8,COMPANY ROAD_2524_id_135,Secondary Collector,seal,11.6,13.5188,15.42024,17.30432,19.17104,21.0204,22.86467,24.749,26.68688,28.67922,30.74309,32.81708,34.85679,36.88635,38.92139,40.96874
9,DALWOOD DR_147_id_3766,Access,ac,0,0.04007,0.0891,0.14711,0.21409,0.3015,0.42479,0.58397,0.77903,1.0318,1.37429,1.8065,2.32843,3.45482,4.32989,5.36203
10,MAINWARINGS ROAD_9157_id_364,Access,seal,0.4,0.71191,0.86401,1.03615,1.23108,1.46138,1.72706,0,0,0,0,0,0,0,0,0
11,JONAS STREET_93_id_454,Secondary Collector,seal,0,0.062,0.40597,0.55032,0.76196,0,0,0,0,0,0,0,0,0,0.3,0.62281
12,TAURIKURA DRIVE (EASTBOUND)_785_id_2139,Arterial,ac,14.13534,17.06679,20.00509,22.95025,26.01232,29.22672,32.50321,35.49472,38.21636,40.66812,42.85001,44.76533,46.53055,48.2364,49.893,51.50034
13,HILLVIEW RD_0_id_1152,Secondary Collector,seal,1.66667,2.06627,2.51073,3.00968,0,0,0.04281,0.09561,0.1584,0.72519,0.93126,1.19266,1.5094,0,0,0
14,REDMOND STREET_206_id_490,Access,ac,0,0,0,0,0.3,0.3436,0.65891,0.98616,1.15111,1.35963,1.61212,1.90857,2.24899,2.66923,3.19677,3.83912
15,SPEARGRASS GROVE (24-32)_00000,Low Volume,ac,0,0.3,0.33576,0.87111,1.01004,1.16665,1.34443,1.55668,1.80339,2.08456,2.4051,2.78679,3.27275,3.863,4.55752,5.35632
16,RICHARD PEARSE DRIVE_726_id_773,Secondary Collector,seal,0,0.06239,0.40693,0.55575,1.00384,0,0,0,0,0,0,0,0.564,0.66695,1.00489,1.19619
17,SYMES ROAD_105_id_671,Low Volume,seal,0,0.1124,0.24179,0.38816,0.55152,0.73186,0.92919,1.14717,1.40894,1.73802,2.13504,0,0,0.17964,0.21908,0.26539
18,ARMAGH ST 1 WEST FITZGERALD AVE_576_id_116,Primary Collector,ac,0,0,0,0.3,0.62182,0.76485,0.93438,1.3907,1.75212,2.22792,2.84974,3.66211,4.69366,6.00138,7.6587,9.68337
19,BROCKWORTH PL 1 OFF DEANS AVE_145_id_363,Low Volume,block,0,0.13698,0.29838,0.4842,0.69444,0.92909,1.22394,1.59347,2.04166,2.58752,3.2541,4.10229,5.1487,6.39333,7.83617,9.54526
20,RANDOLPH ST_365_id_1980,Access,seal,0.73355,0,0,0,0,0.3,0.82523,0.96903,1.13435,1.32117,1.5295,1.76606,0,0,0.10865,0.15698
21,BLACK BEECH ST. SOUTH_00000,Low Volume,seal,0,0.13545,0.29554,0.48026,0.68962,0.95309,0,0,0,0,0,0,0,0,0.3,0.82553
22,GEORGE ST_0_id_5373,Access,seal,0.12346,0.42346,0.47529,0.53945,0.61592,0.98151,1.17347,1.63142,1.96905,2.43503,3.03562,0,0,0.04567,0.10242,0.17027
23,KELVIN ST_0_id_5434,Primary Collector,ac,3.51145,5.02743,6.89405,8.6979,10.43821,12.14826,13.82805,15.5433,17.38335,19.37874,21.61705,24.18003,27.06769,30.08958,32.91335,35.58501
