elem_index,area_name,onrc,surf_class,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037
0,BETHLEHEM ROAD/CARMICHAEL ROAD RAB_0_id_2114,Primary Collector,ac,0,0,0.3,0.63136,0.7934,0.99512,1.28298,1.90735,0,0,0,0,0.3,0.62872,0.79635,1.00201
1,CHERTSEY KYLE ROAD_383_id_118,Secondary Collector,seal,0,0,0,0,0.3,0.3431,0.3958,0.7221,0.83123,1.20646,1.45456,1.75434,2.10581,0,0,0.04222
2,REIGHTON DRIVE_146_id_505,Access,seal,0,0.11072,0.24171,0.39297,0.56452,0.77577,1.05711,1.39066,1.79648,2.33593,3.01904,3.84581,4.81689,5.99124,7.40292,9.06769
3,NESS ST_1382_id_5517,Access,seal,0,0.14976,0.3292,0.5383,0.79314,1.12051,1.52041,2.02926,0,0,0.154,0.25998,0.38664,0.53508,0.74387,1.03538
4,COURTNEY ROAD_19_id_116,Primary Collector,ac,19.11772,24.92335,29.78226,33.71277,36.96627,39.62708,41.71364,43.443,44.89638,46.10563,47.17205,48.23635,49.34369,50.49407,51.75528,53.15132
5,MARONAN EALING ROAD_4215_id_370,Secondary Collector,seal,0.6,0.63207,1.23278,1.35135,1.48777,0,0,0,0,0,0,0,0,0.264,0.84517,0.98929
6,MICHAEL STREET WEST_443_id_731,Low Volume,seal,0,0.794,0.93674,1.09971,1.28292,1.48752,0,0,0,0,0,0.794,0.91535,1.05467,1.21197,1.38724
7,LAYARD ST_446_id_5457,Primary Collector,seal,34.06393,41.42039,46.56011,50.13215,0,0,0,0,0,0,0,0.3,0.62663,0.9754,1.18013,1.41622
8,COMPANY ROAD_2524_id_135,Secondary Collector,seal,11.6,13.5188,15.42024,17.30432,19.17104,21.0204,22.86467,24.749,26.68688,28.67922,30.74309,32.81708,34.85679,36.88635,38.92139,40.96874
9,DALWOOD DR_147_id_3766,Access,ac,0,0.04007,0.0891,0.14711,0.21409,0.3015,0.42479,0.58397,0.77903,1.0318,1.37429,1.8065,2.32843,0,0,0.06554
10,MAINWARINGS ROAD_9157_id_364,Access,seal,0.4,0.71191,0.86401,1.03615,1.23108,1.46138,0,0,0,0,0,0,0,0,0,0.264
11,JONAS STREET_93_id_454,Secondary Collector,seal,0,0.062,0.40597,0.55032,0.76196,1.28337,1.71515,0,0,0,0,0,0,0,0,0
12,TAURIKURA DRIVE (EASTBOUND)_785_id_2139,Arterial,ac,14.13534,17.06679,20.00509,22.95025,26.01232,29.22672,32.50321,35.49472,38.21636,40.66812,0,0,0,0,0.3,0.39985
