elem_index,area_name,onrc,surf_class,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037
0,BETHLEHEM ROAD/CARMICHAEL ROAD RAB_0_id_2114,Primary Collector,ac,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.14,0.15,0.15,0.16,0.16,0.17,0.18
1,CHERTSEY KYLE ROAD_383_id_118,Secondary Collector,seal,0.03,0.14,0.14,0.14,0.14,0.14,0.15,0.15,0.15,0.15,0.16,0.17,0.17,0.18,0.14,0.14
2,REIGHTON DRIVE_146_id_505,Access,seal,0.03,0.15,0.15,0.15,0.15,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.16
3,NESS ST_1382_id_5517,Access,seal,0.05,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.21,0.21,0.21,0.22,0.23
4,COURTNEY ROAD_19_id_116,Primary Collector,ac,0.31,0.31,0.38,0.44,0.49,0.53,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7,0.73,0.76
5,MARONAN EALING ROAD_4215_id_370,Secondary Collector,seal,0.03,0.14,0.14,0.15,0.15,0.16,0.16,0.16,0.17,0.17,0.13,0.13,0.14,0.14,0.14,0.14
6,MICHAEL STREET WEST_443_id_731,Low Volume,seal,0.03,0.12,0.13,0.13,0.14,0.14,0.14,0.14,0.12,0.12,0.12,0.12,0.13,0.13,0.14,0.14
7,LAYARD ST_446_id_5457,Primary Collector,seal,0.08,0.31,0.45,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.36,0.36,0.38,0.38,0.35
8,COMPANY ROAD_2524_id_135,Secondary Collector,seal,0.14,0.44,0.49,0.53,0.58,0.63,0.67,0.71,0.75,0.79,0.82,0.85,0.88,0.91,0.93,0.95
9,DALWOOD DR_147_id_3766,Access,ac,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.06,0.06
10,MAINWARINGS ROAD_9157_id_364,Access,seal,0.03,0.13,0.13,0.13,0.13,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.14
11,JONAS STREET_93_id_454,Secondary Collector,seal,0.06,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.25,0.25,0.25,0.26
12,TAURIKURA DRIVE (EASTBOUND)_785_id_2139,Arterial,ac,0.2,0.2,0.25,0.28,0.32,0.35,0.37,0.39,0.41,0.42,0.44,0.46,0.48,0.5,0.52,0.55
13,HILLVIEW RD_0_id_1152,Secondary Collector,seal,0.04,0.15,0.16,0.16,0.16,0.16,0.16,0.16,0.17,0.17,0.18,0.19,0.19,0.16,0.16,0.16
14,REDMOND STREET_206_id_490,Access,ac,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05
15,SPEARGRASS GROVE (24-32)_00000,Low Volume,ac,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04
16,RICHARD PEARSE DRIVE_726_id_773,Secondary Collector,seal,0.06,0.24,0.24,0.25,0.25,0.24,0.24,0.24,0.25,0.25,0.25,0.26,0.26,0.27,0.27,0.29
