elem_index,area_name,onrc,surf_class,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037
0,BETHLEHEM ROAD/CARMICHAEL ROAD RAB_0_id_2114,Primary Collector,ac,87.25,87.25,87.25,87.25,87.25,87.25,87.25,87.25,87.25,87.25,87.25,87.25,87.25,87.25,87.25,87.25
1,CHERTSEY KYLE ROAD_383_id_118,Secondary Collector,seal,96.67,96.67,96.67,96.67,96.67,96.67,96.67,96.67,96.67,96.67,96.67,96.67,96.67,96.67,86.4,86.4
2,REIGHTON DRIVE_146_id_505,Access,seal,96.5,96.5,96.5,96.5,96.5,96.5,96.5,85.42,85.42,85.42,85.42,85.42,85.42,85.42,85.42,85.42
3,NESS ST_1382_id_5517,Access,seal,95.04,95.04,95.04,95.04,80.23,80.23,80.23,80.23,80.23,80.23,80.23,80.23,80.23,80.23,80.23,80.23
4,COURTNEY ROAD_19_id_116,Primary Collector,ac,69.19,69.19,69.19,69.19,69.19,69.19,69.19,69.19,69.19,69.19,69.19,69.19,69.19,69.19,69.19,69.19
5,MARONAN EALING ROAD_4215_id_370,Secondary Collector,seal,96.57,96.57,96.57,96.57,96.57,96.57,96.57,96.57,96.57,96.57,86.51,86.51,86.51,86.51,86.51,86.51
6,MICHAEL STREET WEST_443_id_731,Low Volume,seal,97.17,97.17,97.17,97.17,97.17,97.17,97.17,97.17,61.45,61.45,61.45,61.45,61.45,61.45,61.45,61.45
7,LAYARD ST_446_id_5457,Primary Collector,seal,91.51,91.51,91.51,65.67,65.64,65.64,65.64,65.64,65.64,65.64,65.64,65.64,65.64,65.64,65.64,65.35
8,COMPANY ROAD_2524_id_135,Secondary Collector,seal,85.83,85.83,85.83,85.83,85.83,85.83,85.83,85.83,85.83,85.83,85.83,85.83,85.83,85.83,85.83,85.83
9,DALWOOD DR_147_id_3766,Access,ac,94.22,94.22,94.22,94.22,94.22,94.22,94.22,94.22,94.22,94.22,94.22,94.22,94.22,94.22,94.22,94.22
10,MAINWARINGS ROAD_9157_id_364,Access,seal,97.04,97.04,97.04,97.04,97.04,97.04,97.04,87.15,87.15,87.15,87.15,87.15,87.15,87.15,87.15,87.15
11,JONAS STREET_93_id_454,Secondary Collector,seal,93.91,93.91,93.91,93.91,93.91,76.38,76.38,76.38,76.38,76.38,76.38,76.38,76.38,76.38,76.38,76.38
12,TAURIKURA DRIVE (EASTBOUND)_785_id_2139,Arterial,ac,79.94,79.94,79.94,79.94,79.94,79.94,79.94,79.94,79.94,79.94,79.94,79.94,79.94,79.94,79.94,79.94
13,HILLVIEW RD_0_id_1152,Secondary Collector,seal,96.29,96.29,96.29,96.29,83.83,83.83,83.83,83.83,83.83,83.83,83.83,83.83,83.83,83.69,83.69,83.69
14,REDMOND STREET_206_id_490,Access,ac,96.02,96.02,96.02,96.02,96.02,96.02,96.02,96.02,96.02,96.02,96.02,96.02,96.02,96.02,96.02,96.02
15,SPEARGRASS GROVE (24-32)_00000,Low Volume,ac,97.29,97.29,97.29,97.29,97.29,97.29,97.29,97.29,97.29,97.29,97.29,97.29,97.29,97.29,97.29,97.29
16,RICHARD PEARSE DRIVE_726_id_773,Secondary Collector,seal,93.63,93.63,93.63,93.63,93.63,75.53,75.53,75.53,75.53,75.53,75.53,75.53,75.53,75.53,75.53,75.53
17,SYMES ROAD_105_id_671,Low Volume,seal,97.86,97.86,97.86,97.86,97.86,97.86,97.86,97.86,97.86,97.86,97.86,63.35,63.35,63.35,63.35,63.35
18,ARMAGH ST 1 WEST FITZGERALD AVE_576_id_116,Primary Collector,ac,90.32,90.32,90.32,90.32,90.32,90.32,90.32,90.32,90.32,90.32,90.32,90.32,90.32,90.32,90.32,90.32
19,BROCKWORTH PL 1 OFF DEANS AVE_145_id_363,Low Volume,block,93.86,93.86,93.86,93.86,93.86,93.86,93.86,93.86,93.86,93.86,93.86,93.86,93.86,93.86,93.86,93.86
20,RANDOLPH ST_365_id_1980,Access,seal,93.77,77.85,77.85,77.85,77.85,77.85,77.85,77.85,77.85,77.85,77.85,77.85,54.34,54.34,54.34,54.34
21,BLACK BEECH ST. SOUTH_00000,Low Volume,seal,95.67,95.67,95.67,95.67,95.67,95.67,82.26,82.26,82.26,82.26,82.26,82.26,82.26,82.26,82.26,82.26
22,GEORGE ST_0_id_5373,Access,seal,95.5,95.5,95.5,95.5,95.5,95.5,95.5,95.5,95.5,95.5,95.5,81.52,81.52,81.52,81.52,81.52
23,KELVIN ST_0_id_5434,Primary Collector,ac,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5
