elem_index,area_name,onrc,surf_class,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037
0,BETHLEHEM ROAD/CARMICHAEL ROAD RAB_0_id_2114,Primary Collector,ac,0,0,0,0,0,0,0,0.1,0.23,0.38,0.54,0.72,0.93,1.15,1.41,1.75
1,CHERTSEY KYLE ROAD_383_id_118,Secondary Collector,seal,0,0,0,0,0,0,0,0,0,0.1,0.22,0.35,0.49,0.65,0,0
2,REIGHTON DRIVE_146_id_505,Access,seal,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0
3,NESS ST_1382_id_5517,Access,seal,0,0.11,0.23,0.36,0,0,0,0,0,0,0,0,0,0,0,0.1
4,COURTNEY ROAD_19_id_116,Primary Collector,ac,0.03,0.13,0.31,0.52,0.76,1.03,1.35,1.79,2.34,3.01,3.79,4.73,5.96,7.48,9.29,11.39
5,MARONAN EALING ROAD_4215_id_370,Secondary Collector,seal,0,0,0,0,0,0.1,0.22,0.35,0.49,0.65,0,0,0,0,0,0
6,MICHAEL STREET WEST_443_id_731,Low Volume,seal,0,0.1,0.22,0.35,0.5,0.66,0.84,1.03,0,0,0.51,0.72,0.96,1.24,1.55,1.98
7,LAYARD ST_446_id_5457,Primary Collector,seal,0,0.11,0.24,0,0,0,0,0,0,0,0,0.1,0.28,0.49,0.73,0
8,COMPANY ROAD_2524_id_135,Secondary Collector,seal,0,0.12,0.26,0.41,0.59,0.78,1,1.23,1.53,1.91,2.36,2.88,3.49,4.16,4.99,6.01
9,DALWOOD DR_147_id_3766,Access,ac,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.22,0.35
10,MAINWARINGS ROAD_9157_id_364,Access,seal,0,0.1,0.21,0.34,0.48,0.63,0.8,0,0,0,0,0,0,0,0,0
11,JONAS STREET_93_id_454,Secondary Collector,seal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
12,TAURIKURA DRIVE (EASTBOUND)_785_id_2139,Arterial,ac,0,0.13,0.28,0.45,0.65,0.86,1.1,1.39,1.76,2.21,2.76,3.39,4.11,4.99,6.09,7.4
13,HILLVIEW RD_0_id_1152,Secondary Collector,seal,0,0.12,0.26,0.41,0,0,0,0,0,0.1,0.23,0.38,0.55,0,0,0
14,REDMOND STREET_206_id_490,Access,ac,0,0,0,0,0,0,0,0.1,0.21,0.33,0.47,0.63,0.8,0.98,1.18,1.41
15,SPEARGRASS GROVE (24-32)_00000,Low Volume,ac,0,0,0,0.1,0.21,0.33,0.47,0.63,0.8,0.98,1.18,1.41,1.7,2.05,2.45,2.92
16,RICHARD PEARSE DRIVE_726_id_773,Secondary Collector,seal,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0.25,0.42
17,SYMES ROAD_105_id_671,Low Volume,seal,0,0.1,0.22,0.35,0.5,0.66,0.83,1.02,1.22,1.48,1.8,0,0,0.9,1.1,1.33
18,ARMAGH ST 1 WEST FITZGERALD AVE_576_id_116,Primary Collector,ac,0,0,0,0,0,0,0,0.1,0.22,0.35,0.5,0.67,0.85,1.06,1.27,1.55
19,BROCKWORTH PL 1 OFF DEANS AVE_145_id_363,Low Volume,block,0,0.11,0.23,0.37,0.52,0.69,0.88,1.08,1.31,1.6,1.96,2.37,2.85,3.4,4,4.71
20,RANDOLPH ST_365_id_1980,Access,seal,0.76,0,0,0,0,0,0.1,0.25,0.43,0.62,0.84,1.09,0,0,0.54,0.78
21,BLACK BEECH ST. SOUTH_00000,Low Volume,seal,0,0.11,0.23,0.36,0.51,0.68,0,0,0,0,0,0,0,0,0,0.1
22,GEORGE ST_0_id_5373,Access,seal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,KELVIN ST_0_id_5434,Primary Collector,ac,0,0.11,0.24,0.39,0.55,0.73,0.93,1.14,1.4,1.72,2.11,2.57,3.1,3.69,4.35,5.18
24,STAUNTON RD_123_id_5186,Access,seal,0,0.1,0.22,0.35,0.5,0.66,0.84,1.03,1.23,1.49,1.81,0,0,0.91,1.11,1.35
25,TUARANGI ROAD_500_id_602,Low Volume,seal,0,0.1,0.22,0.36,0.5,0.67,0,0,0,0,0,0.1,0.22,0.37,0.53,0.71
26,STEAD ST_2315_id_5130,Arterial,ac,0,0.11,0.25,0.39,0.56,0.74,0.94,1.16,1.43,1.77,2.18,2.65,3.2,3.81,4.52,5.39
27,KERRIGAN CRESCENT_00003,Low Volume,ac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
