elem_index,area_name,onrc,surf_class,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037
0,BETHLEHEM ROAD/CARMICHAEL ROAD RAB_0_id_2114,Primary Collector,ac,5.775,5.831,5.887,5.941,5.996,6.05,6.103,6.156,6.216,6.285,6.364,6.456,6.561,6.676,6.805,6.953
1,CHERTSEY KYLE ROAD_383_id_118,Secondary Collector,seal,5,5.19,5.379,5.568,5.758,5.945,6.131,6.317,6.504,6.69,6.892,7.11,7.349,7.61,5.805,5.988
2,REIGHTON DRIVE_146_id_505,Access,seal,5.55,5.744,5.938,6.132,6.327,6.521,6.716,5.358,5.549,5.74,5.931,6.121,6.311,6.501,6.692,6.883
3,NESS ST_1382_id_5517,Access,seal,5,5.171,5.355,5.554,4.777,4.947,5.117,5.286,5.455,5.623,5.792,5.961,6.131,6.3,6.469,6.638
4,COURTNEY ROAD_19_id_116,Primary Collector,ac,4,4.038,4.08,4.13,4.191,4.269,4.37,4.494,4.661,4.903,5.266,5.846,6.751,8.004,9.502,11.259
5,MARONAN EALING ROAD_4215_id_370,Secondary Collector,seal,5.55,5.83,6.11,6.388,6.666,6.946,7.242,7.563,7.912,8.291,6.146,6.417,6.687,6.957,7.227,7.496
6,MICHAEL STREET WEST_443_id_731,Low Volume,seal,5.65,5.855,6.077,6.318,6.58,6.865,7.18,7.532,5.766,5.967,6.169,6.449,6.769,7.139,7.577,8.108
7,LAYARD ST_446_id_5457,Primary Collector,seal,5,5.042,5.097,3,4,4.148,4.296,4.444,4.591,4.738,4.885,5.031,5.188,5.368,5.576,4.788
8,COMPANY ROAD_2524_id_135,Secondary Collector,seal,4.5,4.8,5.134,5.502,5.907,6.37,6.896,7.496,8.18,8.971,9.897,10.967,12.17,13.507,14.962,16.51
9,DALWOOD DR_147_id_3766,Access,ac,4,4.096,4.191,4.285,4.379,4.472,4.564,4.655,4.745,4.834,4.921,5.005,5.087,5.166,5.253,5.348
10,MAINWARINGS ROAD_9157_id_364,Access,seal,5.55,5.834,6.138,6.465,6.819,7.201,7.618,5.809,6.094,6.379,6.663,6.947,7.23,7.513,7.796,8.08
11,JONAS STREET_93_id_454,Secondary Collector,seal,5.9,6.064,6.228,6.391,6.554,5.277,5.44,5.602,5.764,5.926,6.088,6.249,6.412,6.574,6.737,6.898
12,TAURIKURA DRIVE (EASTBOUND)_785_id_2139,Arterial,ac,5.55,5.66,5.783,5.921,6.076,6.249,6.439,6.652,6.897,7.19,7.566,8.07,8.77,9.714,10.9,12.304
13,HILLVIEW RD_0_id_1152,Secondary Collector,seal,5.425,5.599,5.786,5.989,4.994,5.18,5.365,5.55,5.735,5.92,6.121,6.341,6.585,5.293,5.475,5.658
14,REDMOND STREET_206_id_490,Access,ac,4.05,4.155,4.259,4.363,4.468,4.57,4.672,4.775,4.887,5.007,5.139,5.283,5.443,5.622,5.823,6.052
15,SPEARGRASS GROVE (24-32)_00000,Low Volume,ac,4,4.118,4.235,4.352,4.48,4.618,4.769,4.935,5.119,5.325,5.559,5.824,6.125,6.486,6.93,7.494
16,RICHARD PEARSE DRIVE_726_id_773,Secondary Collector,seal,5.65,5.812,5.973,6.134,6.294,5.147,5.307,5.467,5.627,5.786,5.945,6.105,6.266,6.425,6.596,6.788
17,SYMES ROAD_105_id_671,Low Volume,seal,5.65,5.977,6.326,6.699,7.097,7.537,8.021,8.561,9.161,9.833,10.595,7.298,7.619,7.939,8.486,9.096
18,ARMAGH ST 1 WEST FITZGERALD AVE_576_id_116,Primary Collector,ac,5.875,5.938,6,6.063,6.124,6.185,6.245,6.305,6.374,6.452,6.542,6.645,6.759,6.887,7.032,7.196
19,BROCKWORTH PL 1 OFF DEANS AVE_145_id_363,Low Volume,block,4,4.065,4.139,4.224,4.325,4.437,4.566,4.714,4.887,5.092,5.346,5.666,6.082,6.653,7.421,8.409
20,RANDOLPH ST_365_id_1980,Access,seal,4,4,4.177,4.353,4.529,4.707,4.882,5.072,5.284,5.523,5.795,6.105,5.053,5.226,5.399,5.648
21,BLACK BEECH ST. SOUTH_00000,Low Volume,seal,5,5.185,5.384,5.6,5.836,6.097,5.048,5.232,5.415,5.597,5.779,5.961,6.144,6.328,6.511,6.692
22,GEORGE ST_0_id_5373,Access,seal,4,4.179,4.356,4.531,4.706,4.881,5.054,5.228,5.402,5.575,5.745,4.873,5.049,5.225,5.401,5.575
23,KELVIN ST_0_id_5434,Primary Collector,ac,4.5,4.55,4.602,4.655,4.712,4.775,4.845,4.927,5.024,5.139,5.281,5.467,5.721,6.077,6.591,7.343
24,STAUNTON RD_123_id_5186,Access,seal,5,5.316,5.655,6.017,6.406,6.832,7.304,7.829,8.415,9.073,9.822,6.911,7.221,7.53,8.063,8.663
25,TUARANGI ROAD_500_id_602,Low Volume,seal,5.65,5.846,6.058,6.288,6.539,6.813,5.407,5.599,5.791,5.982,6.175,6.368,6.576,6.804,7.055,7.334
26,STEAD ST_2315_id_5130,Arterial,ac,4,4.057,4.122,4.197,4.285,4.388,4.503,4.632,4.778,4.946,5.145,5.398,5.729,6.18,6.822,7.706
27,KERRIGAN CRESCENT_00003,Low Volume,ac,4,4.111,4.222,4.332,4.443,4.553,4.663,4.771,4.879,4.987,5.094,5.201,5.307,5.413,5.518,5.622
28,BANK ST_00000,Secondary Collector,seal,6,6.177,6.355,6.532,5.266,5.438,5.61,5.781,5.952,6.123,6.295,6.468,6.638,6.821,7.024,7.251
29,FORTH ST_130_id_5366,Secondary Collector,ac,5,5.005,5.012,5.021,5.036,5.06,5.102,5.178,5.305,5.508,5.853,6.463,7.456,8.756,10.268,11.953
30,TAIPARI STREET_593_id_568,Secondary Collector,seal,4,4.174,4.362,4.564,4.788,4.394,4.567,4.739,4.911,5.083,5.255,5.427,5.6,5.771,5.954,6.158
