elem_index,area_name,onrc,surf_class,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037
0,BETHLEHEM ROAD/CARMICHAEL ROAD RAB_0_id_2114,Primary Collector,ac,5.775,5.831,5.887,5.941,5.996,6.05,6.103,6.156,5.078,5.133,5.187,5.241,5.296,5.348,5.401,5.453
1,CHERTSEY KYLE ROAD_383_id_118,Secondary Collector,seal,5,5.19,5.379,5.568,5.758,5.945,6.131,6.317,6.504,6.69,6.892,7.11,7.349,5.674,5.858,6.041
2,REIGHTON DRIVE_146_id_505,Access,seal,5.55,5.744,5.938,6.132,6.327,6.521,6.716,6.925,7.15,7.395,7.66,7.948,8.266,8.619,9.007,9.448
3,NESS ST_1382_id_5517,Access,seal,5,5.171,5.355,5.554,5.774,6.016,6.285,6.581,5.29,5.459,5.627,5.868,6.144,6.469,6.857,7.347
4,COURTNEY ROAD_19_id_116,Primary Collector,ac,4,4.038,4.08,4.13,4.191,4.269,4.37,4.494,4.661,4.903,5.266,5.846,6.751,8.004,9.502,11.259
5,MARONAN EALING ROAD_4215_id_370,Secondary Collector,seal,5.55,5.83,6.11,6.388,6.666,5.333,5.606,5.879,6.151,6.422,6.694,6.965,7.237,7.51,7.783,8.072
6,MICHAEL STREET WEST_443_id_731,Low Volume,seal,5.65,5.855,6.077,6.318,6.58,6.865,5.433,5.635,5.837,6.039,6.242,6.445,6.665,6.904,7.165,7.453
7,LAYARD ST_446_id_5457,Primary Collector,seal,5,5.042,5.097,5.168,3,4,4.148,4.296,4.443,4.59,4.737,4.883,5.029,5.186,5.366,5.573
8,COMPANY ROAD_2524_id_135,Secondary Collector,seal,4.5,4.8,5.134,5.502,5.907,6.37,6.896,7.496,8.18,8.971,9.897,10.967,12.17,13.507,14.962,16.51
9,DALWOOD DR_147_id_3766,Access,ac,4,4.096,4.191,4.285,4.379,4.472,4.564,4.655,4.745,4.834,4.921,5.005,5.087,4.543,4.635,4.727
10,MAINWARINGS ROAD_9157_id_364,Access,seal,5.55,5.834,6.138,6.465,6.819,7.201,5.6,5.886,6.171,6.456,6.74,7.024,7.307,7.59,7.875,8.159
11,JONAS STREET_93_id_454,Secondary Collector,seal,5.9,6.064,6.228,6.391,6.554,6.716,6.891,5.445,5.607,5.769,5.931,6.092,6.253,6.414,6.576,6.738
12,TAURIKURA DRIVE (EASTBOUND)_785_id_2139,Arterial,ac,5.55,5.66,5.783,5.921,6.076,6.249,6.439,6.652,6.897,7.19,2.2,2.287,2.374,2.461,2.548,2.632
13,HILLVIEW RD_0_id_1152,Secondary Collector,seal,5.425,5.599,4.8,4.986,5.172,5.357,5.543,5.729,5.93,6.151,6.396,6.669,5.334,5.517,5.7,5.882
14,REDMOND STREET_206_id_490,Access,ac,4.05,4.155,4.259,4.363,4.468,4.57,4.672,4.775,4.887,5.007,5.139,5.283,4.641,4.744,4.846,4.948
15,SPEARGRASS GROVE (24-32)_00000,Low Volume,ac,4,4.118,4.235,4.352,4.48,4.618,4.769,4.935,5.119,5.325,4.663,4.779,4.895,5.011,5.126,5.241
16,RICHARD PEARSE DRIVE_726_id_773,Secondary Collector,seal,5.65,5.812,5.973,6.134,6.294,6.467,6.653,5.326,5.486,5.645,5.804,5.963,6.122,6.281,6.441,6.6
17,SYMES ROAD_105_id_671,Low Volume,seal,5.65,5.977,6.326,6.699,7.097,7.537,8.021,8.561,9.161,9.833,10.595,7.298,7.619,7.939,8.486,9.096
18,ARMAGH ST 1 WEST FITZGERALD AVE_576_id_116,Primary Collector,ac,5.875,5.938,6,6.063,6.124,6.185,6.245,6.305,6.374,6.452,5.226,5.287,5.348,5.408,5.468,5.526
19,BROCKWORTH PL 1 OFF DEANS AVE_145_id_363,Low Volume,block,4,4.065,4.139,4.224,4.325,4.437,4.566,4.714,4.887,4.444,4.506,4.568,4.685,4.818,4.973,5.157
20,RANDOLPH ST_365_id_1980,Access,seal,4,4,4.177,4.353,4.529,4.707,4.882,5.072,5.284,5.523,5.795,6.105,6.469,5.235,5.408,5.58
21,BLACK BEECH ST. SOUTH_00000,Low Volume,seal,5,5.185,5.384,5.6,5.836,6.097,6.383,6.702,7.061,5.53,5.713,5.895,6.17,6.482,6.849,7.29
22,GEORGE ST_0_id_5373,Access,seal,4,4.179,4.356,4.531,4.706,4.881,5.054,5.228,5.402,4.701,4.878,5.055,5.231,5.406,5.581,5.754
23,KELVIN ST_0_id_5434,Primary Collector,ac,4.5,4.55,4.602,4.655,4.712,4.775,4.845,4.927,5.024,5.139,5.281,5.467,5.721,6.077,6.591,7.343
24,STAUNTON RD_123_id_5186,Access,seal,5,5.316,5.655,6.017,6.406,6.832,7.304,7.829,8.415,9.073,9.822,6.911,7.221,7.53,8.063,8.663
25,TUARANGI ROAD_500_id_602,Low Volume,seal,5.65,5.846,6.058,6.288,6.539,6.813,7.115,7.455,7.834,8.263,8.766,9.376,10.118,11.012,12.067,13.263
26,STEAD ST_2315_id_5130,Arterial,ac,4,4.057,4.122,4.197,4.285,4.143,4.199,4.255,4.311,4.365,4.42,4.473,4.526,4.578,4.628,4.683
27,KERRIGAN CRESCENT_00003,Low Volume,ac,4,4.111,4.222,4.332,4.443,4.553,4.663,4.771,4.879,4.987,5.094,5.201,5.307,5.413,5.518,5.622
28,BANK ST_00000,Secondary Collector,seal,6,6.177,6.355,6.532,6.722,6.928,5.464,5.635,5.807,5.978,6.148,6.318,6.49,6.661,6.831,7.013
29,FORTH ST_130_id_5366,Secondary Collector,ac,5,5.005,5.012,5.021,5.036,5.06,5.102,5.178,5.305,5.508,5.853,6.463,7.456,8.756,10.268,11.953
30,TAIPARI STREET_593_id_568,Secondary Collector,seal,4,4.174,4.362,4.564,4.788,5.035,5.307,5.608,4.804,4.976,5.147,5.393,5.676,6.012,6.416,6.936
31,OLIVE STREET_7_id_289,Access,seal,5,5.19,5.38,5.57,5.759,5.948,6.137,6.323,6.508,6.692,6.876,7.061,7.245,7.427,7.609,5.804
