elem_index,area_name,onrc,surf_class,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037
0,BETHLEHEM ROAD/CARMICHAEL ROAD RAB_0_id_2114,Primary Collector,ac,0,0,0,0,0,0,0,0.88,1.02,1.17,1.34,1.53,1.74,1.97,2.27,2.63
1,CHERTSEY KYLE ROAD_383_id_118,Secondary Collector,seal,0.88,1,1.14,1.29,1.46,1.66,1.87,2.09,2.39,2.75,3.19,3.71,4.29,4.95,0,0
2,REIGHTON DRIVE_146_id_505,Access,seal,0.24,0.42,0.61,0.84,1.12,1.45,1.84,0,0,0,0,0,0,0.88,1.12,1.43
3,NESS ST_1382_id_5517,Access,seal,0.13,0.3,0.48,0.68,0,0,0,0,0,0,0.88,1.17,1.52,1.94,2.57,3.47
4,COURTNEY ROAD_19_id_116,Primary Collector,ac,0.11,0.99,1.13,1.29,1.47,1.66,1.88,2.12,2.43,2.81,3.28,3.82,4.43,5.13,5.99,7.05
5,MARONAN EALING ROAD_4215_id_370,Secondary Collector,seal,0.32,0.32,0.32,0.32,1.2,1.32,1.45,1.6,1.77,1.95,0,0,0,0,0,0
6,MICHAEL STREET WEST_443_id_731,Low Volume,seal,0,0.88,1.01,1.16,1.33,1.52,1.72,1.94,0,0,0,0.88,1.13,1.44,1.81,2.29
7,LAYARD ST_446_id_5457,Primary Collector,seal,0.57,0.75,0.96,0,0,0,0,0,0,0,0.88,1.15,1.47,1.84,2.38,0
8,COMPANY ROAD_2524_id_135,Secondary Collector,seal,5.23,5.97,6.88,7.96,9.2,10.6,12.18,13.92,15.91,18.17,20.69,23.48,26.54,29.86,33.33,36.7
9,DALWOOD DR_147_id_3766,Access,ac,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88,1.01,1.15
10,MAINWARINGS ROAD_9157_id_364,Access,seal,0,0.11,0.24,0.38,0.54,0.71,0.91,0,0,0,0,0,0,0,0.88,1.08
11,JONAS STREET_93_id_454,Secondary Collector,seal,0,0,0,0,0.88,0,0,0,0,0,0,0.88,1.13,1.45,1.83,2.32
12,TAURIKURA DRIVE (EASTBOUND)_785_id_2139,Arterial,ac,0.13,1.01,1.14,1.29,1.46,1.65,1.85,2.07,2.35,2.69,3.11,3.6,4.16,4.79,5.53,6.44
13,HILLVIEW RD_0_id_1152,Secondary Collector,seal,0,0.14,0.29,0.46,0,0,0,0.88,1.15,1.47,1.86,2.39,3.17,0,0,0
14,REDMOND STREET_206_id_490,Access,ac,0,0,0,0,0,0,0.88,1,1.13,1.28,1.45,1.64,1.84,2.07,2.35,2.7
15,SPEARGRASS GROVE (24-32)_00000,Low Volume,ac,0,0,0.88,1,1.13,1.28,1.45,1.64,1.84,2.06,2.34,2.69,3.1,3.59,4.14,4.77
16,RICHARD PEARSE DRIVE_726_id_773,Secondary Collector,seal,0,0,0,0,0.88,0,0,0,0,0,0.88,1.16,1.5,1.91,2.5,3.35
17,SYMES ROAD_105_id_671,Low Volume,seal,0,0.11,0.23,0.37,0.53,0.7,0.89,1.09,1.32,1.62,1.98,0,0,0,0,0
18,ARMAGH ST 1 WEST FITZGERALD AVE_576_id_116,Primary Collector,ac,0,0,0,0,0,0,0,0.88,1.02,1.17,1.35,1.54,1.75,1.99,2.29,2.66
19,BROCKWORTH PL 1 OFF DEANS AVE_145_id_363,Low Volume,block,0.5,1.1,1.83,2.71,3.72,4.87,6.15,7.58,9.14,10.9,12.88,15.08,17.5,20.15,23.01,26.1
20,RANDOLPH ST_365_id_1980,Access,seal,0.86,0,0,0,0.88,1.09,1.35,1.66,2.01,2.5,3.18,4.05,0,0,0,0.88
21,BLACK BEECH ST. SOUTH_00000,Low Volume,seal,0,0.11,0.25,0.4,0.56,0.75,0,0,0,0,0,0.88,1.11,1.4,1.74,2.14
22,GEORGE ST_0_id_5373,Access,seal,0.04,0.04,0.04,0.04,0.04,0.04,0.92,1.03,1.17,1.33,1.5,0,0,0,0,0
23,KELVIN ST_0_id_5434,Primary Collector,ac,0,0.12,0.26,0.42,0.6,0.79,1.01,1.24,1.55,1.94,2.4,2.94,3.56,4.25,5.11,6.16
24,STAUNTON RD_123_id_5186,Access,seal,0,0.11,0.23,0.37,0.52,0.7,0.88,1.08,1.31,1.61,1.96,0,0,0,0.88,1.06
25,TUARANGI ROAD_500_id_602,Low Volume,seal,1.14,1.34,1.56,1.82,2.16,2.56,0,0,0,0.88,1.15,1.48,1.88,2.43,3.23,4.28
26,STEAD ST_2315_id_5130,Arterial,ac,0,0.13,0.28,0.45,0.64,0.85,1.08,1.36,1.72,2.17,2.7,3.31,4.01,4.85,5.91,7.18
27,KERRIGAN CRESCENT_00003,Low Volume,ac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,BANK ST_00000,Secondary Collector,seal,0.96,1.08,1.21,1.36,0,0,0,0,0,0.88,1.13,1.45,1.82,2.3,3.02,3.99
29,FORTH ST_130_id_5366,Secondary Collector,ac,0,0.12,0.26,0.42,0.6,0.79,1.01,1.25,1.56,1.95,2.41,2.95,3.57,4.26,5.13,6.19
30,TAIPARI STREET_593_id_568,Secondary Collector,seal,0,0.12,0.25,0.4,0.57,0,0,0,0,0,0.88,1.12,1.42,1.77,2.2,2.85
31,OLIVE STREET_7_id_289,Access,seal,0,0,0,0,0,0,0,0,0,0,0.88,1,1.13,1.29,1.46,1.64
32,CASHMERE RD 1 EAST HENDERSONS RD_1840_id_457,Arterial,ac,0,0.13,0.28,0.46,0.65,0.87,1.11,1.39,1.77,2.23,2.78,3.42,4.14,5.03,6.15,7.48
33,MARONAN ROAD_16550_id_371,Secondary Collector,seal,0.4,0.4,0.4,0.4,0.4,0.4,1.28,1.39,1.52,1.66,1.82,1.99,0,0,0,0
34,GALLAGHER DR_0_id_3989,Secondary Collector,seal,0,0,0,0,0,0.88,1.12,1.41,1.74,2.16,2.76,3.54,4.49,0,0,0
35,BEACH ROAD EAST_300_id_5069,Primary Collector,seal,0,0.12,0.26,0,0,0,0,0,0.88,1.25,1.69,2.35,3.33,4.64,0,0
36,LARK PLACE_5_id_2082,Low Volume,ac,0,0.11,0.24,0.38,0.55,0.72,0.92,1.13,1.38,1.7,2.09,2.54,3.06,3.64,4.3,5.1
37,KOTARE LANE_126_id_5715,Low Volume,ac,0,0,0,0,0,0,0,0,0,0,0.88,0.99,1.12,1.27,1.43,1.61
38,MEANDER DRIVE_577_id_385,Low Volume,ac,0,0.11,0.24,0.39,0.56,0.74,0.94,1.15,1.42,1.75,2.15,2.62,3.16,3.77,4.46,5.32
39,WIGRAM RD1_1200_id_2621,Arterial,seal,0,0,0.88,0,0,0,0,0,0,0,0.88,1.07,1.3,1.56,0,0
40,RICHARD PEARSE A.L._8_id_1043,Low Volume,seal,0,0,0,0,0.88,0.99,1.12,1.27,1.44,1.62,1.81,2.03,2.29,2.62,3.02,0
41,WICKHAM PLACE_178_id_663,Low Volume,ac,0,0,0,0,0,0,0,0,0.88,1,1.14,1.3,1.48,1.67,1.88,2.12
42,AITKEN STREET_681_id_8,Access,seal,0,0.12,0.25,0.4,0.58,0.77,0,0,0,0,0,0,0.88,1.14,1.46,1.85
43,OWLES TCE_388_id_1819,Primary Collector,seal,0,0,0,0,0,0,0,0.88,0,0,0,0,0,0,0.88,1.15
44,HOODS ROAD_99_id_288,Secondary Collector,seal,1.03,0,0,0,0,0,0.88,1.17,1.53,1.96,2.61,3.52,0,0,0,0
