elem_index,area_name,onrc,surf_class,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037
0,BETHLEHEM ROAD/CARMICHAEL ROAD RAB_0_id_2114,Primary Collector,ac,85.61,85.61,85.61,85.61,85.61,85.61,85.61,85.61,85.61,85.61,85.61,85.61,85.61,85.61,85.61,85.61
1,CHERTSEY KYLE ROAD_383_id_118,Secondary Collector,seal,86.76,86.76,86.76,86.76,86.76,86.76,86.76,86.76,86.76,86.76,86.76,86.76,86.76,86.76,43.65,43.65
2,REIGHTON DRIVE_146_id_505,Access,seal,100.04,100.04,100.04,100.04,100.04,100.04,100.04,47.49,47.49,47.49,47.49,47.49,47.49,47.49,47.49,47.49
3,NESS ST_1382_id_5517,Access,seal,100.02,100.02,100.02,100.02,44.86,44.86,44.86,44.86,44.86,44.86,44.86,44.86,44.86,44.86,44.86,44.86
4,COURTNEY ROAD_19_id_116,Primary Collector,ac,84.82,84.82,84.82,84.82,84.82,84.82,84.82,84.82,84.82,84.82,84.82,84.82,84.82,84.82,84.82,84.82
5,MARONAN EALING ROAD_4215_id_370,Secondary Collector,seal,91.21,91.21,91.21,91.21,91.21,91.21,91.21,91.21,91.21,91.21,55.89,55.89,55.89,55.89,55.89,55.89
6,MICHAEL STREET WEST_443_id_731,Low Volume,seal,88.57,88.57,88.57,88.57,88.57,88.57,88.57,88.57,49.05,49.05,49.05,49.05,49.05,49.05,49.05,49.05
7,LAYARD ST_446_id_5457,Primary Collector,seal,83.73,83.73,83.73,51.32,51.12,51.12,51.12,51.12,51.12,51.12,51.12,51.12,51.12,51.12,51.12,48.84
8,COMPANY ROAD_2524_id_135,Secondary Collector,seal,91.2,91.2,91.2,91.2,91.2,91.2,91.2,91.2,91.2,91.2,91.2,91.2,91.2,91.2,91.2,91.2
9,DALWOOD DR_147_id_3766,Access,ac,89.78,89.78,89.78,89.78,89.78,89.78,89.78,89.78,89.78,89.78,89.78,89.78,89.78,89.78,89.78,89.78
