elem_index,area_name,onrc,surf_class,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037
0,BETHLEHEM ROAD/CARMICHAEL ROAD RAB_0_id_2114,Primary Collector,ac,0,0,0,0.264,0.3414,0.4358,0.5472,0.97996,1.56313,1.94808,2.41341,3.04298,3.8549,4.84919,6.06914,7.60338
1,CHERTSEY KYLE ROAD_383_id_118,Secondary Collector,seal,0.26455,0.29997,0.34088,0.38729,0.4392,0.4966,0.5595,0.8919,1.01724,1.49043,1.71642,1.97601,2.26919,2.59597,0,0
2,REIGHTON DRIVE_146_id_505,Access,seal,0.07282,0.16275,0.2626,0.37792,0.51556,0.67553,1.17783,0,0,0,0,0,0,0.264,0.33729,0.42892
3,NESS ST_1382_id_5517,Access,seal,0.03763,0.15231,0.28172,0.42588,0,0,0,0,0,0,0.264,0.34955,0.45567,0.58236,1.03408,1.67191
4,COURTNEY ROAD_19_id_116,Primary Collector,ac,11.39416,15.539,18.75722,21.29505,23.39518,25.05759,26.28717,27.28673,28.16091,28.91393,29.58593,30.28175,31.0268,31.82108,32.73681,33.80235
5,MARONAN EALING ROAD_4215_id_370,Secondary Collector,seal,0.39524,0.39524,0.65924,0.70653,1.02585,1.44464,1.60159,1.77729,1.98334,2.2322,0,0,0,0,0,0
6,MICHAEL STREET WEST_443_id_731,Low Volume,seal,0,0.848,0.97381,1.11584,1.27409,1.44856,1.63925,1.84616,0,0,0.10267,0.40772,0.53212,1.24502,1.4768,1.77319
7,LAYARD ST_446_id_5457,Primary Collector,seal,9.76027,16.90398,21.83366,0,0,0,0,0,0,0,0.264,0.9285,1.15401,1.41851,1.75389,0
8,COMPANY ROAD_2524_id_135,Secondary Collector,seal,12.36923,14.30111,16.1972,18.05749,19.88199,21.67068,23.42358,25.14069,26.85924,28.59164,30.35515,32.16727,34.02801,35.93737,37.87834,39.77782
9,DALWOOD DR_147_id_3766,Access,ac,0,0,0,0,0,0,0,0,0,0,0,0,0,0.848,0.97263,1.1143
10,MAINWARINGS ROAD_9157_id_364,Access,seal,0,0.39491,0.52532,0.67376,0.84021,1.02468,1.22716,0,0,0,0,0,0,0,0.264,0.32468
