elem_index,area_name,onrc,surf_class,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037
0,BETHLEHEM ROAD/CARMICHAEL ROAD RAB_0_id_2114,Primary Collector,ac,0,0,0,0.264,0.3414,0.4358,0.5472,0.97996,0,0,0,0,0,0.264,0.34865,0.45305
1,CHERTSEY KYLE ROAD_383_id_118,Secondary Collector,seal,0.26455,0.29997,0.34088,0.38729,0.4392,0.4966,0.5595,0.8919,1.01724,1.49043,1.71642,1.97601,2.26919,0,0,0
2,REIGHTON DRIVE_146_id_505,Access,seal,0.07282,0.16275,0.2626,0.37792,0.51556,0.67553,1.17783,1.42573,1.71912,2.058,2.44716,2.90662,3.43636,4.0364,4.74211,5.57022
3,NESS ST_1382_id_5517,Access,seal,0.03763,0.15231,0.28172,0.42588,0.59505,0.79137,1.01484,1.58565,0,0,0.10625,0.15256,0.20763,0.27147,0.61199,0.81342
4,COURTNEY ROAD_19_id_116,Primary Collector,ac,11.39416,15.539,18.75722,21.29505,23.39518,25.05759,26.28717,27.28673,28.16091,28.91393,29.58593,30.28175,31.0268,31.82108,32.73681,33.80235
5,MARONAN EALING ROAD_4215_id_370,Secondary Collector,seal,0.39524,0.39524,0.65924,0.70653,1.02585,0,0,0,0,0,0,0.264,0.32617,0.66512,0.82402,1.30865
6,MICHAEL STREET WEST_443_id_731,Low Volume,seal,0,0.848,0.97381,1.11584,1.27409,1.44856,0,0,0,0.264,0.33883,1.01458,1.20551,1.43833,1.75095,2.14338
7,LAYARD ST_446_id_5457,Primary Collector,seal,9.76027,16.90398,21.83366,25.1984,0,0,0,0,0,0,0,0.264,0.92866,1.15525,1.42098,1.75818
8,COMPANY ROAD_2524_id_135,Secondary Collector,seal,12.36923,14.30111,16.1972,18.05749,19.88199,21.67068,23.42358,25.14069,26.85924,28.59164,30.35515,32.16727,34.02801,35.93737,37.87834,39.77782
9,DALWOOD DR_147_id_3766,Access,ac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
