elem_index,area_name,onrc,surf_class,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037
0,BETHLEHEM ROAD/CARMICHAEL ROAD RAB_0_id_2114,Primary Collector,ac,8.98,8.98,8.98,8.98,8.98,8.98,8.98,8.98,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9
1,CHERTSEY KYLE ROAD_383_id_118,Secondary Collector,seal,9.61,9.61,9.61,9.61,9.61,9.61,9.61,9.61,9.61,9.61,9.61,9.61,9.61,9.02,9.02,9.02
2,REIGHTON DRIVE_146_id_505,Access,seal,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7
3,NESS ST_1382_id_5517,Access,seal,17.1,17.1,17.1,17.1,17.1,17.1,17.1,17.1,10.52,10.52,10.52,10.52,10.52,10.52,10.52,10.52
4,COURTNEY ROAD_19_id_116,Primary Collector,ac,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6
5,MARONAN EALING ROAD_4215_id_370,Secondary Collector,seal,5.49,5.49,5.49,5.49,5.49,8.74,8.74,8.74,8.74,8.74,8.74,8.74,8.74,8.74,8.74,8.74
6,MICHAEL STREET WEST_443_id_731,Low Volume,seal,7.2,7.2,7.2,7.2,7.2,7.2,4.94,4.94,4.94,4.94,4.94,4.94,4.94,4.94,4.94,4.94
7,LAYARD ST_446_id_5457,Primary Collector,seal,15.1,15.1,15.1,15.1,7.81,7.79,7.79,7.79,7.79,7.79,7.79,7.79,7.79,7.79,7.79,7.79
8,COMPANY ROAD_2524_id_135,Secondary Collector,seal,17.4,17.4,17.4,17.4,17.4,17.4,17.4,17.4,17.4,17.4,17.4,17.4,17.4,17.4,17.4,17.4
9,DALWOOD DR_147_id_3766,Access,ac,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,14.76,14.76,14.76
10,MAINWARINGS ROAD_9157_id_364,Access,seal,10.63,10.63,10.63,10.63,10.63,10.63,9.77,9.77,9.77,9.77,9.77,9.77,9.77,9.77,9.77,9.77
11,JONAS STREET_93_id_454,Secondary Collector,seal,11.64,11.64,11.64,11.64,11.64,11.64,11.64,10.38,10.38,10.38,10.38,10.38,10.38,10.38,10.38,10.38
12,TAURIKURA DRIVE (EASTBOUND)_785_id_2139,Arterial,ac,11.7,11.7,11.7,11.7,11.7,11.7,11.7,11.7,11.7,11.7,9.18,9.18,9.18,9.18,9.18,9.18
13,HILLVIEW RD_0_id_1152,Secondary Collector,seal,30,30,4.76,4.76,4.76,4.76,4.76,4.76,4.76,4.76,4.76,4.76,4.69,4.69,4.69,4.69
14,REDMOND STREET_206_id_490,Access,ac,9.64,9.64,9.64,9.64,9.64,9.64,9.64,9.64,9.64,9.64,9.64,9.64,9.59,9.59,9.59,9.59
15,SPEARGRASS GROVE (24-32)_00000,Low Volume,ac,9.79,9.79,9.79,9.79,9.79,9.79,9.79,9.79,9.79,9.79,9.77,9.77,9.77,9.77,9.77,9.77
16,RICHARD PEARSE DRIVE_726_id_773,Secondary Collector,seal,9.18,9.18,9.18,9.18,9.18,9.18,9.18,8.11,8.11,8.11,8.11,8.11,8.11,8.11,8.11,8.11
17,SYMES ROAD_105_id_671,Low Volume,seal,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,6.58,6.58,6.58,6.58,6.58
18,ARMAGH ST 1 WEST FITZGERALD AVE_576_id_116,Primary Collector,ac,9.13,9.13,9.13,9.13,9.13,9.13,9.13,9.13,9.13,9.13,9.04,9.04,9.04,9.04,9.04,9.04
19,BROCKWORTH PL 1 OFF DEANS AVE_145_id_363,Low Volume,block,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,9.52,9.52,9.52,9.52,9.52,9.52,9.52
20,RANDOLPH ST_365_id_1980,Access,seal,15.4,4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.63,4.63,4.63
21,BLACK BEECH ST. SOUTH_00000,Low Volume,seal,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,8.76,8.76,8.76,8.76,8.76,8.76,8.76
22,GEORGE ST_0_id_5373,Access,seal,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,10.68,10.68,10.68,10.68,10.68,10.68,10.68
