elem_index,area_name,onrc,surf_class,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037
0,BETHLEHEM ROAD/CARMICHAEL ROAD RAB_0_id_2114,Primary Collector,ac,0.1,0.1,0.1,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.12
1,CHERTSEY KYLE ROAD_383_id_118,Secondary Collector,seal,0.04,0.09,0.09,0.09,0.09,0.09,0.1,0.1,0.1,0.1,0.11,0.11,0.11,0.1,0.1,0.1
2,REIGHTON DRIVE_146_id_505,Access,seal,0.05,0.11,0.11,0.11,0.11,0.12,0.12,0.12,0.13,0.13,0.13,0.14,0.14,0.15,0.16,0.17
3,NESS ST_1382_id_5517,Access,seal,0.07,0.15,0.16,0.16,0.16,0.16,0.17,0.17,0.16,0.16,0.17,0.17,0.17,0.17,0.17,0.18
4,COURTNEY ROAD_19_id_116,Primary Collector,ac,0.33,0.33,0.41,0.48,0.53,0.57,0.61,0.63,0.65,0.66,0.68,0.69,0.7,0.71,0.72,0.73
5,MARONAN EALING ROAD_4215_id_370,Secondary Collector,seal,0.06,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.14,0.15,0.15
6,MICHAEL STREET WEST_443_id_731,Low Volume,seal,0.03,0.08,0.08,0.08,0.09,0.09,0.08,0.08,0.08,0.08,0.09,0.09,0.09,0.1,0.1,0.1
7,LAYARD ST_446_id_5457,Primary Collector,seal,0.18,0.34,0.5,0.61,0.22,0.22,0.22,0.22,0.22,0.23,0.23,0.23,0.24,0.25,0.25,0.26
8,COMPANY ROAD_2524_id_135,Secondary Collector,seal,0.26,0.45,0.5,0.55,0.59,0.63,0.67,0.71,0.74,0.78,0.8,0.83,0.85,0.88,0.9,0.91
9,DALWOOD DR_147_id_3766,Access,ac,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05
10,MAINWARINGS ROAD_9157_id_364,Access,seal,0.05,0.12,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.14,0.14,0.14,0.15
11,JONAS STREET_93_id_454,Secondary Collector,seal,0.07,0.16,0.17,0.17,0.17,0.18,0.18,0.17,0.17,0.18,0.18,0.18,0.18,0.18,0.19,0.19
12,TAURIKURA DRIVE (EASTBOUND)_785_id_2139,Arterial,ac,0.23,0.23,0.28,0.32,0.36,0.4,0.43,0.45,0.47,0.49,0.08,0.08,0.08,0.08,0.09,0.09
