elem_index,area_name,onrc,surf_class,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037
0,BETHLEHEM ROAD/CARMICHAEL ROAD RAB_0_id_2114,Primary Collector,ac,89.84,89.84,89.84,89.84,89.84,89.84,89.84,89.84,89.84,89.84,89.84,89.84,89.84,89.84,89.84,89.84
1,CHERTSEY KYLE ROAD_383_id_118,Secondary Collector,seal,96.11,96.11,96.11,96.11,96.11,96.11,96.11,96.11,96.11,96.11,96.11,96.11,96.11,96.11,90.06,90.06
2,REIGHTON DRIVE_146_id_505,Access,seal,95.31,95.31,95.31,95.31,95.31,95.31,95.31,88.7,88.7,88.7,88.7,88.7,88.7,88.7,88.7,88.7
3,NESS ST_1382_id_5517,Access,seal,93.07,93.07,93.07,93.07,84.23,84.23,84.23,84.23,84.23,84.23,84.23,84.23,84.23,84.23,84.23,84.23
4,COURTNEY ROAD_19_id_116,Primary Collector,ac,66.81,66.81,66.81,66.81,66.81,66.81,66.81,66.81,66.81,66.81,66.81,66.81,66.81,66.81,66.81,66.81
5,MARONAN EALING ROAD_4215_id_370,Secondary Collector,seal,94.44,94.44,94.44,94.44,94.44,94.44,94.44,94.44,94.44,94.44,86.74,86.74,86.74,86.74,86.74,86.74
6,MICHAEL STREET WEST_443_id_731,Low Volume,seal,96.62,96.62,96.62,96.62,96.62,96.62,96.62,96.62,91.53,91.53,91.53,91.53,91.53,91.53,91.53,91.53
7,LAYARD ST_446_id_5457,Primary Collector,seal,82.21,82.21,82.21,78.24,78.05,78.05,78.05,78.05,78.05,78.05,78.05,78.05,78.05,78.05,78.05,75.85
8,COMPANY ROAD_2524_id_135,Secondary Collector,seal,74.44,74.44,74.44,74.44,74.44,74.44,74.44,74.44,74.44,74.44,74.44,74.44,74.44,74.44,74.44,74.44
9,DALWOOD DR_147_id_3766,Access,ac,95.96,95.96,95.96,95.96,95.96,95.96,95.96,95.96,95.96,95.96,95.96,95.96,95.96,95.96,95.96,95.96
10,MAINWARINGS ROAD_9157_id_364,Access,seal,94.55,94.55,94.55,94.55,94.55,94.55,94.55,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82
11,JONAS STREET_93_id_454,Secondary Collector,seal,92.5,92.5,92.5,92.5,92.5,82.83,82.83,82.83,82.83,82.83,82.83,82.83,82.83,82.83,82.83,82.83
12,TAURIKURA DRIVE (EASTBOUND)_785_id_2139,Arterial,ac,77.02,77.02,77.02,77.02,77.02,77.02,77.02,77.02,77.02,77.02,77.02,77.02,77.02,77.02,77.02,77.02
13,HILLVIEW RD_0_id_1152,Secondary Collector,seal,95.05,95.05,95.05,95.05,88.02,88.02,88.02,88.02,88.02,88.02,88.02,88.02,88.02,86.91,86.91,86.91
14,REDMOND STREET_206_id_490,Access,ac,96.39,96.39,96.39,96.39,96.39,96.39,96.39,96.39,96.39,96.39,96.39,96.39,96.39,96.39,96.39,96.39
15,SPEARGRASS GROVE (24-32)_00000,Low Volume,ac,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93
16,RICHARD PEARSE DRIVE_726_id_773,Secondary Collector,seal,91.8,91.8,91.8,91.8,91.8,81.42,81.42,81.42,81.42,81.42,81.42,81.42,81.42,81.42,81.42,81.42
17,SYMES ROAD_105_id_671,Low Volume,seal,96.39,96.39,96.39,96.39,96.39,96.39,96.39,96.39,96.39,96.39,96.39,90.7,90.7,90.7,90.7,90.7
18,ARMAGH ST 1 WEST FITZGERALD AVE_576_id_116,Primary Collector,ac,91.34,91.34,91.34,91.34,91.34,91.34,91.34,91.34,91.34,91.34,91.34,91.34,91.34,91.34,91.34,91.34
19,BROCKWORTH PL 1 OFF DEANS AVE_145_id_363,Low Volume,block,95.58,95.58,95.58,95.58,95.58,95.58,95.58,95.58,95.58,95.58,95.58,95.58,95.58,95.58,95.58,95.58
20,RANDOLPH ST_365_id_1980,Access,seal,93.99,87.48,87.48,87.48,87.48,87.48,87.48,87.48,87.48,87.48,87.48,87.48,86.06,86.06,86.06,86.06
21,BLACK BEECH ST. SOUTH_00000,Low Volume,seal,94.96,94.96,94.96,94.96,94.96,94.96,87.94,87.94,87.94,87.94,87.94,87.94,87.94,87.94,87.94,87.94
22,GEORGE ST_0_id_5373,Access,seal,93.78,93.78,93.78,93.78,93.78,93.78,93.78,93.78,93.78,93.78,93.78,84.62,84.62,84.62,84.62,84.62
23,KELVIN ST_0_id_5434,Primary Collector,ac,89.34,89.34,89.34,89.34,89.34,89.34,89.34,89.34,89.34,89.34,89.34,89.34,89.34,89.34,89.34,89.34
24,STAUNTON RD_123_id_5186,Access,seal,96.1,96.1,96.1,96.1,96.1,96.1,96.1,96.1,96.1,96.1,96.1,90.01,90.01,90.01,90.01,90.01
25,TUARANGI ROAD_500_id_602,Low Volume,seal,95.94,95.94,95.94,95.94,95.94,95.94,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55
26,STEAD ST_2315_id_5130,Arterial,ac,84.54,84.54,84.54,84.54,84.54,84.54,84.54,84.54,84.54,84.54,84.54,84.54,84.54,84.54,84.54,84.54
27,KERRIGAN CRESCENT_00003,Low Volume,ac,97.49,97.49,97.49,97.49,97.49,97.49,97.49,97.49,97.49,97.49,97.49,97.49,97.49,97.49,97.49,97.49
28,BANK ST_00000,Secondary Collector,seal,93.02,93.02,93.02,93.02,84.57,84.57,84.57,84.57,84.57,84.57,84.57,84.57,84.57,84.57,84.57,84.57
29,FORTH ST_130_id_5366,Secondary Collector,ac,97.57,97.57,97.57,97.57,97.57,97.57,97.57,97.57,97.57,97.57,97.57,97.57,97.57,97.57,97.57,97.57
30,TAIPARI STREET_593_id_568,Secondary Collector,seal,93.76,93.76,93.76,93.76,93.76,85.45,85.45,85.45,85.45,85.45,85.45,85.45,85.45,85.45,85.45,85.45
31,OLIVE STREET_7_id_289,Access,seal,96.19,96.19,96.19,96.19,96.19,96.19,96.19,96.19,96.19,96.19,96.19,96.19,96.19,96.19,96.19,96.19
32,CASHMERE RD 1 EAST HENDERSONS RD_1840_id_457,Arterial,ac,82.56,82.56,82.56,82.56,82.56,82.56,82.56,82.56,82.56,82.56,82.56,82.56,82.56,82.56,82.56,82.56
33,MARONAN ROAD_16550_id_371,Secondary Collector,seal,91.58,91.58,91.58,91.58,91.58,91.58,91.58,91.58,91.58,91.58,91.58,91.58,79.99,79.99,79.99,79.99
34,GALLAGHER DR_0_id_3989,Secondary Collector,seal,95.51,89.7,89.7,89.7,89.7,89.7,89.7,89.7,89.7,89.7,89.7,89.7,89.7,88.38,88.38,88.38
35,BEACH ROAD EAST_300_id_5069,Primary Collector,seal,91.67,91.67,91.67,81.38,81.38,81.38,81.38,81.38,81.38,81.38,81.38,81.38,81.38,81.38,79.43,79.43
36,LARK PLACE_5_id_2082,Low Volume,ac,97.86,97.86,97.86,97.86,97.86,97.86,97.86,97.86,97.86,97.86,97.86,97.86,97.86,97.86,97.86,97.86
