elem_index,area_name,onrc,surf_class,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037
0,BETHLEHEM ROAD/CARMICHAEL ROAD RAB_0_id_2114,Primary Collector,ac,0,0,0,0,0,0,0,0.7,0.82,0.96,1.11,1.28,1.47,1.68,1.9,2.19
1,CHERTSEY KYLE ROAD_383_id_118,Secondary Collector,seal,0,0,0,0,0,0,0,0,0,0.7,0.82,0.95,1.1,1.26,0,0
2,REIGHTON DRIVE_146_id_505,Access,seal,0,0.11,0.23,0.36,0.51,0.68,0.86,0,0,0,0,0,0,0,0,0
3,NESS ST_1382_id_5517,Access,seal,0,0.11,0.23,0.37,0,0,0,0,0,0,0,0,0,0,0,0.7
4,COURTNEY ROAD_19_id_116,Primary Collector,ac,0,0.16,0.35,0.57,0.83,1.11,1.47,1.95,2.56,3.29,4.14,5.24,6.65,8.36,10.39,12.72
5,MARONAN EALING ROAD_4215_id_370,Secondary Collector,seal,1,1.11,1.23,1.37,1.52,1.69,1.87,2.07,2.3,2.59,0,0,0,0,0,0
6,MICHAEL STREET WEST_443_id_731,Low Volume,seal,0,0.7,0.82,0.95,1.1,1.26,1.44,1.63,0,0,0,0,0,0.7,0.81,0.94
7,LAYARD ST_446_id_5457,Primary Collector,seal,0,0.13,0.27,0,0,0,0,0,0,0,0,0,0.7,0.84,1,0
8,COMPANY ROAD_2524_id_135,Secondary Collector,seal,0,0.14,0.31,0.5,0.71,0.95,1.22,1.57,2.03,2.58,3.23,3.98,4.91,6.07,7.49,9.16
9,DALWOOD DR_147_id_3766,Access,ac,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.82,0.95
10,MAINWARINGS ROAD_9157_id_364,Access,seal,0,0.7,0.82,0.95,1.1,1.27,1.45,0,0,0,0,0,0,0,0,0
11,JONAS STREET_93_id_454,Secondary Collector,seal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,TAURIKURA DRIVE (EASTBOUND)_785_id_2139,Arterial,ac,0,0.14,0.29,0.48,0.68,0.91,1.16,1.48,1.89,2.4,3,3.69,4.48,5.51,6.77,8.26
13,HILLVIEW RD_0_id_1152,Secondary Collector,seal,0,0.12,0.26,0.41,0,0,0,0,0,0.7,0.82,0.96,1.11,0,0,0
14,REDMOND STREET_206_id_490,Access,ac,0,0,0,0,0,0,0,0.7,0.81,0.93,1.07,1.22,1.39,1.57,1.77,1.99
15,SPEARGRASS GROVE (24-32)_00000,Low Volume,ac,0,0,0,0.7,0.81,0.93,1.07,1.22,1.39,1.57,1.76,1.98,2.26,2.6,3,3.45
16,RICHARD PEARSE DRIVE_726_id_773,Secondary Collector,seal,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0.7,0.84
17,SYMES ROAD_105_id_671,Low Volume,seal,0,0.1,0.22,0.36,0.51,0.67,0.85,1.04,1.25,1.52,1.85,0,0,0,0,0
18,ARMAGH ST 1 WEST FITZGERALD AVE_576_id_116,Primary Collector,ac,0,0,0,0,0,0,0,0.7,0.81,0.94,1.09,1.25,1.43,1.63,1.84,2.1
19,BROCKWORTH PL 1 OFF DEANS AVE_145_id_363,Low Volume,block,0,0.11,0.23,0.36,0.51,0.68,0.86,1.05,1.27,1.55,1.88,2.28,2.74,3.26,3.84,4.49
20,RANDOLPH ST_365_id_1980,Access,seal,0,0,0,0,0,0,0.7,0.82,0.96,1.12,1.29,1.49,0,0,0,0
21,BLACK BEECH ST. SOUTH_00000,Low Volume,seal,0,0.11,0.23,0.36,0.52,0.68,0,0,0,0,0,0,0,0,0,0.7
22,GEORGE ST_0_id_5373,Access,seal,0,0,0,0,0,0,0,0.7,0.81,0.94,1.08,0,0,0,0,0
23,KELVIN ST_0_id_5434,Primary Collector,ac,0,0.11,0.24,0.39,0.56,0.74,0.94,1.16,1.43,1.76,2.17,2.64,3.19,3.8,4.5,5.37
24,STAUNTON RD_123_id_5186,Access,seal,0,0.1,0.22,0.36,0.51,0.67,0.85,1.05,1.26,1.53,1.86,0,0,0,0,0.7
25,TUARANGI ROAD_500_id_602,Low Volume,seal,0,0.1,0.22,0.36,0.51,0.67,0,0,0,0,0,0.7,0.81,0.94,1.09,1.26
26,STEAD ST_2315_id_5130,Arterial,ac,0,0.12,0.26,0.42,0.6,0.8,1.02,1.26,1.57,1.96,2.43,2.98,3.61,4.31,5.19,6.27
27,KERRIGAN CRESCENT_00003,Low Volume,ac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,BANK ST_00000,Secondary Collector,seal,0.36,0.36,0.36,1.06,0,0,0,0,0,0,0,0,0,0.7,0.83,0.98
