elem_index,area_name,onrc,surf_class,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037
0,BETHLEHEM ROAD/CARMICHAEL ROAD RAB_0_id_2114,Primary Collector,ac,2.4,3.4,4.4,5.4,6.4,7.4,8.4,9.4,10.4,11.4,12.4,13.4,14.4,15.4,16.4,17.4
1,CHERTSEY KYLE ROAD_383_id_118,Secondary Collector,seal,1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,0,1
2,REIGHTON DRIVE_146_id_505,Access,seal,17.7,18.7,19.7,20.7,21.7,22.7,23.7,0,1,2,3,4,5,6,7,8
3,NESS ST_1382_id_5517,Access,seal,17.1,18.1,19.1,20.1,0,1,2,3,4,5,6,7,8,9,10,11
4,COURTNEY ROAD_19_id_116,Primary Collector,ac,11.6,12.6,13.6,14.6,15.6,16.6,17.6,18.6,19.6,20.6,21.6,22.6,23.6,24.6,25.6,26.6
5,MARONAN EALING ROAD_4215_id_370,Secondary Collector,seal,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,0,1,2,3,4,5
6,MICHAEL STREET WEST_443_id_731,Low Volume,seal,7.2,8.2,9.2,10.2,11.2,12.2,13.2,14.2,0,1,2,3,4,5,6,7
7,LAYARD ST_446_id_5457,Primary Collector,seal,15.1,16.1,17.1,0,0,1,2,3,4,5,6,7,8,9,10,0
8,COMPANY ROAD_2524_id_135,Secondary Collector,seal,17.4,18.4,19.4,20.4,21.4,22.4,23.4,24.4,25.4,26.4,27.4,28.4,29.4,30.4,31.4,32.4
9,DALWOOD DR_147_id_3766,Access,ac,11.1,12.1,13.1,14.1,15.1,16.1,17.1,18.1,19.1,20.1,21.1,22.1,23.1,24.1,25.1,26.1
10,MAINWARINGS ROAD_9157_id_364,Access,seal,10.4,11.4,12.4,13.4,14.4,15.4,16.4,0,1,2,3,4,5,6,7,8
11,JONAS STREET_93_id_454,Secondary Collector,seal,7.5,8.5,9.5,10.5,11.5,0,1,2,3,4,5,6,7,8,9,10
12,TAURIKURA DRIVE (EASTBOUND)_785_id_2139,Arterial,ac,11.7,12.7,13.7,14.7,15.7,16.7,17.7,18.7,19.7,20.7,21.7,22.7,23.7,24.7,25.7,26.7
13,HILLVIEW RD_0_id_1152,Secondary Collector,seal,31.1,32.1,33.1,34.1,0,1,2,3,4,5,6,7,8,0,1,2
14,REDMOND STREET_206_id_490,Access,ac,2.9,3.9,4.9,5.9,6.9,7.9,8.9,9.9,10.9,11.9,12.9,13.9,14.9,15.9,16.9,17.9
15,SPEARGRASS GROVE (24-32)_00000,Low Volume,ac,7.2,8.2,9.2,10.2,11.2,12.2,13.2,14.2,15.2,16.2,17.2,18.2,19.2,20.2,21.2,22.2
16,RICHARD PEARSE DRIVE_726_id_773,Secondary Collector,seal,5.6,6.6,7.6,8.6,9.6,0,1,2,3,4,5,6,7,8,9,10
17,SYMES ROAD_105_id_671,Low Volume,seal,19.3,20.3,21.3,22.3,23.3,24.3,25.3,26.3,27.3,28.3,29.3,0,1,2,3,4
