elem_index,area_name,onrc,surf_class,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037
0,BETHLEHEM ROAD/CARMICHAEL ROAD RAB_0_id_2114,Primary Collector,ac,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,CHERTSEY KYLE ROAD_383_id_118,Secondary Collector,seal,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,REIGHTON DRIVE_146_id_505,Access,seal,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,NESS ST_1382_id_5517,Access,seal,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4,COURTNEY ROAD_19_id_116,Primary Collector,ac,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,MARONAN EALING ROAD_4215_id_370,Secondary Collector,seal,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,MICHAEL STREET WEST_443_id_731,Low Volume,seal,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,LAYARD ST_446_id_5457,Primary Collector,seal,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
8,COMPANY ROAD_2524_id_135,Secondary Collector,seal,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,DALWOOD DR_147_id_3766,Access,ac,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,MAINWARINGS ROAD_9157_id_364,Access,seal,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,JONAS STREET_93_id_454,Secondary Collector,seal,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
12,TAURIKURA DRIVE (EASTBOUND)_785_id_2139,Arterial,ac,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13,HILLVIEW RD_0_id_1152,Secondary Collector,seal,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14,REDMOND STREET_206_id_490,Access,ac,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15,SPEARGRASS GROVE (24-32)_00000,Low Volume,ac,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
16,RICHARD PEARSE DRIVE_726_id_773,Secondary Collector,seal,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
17,SYMES ROAD_105_id_671,Low Volume,seal,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18,ARMAGH ST 1 WEST FITZGERALD AVE_576_id_116,Primary Collector,ac,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19,BROCKWORTH PL 1 OFF DEANS AVE_145_id_363,Low Volume,block,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20,RANDOLPH ST_365_id_1980,Access,seal,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21,BLACK BEECH ST. SOUTH_00000,Low Volume,seal,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
22,GEORGE ST_0_id_5373,Access,seal,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23,KELVIN ST_0_id_5434,Primary Collector,ac,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
24,STAUNTON RD_123_id_5186,Access,seal,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
25,TUARANGI ROAD_500_id_602,Low Volume,seal,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26,STEAD ST_2315_id_5130,Arterial,ac,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
