elem_index,area_name,onrc,surf_class,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037
0,BETHLEHEM ROAD/CARMICHAEL ROAD RAB_0_id_2114,Primary Collector,ac,24,34,44,54,64,74,84,94,104,114,124,134,144,154,164,174
1,CHERTSEY KYLE ROAD_383_id_118,Secondary Collector,seal,15,25,35,45,55,65,75,85,95,105,115,125,135,145,0,10
2,REIGHTON DRIVE_146_id_505,Access,seal,140.69,148.64,156.59,164.53,172.48,180.43,188.38,0,7.95,15.9,23.85,31.79,39.74,47.69,55.64,63.59
3,NESS ST_1382_id_5517,Access,seal,135.92,143.87,151.82,159.77,0,7.95,15.9,23.85,31.79,39.74,47.69,55.64,63.59,71.54,79.49,87.43
4,COURTNEY ROAD_19_id_116,Primary Collector,ac,116,126,136,146,156,166,176,186,196,206,216,226,236,246,256,266
5,MARONAN EALING ROAD_4215_id_370,Secondary Collector,seal,55,65,75,85,95,105,115,125,135,145,0,10,20,30,40,50
6,MICHAEL STREET WEST_443_id_731,Low Volume,seal,133.57,152.12,170.67,189.22,207.77,226.32,244.87,263.42,0,18.55,37.1,55.65,74.2,92.75,111.31,129.86
7,LAYARD ST_446_id_5457,Primary Collector,seal,151,161,171,0,0,10,20,30,40,50,60,70,80,90,100,0
8,COMPANY ROAD_2524_id_135,Secondary Collector,seal,154.84,163.74,172.64,181.54,190.44,199.33,208.23,217.13,226.03,234.93,243.83,252.73,261.63,270.52,279.42,288.32
9,DALWOOD DR_147_id_3766,Access,ac,71.73,78.19,84.65,91.11,97.58,104.04,110.5,116.96,123.42,129.89,136.35,142.81,149.27,155.73,162.2,168.66
10,MAINWARINGS ROAD_9157_id_364,Access,seal,92.55,101.45,110.35,119.24,128.14,137.04,145.94,0,8.9,17.8,26.7,35.6,44.49,53.39,62.29,71.19
11,JONAS STREET_93_id_454,Secondary Collector,seal,59.61,67.56,75.51,83.46,91.41,0,7.95,15.9,23.85,31.79,39.74,47.69,55.64,63.59,71.54,79.49
12,TAURIKURA DRIVE (EASTBOUND)_785_id_2139,Arterial,ac,117,127,137,147,157,167,177,187,197,207,217,227,237,247,257,267
13,HILLVIEW RD_0_id_1152,Secondary Collector,seal,500,500,500,500,0,18.55,37.1,55.65,74.2,92.75,111.31,129.86,148.41,0,18.55,37.1
14,REDMOND STREET_206_id_490,Access,ac,29,39,49,59,69,79,89,99,109,119,129,139,149,159,169,179
15,SPEARGRASS GROVE (24-32)_00000,Low Volume,ac,72,82,92,102,112,122,132,142,152,162,172,182,192,202,212,222
16,RICHARD PEARSE DRIVE_726_id_773,Secondary Collector,seal,56,66,76,86,96,0,10,20,30,40,50,60,70,80,90,100
17,SYMES ROAD_105_id_671,Low Volume,seal,266.06,279.85,293.63,307.42,321.2,334.99,348.77,362.56,376.34,390.13,403.92,0,13.79,27.57,41.36,55.14
18,ARMAGH ST 1 WEST FITZGERALD AVE_576_id_116,Primary Collector,ac,23,33,43,53,63,73,83,93,103,113,123,133,143,153,163,173
19,BROCKWORTH PL 1 OFF DEANS AVE_145_id_363,Low Volume,block,265,275,285,295,305,315,325,335,345,355,365,375,385,395,405,415
20,RANDOLPH ST_365_id_1980,Access,seal,285.68,0,18.55,37.1,55.65,74.2,92.75,111.31,129.86,148.41,166.96,185.51,0,18.55,37.1,55.65
21,BLACK BEECH ST. SOUTH_00000,Low Volume,seal,108,118,128,138,148,158,0,10,20,30,40,50,60,70,80,90
22,GEORGE ST_0_id_5373,Access,seal,40.54,48.49,56.43,64.38,72.33,80.28,88.23,96.18,104.13,112.07,120.02,0,7.95,15.9,23.85,31.79
23,KELVIN ST_0_id_5434,Primary Collector,ac,201,211,221,231,241,251,261,271,281,291,301,311,321,331,341,351
24,STAUNTON RD_123_id_5186,Access,seal,399.61,424.43,449.25,474.07,498.89,500,500,500,500,500,500,0,24.82,49.64,74.46,99.28
25,TUARANGI ROAD_500_id_602,Low Volume,seal,176.23,194.78,213.33,231.89,250.44,268.99,0,18.55,37.1,55.65,74.2,92.75,111.31,129.86,148.41,166.96
26,STEAD ST_2315_id_5130,Arterial,ac,121,131,141,151,161,171,181,191,201,211,221,231,241,251,261,271
27,KERRIGAN CRESCENT_00003,Low Volume,ac,26.49,32.96,39.42,45.88,52.34,58.8,65.27,71.73,78.19,84.65,91.11,97.58,104.04,110.5,116.96,123.42
28,BANK ST_00000,Secondary Collector,seal,71,81,91,101,0,10,20,30,40,50,60,70,80,90,100,110
29,FORTH ST_130_id_5366,Secondary Collector,ac,201,211,221,231,241,251,261,271,281,291,301,311,321,331,341,351
30,TAIPARI STREET_593_id_568,Secondary Collector,seal,135,145,155,165,175,0,10,20,30,40,50,60,70,80,90,100
31,OLIVE STREET_7_id_289,Access,seal,13.51,21.46,29.41,37.36,45.31,53.26,61.2,69.15,77.1,85.05,93,100.95,108.89,116.84,124.79,132.74
32,CASHMERE RD 1 EAST HENDERSONS RD_1840_id_457,Arterial,ac,197,207,217,227,237,247,257,267,277,287,297,307,317,327,337,347
33,MARONAN ROAD_16550_id_371,Secondary Collector,seal,27.2,38.53,49.87,61.2,72.53,83.87,95.2,106.53,117.87,129.2,140.53,151.86,0,11.33,22.67,34
34,GALLAGHER DR_0_id_3989,Secondary Collector,seal,155.83,0,18.55,37.1,55.65,74.2,92.75,111.31,129.86,148.41,166.96,185.51,204.06,0,18.55,37.1
35,BEACH ROAD EAST_300_id_5069,Primary Collector,seal,137,147,157,0,10,20,30,40,50,60,70,80,90,100,0,10
36,LARK PLACE_5_id_2082,Low Volume,ac,179,189,199,209,219,229,239,249,259,269,279,289,299,309,319,329
37,KOTARE LANE_126_id_5715,Low Volume,ac,86.59,93.05,99.51,105.98,112.44,118.9,125.36,131.82,138.29,144.75,151.21,157.67,164.13,170.6,177.06,183.52
38,MEANDER DRIVE_577_id_385,Low Volume,ac,160.9,167.37,173.83,180.29,186.75,193.21,199.68,206.14,212.6,219.06,225.52,231.99,238.45,244.91,251.37,257.83
39,WIGRAM RD1_1200_id_2621,Arterial,seal,75,85,95,0,10,20,30,40,50,60,70,80,90,100,0,10
40,RICHARD PEARSE A.L._8_id_1043,Low Volume,seal,59.61,67.56,75.51,83.46,91.41,99.36,107.31,115.25,123.2,131.15,139.1,147.05,155,162.94,170.89,0
41,WICKHAM PLACE_178_id_663,Low Volume,ac,102.75,109.21,115.67,122.13,128.59,135.06,141.52,147.98,154.44,160.9,167.37,173.83,180.29,186.75,193.21,199.68
42,AITKEN STREET_681_id_8,Access,seal,178.84,186.79,194.74,202.69,210.64,218.58,0,7.95,15.9,23.85,31.79,39.74,47.69,55.64,63.59,71.54
43,OWLES TCE_388_id_1819,Primary Collector,seal,23,33,43,53,63,73,83,93,0,10,20,30,40,50,60,70
44,HOODS ROAD_99_id_288,Secondary Collector,seal,95,0,10,20,30,40,50,60,70,80,90,100,0,10,20,30
45,THE PARADE_00000,Access,seal,41,51,61,71,81,91,101,111,121,131,141,151,0,10,20,30
46,TAYLOR STREET (TU)_0_id_922,Access,seal,63.07,81.62,100.17,118.73,137.28,155.83,174.38,192.93,0,18.55,37.1,55.65,74.2,92.75,111.31,129.86
47,KAIMANAWA STREET_215_id_268,Access,seal,163.28,0,8.64,17.28,25.92,34.56,43.2,51.84,60.48,69.11,77.75,86.39,95.03,0,8.64,17.28
