elem_index,area_name,onrc,surf_class,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037
0,BETHLEHEM ROAD/CARMICHAEL ROAD RAB_0_id_2114,Primary Collector,ac,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
1,CHERTSEY KYLE ROAD_383_id_118,Secondary Collector,seal,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
2,REIGHTON DRIVE_146_id_505,Access,seal,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,NESS ST_1382_id_5517,Access,seal,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
4,COURTNEY ROAD_19_id_116,Primary Collector,ac,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
5,MARONAN EALING ROAD_4215_id_370,Secondary Collector,seal,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6,MICHAEL STREET WEST_443_id_731,Low Volume,seal,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
7,LAYARD ST_446_id_5457,Primary Collector,seal,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
8,COMPANY ROAD_2524_id_135,Secondary Collector,seal,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
9,DALWOOD DR_147_id_3766,Access,ac,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
10,MAINWARINGS ROAD_9157_id_364,Access,seal,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
11,JONAS STREET_93_id_454,Secondary Collector,seal,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
12,TAURIKURA DRIVE (EASTBOUND)_785_id_2139,Arterial,ac,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
13,HILLVIEW RD_0_id_1152,Secondary Collector,seal,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
14,REDMOND STREET_206_id_490,Access,ac,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
15,SPEARGRASS GROVE (24-32)_00000,Low Volume,ac,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
16,RICHARD PEARSE DRIVE_726_id_773,Secondary Collector,seal,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
17,SYMES ROAD_105_id_671,Low Volume,seal,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
18,ARMAGH ST 1 WEST FITZGERALD AVE_576_id_116,Primary Collector,ac,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
19,BROCKWORTH PL 1 OFF DEANS AVE_145_id_363,Low Volume,block,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
20,RANDOLPH ST_365_id_1980,Access,seal,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
21,BLACK BEECH ST. SOUTH_00000,Low Volume,seal,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
22,GEORGE ST_0_id_5373,Access,seal,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
23,KELVIN ST_0_id_5434,Primary Collector,ac,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
24,STAUNTON RD_123_id_5186,Access,seal,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
25,TUARANGI ROAD_500_id_602,Low Volume,seal,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
26,STEAD ST_2315_id_5130,Arterial,ac,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
27,KERRIGAN CRESCENT_00003,Low Volume,ac,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
28,BANK ST_00000,Secondary Collector,seal,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
29,FORTH ST_130_id_5366,Secondary Collector,ac,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
30,TAIPARI STREET_593_id_568,Secondary Collector,seal,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
31,OLIVE STREET_7_id_289,Access,seal,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
32,CASHMERE RD 1 EAST HENDERSONS RD_1840_id_457,Arterial,ac,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
33,MARONAN ROAD_16550_id_371,Secondary Collector,seal,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
34,GALLAGHER DR_0_id_3989,Secondary Collector,seal,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
35,BEACH ROAD EAST_300_id_5069,Primary Collector,seal,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
36,LARK PLACE_5_id_2082,Low Volume,ac,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
