parameter,elem_index,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037
par_is_rehab_route,163,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
par_ac_ok,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
par_struc_remlife,163,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
par_pav_age,163,52.2,53.2,54.2,55.2,56.2,57.2,58.2,59.2,60.2,61.2,62.2,63.2,64.2,65.2,66.2,67.2
par_surf_mat,163,1CHIP4,1CHIP4,1CHIP4,1CHIP4,1CHIP4,1CHIP4,1CHIP4,1CHIP4,1CHIP4,1CHIP4,1CHIP4,1CHIP4,1CHIP4,1CHIP4,1CHIP4,1CHIP4
par_surf_class,163,seal,seal,seal,seal,seal,seal,seal,seal,seal,seal,seal,seal,seal,seal,seal,seal
par_surf_func,163,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
par_surf_thick,163,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
par_surf_layers,163,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
par_surf_age,163,29.3,0,1,2,3,4,5,6,7,8,9,10,0,1,2,3
par_surf_exp_life,163,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
par_surf_life_ach,163,293,0,10,20,30,40,50,60,70,80,90,100,0,10,20,30
par_surf_remain_life,163,-19.3,10,9,8,7,6,5,4,3,2,1,0,10,9,8,7
par_adt,163,350,357,364.1,371.4,378.9,386.4,394.2,402,410.1,418.3,426.6,435.2,443.9,452.8,461.8,471.1
par_heavy,163,17.5,17.8,18.2,18.6,18.9,19.3,19.7,20.1,20.5,20.9,21.3,21.8,22.2,22.6,23.1,23.6
par_flushing_aadi,163,29.3,8.58,8.58,8.58,8.58,8.58,8.58,8.58,8.58,8.58,8.58,8.58,8.59,8.59,8.59,8.59
par_flushing_init,163,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
par_flushing_t100,163,98.43,85.84,85.84,85.84,85.84,85.84,85.84,85.84,85.84,85.84,85.84,85.84,85.9,85.9,85.9,85.9
par_flushing_pct,163,0,0,0,0,0,0,0,0,0,0,1.5,1.63,0,0,0,0
par_scabbing_aadi,163,8.86,4.94,4.94,4.94,4.94,4.94,4.94,4.94,4.94,4.94,4.94,4.94,4.71,4.71,4.71,4.71
par_scabbing_init,163,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88
par_scabbing_t100,163,88.11,49.38,49.38,49.38,49.38,49.38,49.38,49.38,49.38,49.38,49.38,49.38,47.11,47.11,47.11,47.11
par_scabbing_pct,163,13.75,0,0,0,0,0,0.88,1.11,1.41,1.75,2.16,2.79,0,0,0,0
par_lt_cracks_aadi,163,3.26,7.42,7.42,7.42,7.42,7.42,7.42,7.42,7.42,7.42,7.42,7.42,7.29,7.29,7.29,7.29
par_lt_cracks_init,163,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
par_lt_cracks_t100,163,49.57,74.16,74.16,74.16,74.16,74.16,74.16,74.16,74.16,74.16,74.16,74.16,72.94,72.94,72.94,72.94
par_lt_cracks_pct,163,81.61,0,0,0,0,0,0,0,0,1.5,1.66,1.84,0,0,0,0
par_mesh_cracks_aadi,163,12.01,8.31,8.31,8.31,8.31,8.31,8.31,8.31,8.31,8.31,8.31,8.31,8.01,8.01,8.01,8.01
par_mesh_cracks_init,163,0.48,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88
par_mesh_cracks_t100,163,74.47,83.09,83.09,83.09,83.09,83.09,83.09,83.09,83.09,83.09,83.09,83.09,80.13,80.13,80.13,80.13
par_mesh_cracks_pct,163,12.74,0,0,0,0,0,0,0,0,0,0.88,1.02,0,0,0,0
par_shove_proba,163,0.09,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.13,0.13,0.13,0.14,0.13,0.13,0.13,0.13
par_shove_aadi,163,29.3,8.84,8.84,8.84,8.84,8.84,8.84,8.84,8.84,8.84,8.84,8.84,8.71,8.71,8.71,8.71
par_shove_init,163,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
par_shove_t100,163,91.23,88.44,88.44,88.44,88.44,88.44,88.44,88.44,88.44,88.44,88.44,88.44,87.11,87.11,87.11,87.11
par_shoving_pct,163,0,0,0,0,0,0,0,0,0,0,0.7,0.82,0,0,0,0
par_poth_proba,163,0.08,0.17,0.17,0.17,0.17,0.17,0.17,0.18,0.18,0.19,0.19,0.2,0.17,0.17,0.17,0.17
par_poth_aadi,163,12,8.28,8.28,8.28,8.28,8.28,8.28,8.28,8.28,8.28,8.28,8.28,8.26,8.26,8.26,8.26
par_poth_init,163,0.04,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
par_poth_t100,163,100.01,82.77,82.77,82.77,82.77,82.77,82.77,82.77,82.77,82.77,82.77,82.77,82.59,82.59,82.59,82.59
par_potholes_pct,163,0.03,0,0,0,0,0,0,0,0,0,0.1,0.24,0,0,0,0
par_rut,163,8,6,6.183,6.367,6.549,6.732,6.914,7.097,7.281,7.465,7.646,7.844,5.922,6.102,6.281,6.461
par_naasra,163,85,72.5,76.32,80.19,84.1,88.06,92.06,96.09,100.17,104.29,108.43,112.66,86.33,90.31,94.34,98.41
par_pdi,163,20.1491,0,0,0,0,0,0,0,0,0.3,0.82519,0.96579,0,0,0,0
par_sdi,163,7.9517,0,0,0,0,0,0.264,0.3344,0.42178,0.52613,1.23145,1.5145,0,0,0,0
par_obj,163,15.27014,0,0,0,0,0,0.1056,0.13376,0.16871,0.39045,0.9877,1.18527,0,0,0,0
par_maint_cost,163,15895,5086,5580,6122,6718,7372,8092,8885,9756,10716,37981,43583,7334,8064,8869,9754
treatment,-,-,ChipSeal,-,-,-,-,-,-,-,-,-,-,ChipSeal,-,-,-
