statistic,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036
number_of_obs,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
standard_deviation,9.82,5.46,5.38,5.77,6.13,5.93,5.35,5.2,5.03,5.1,4.71,4.61,4.89,5.18,5.45
coeff_of_variation(%),328.34,278.58,296.42,313.3,322.3,324.83,305.32,302,290.17,283.37,268.35,254.22,258.18,260.9,261.27
minimum_value,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.5th_percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5th_percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10th_percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15th_percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20th_percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25th_percentile,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0
median_value,0.08,0.2,0.3,0.42,0.53,0.51,0.36,0.3,0.29,0.32,0.36,0.44,0.45,0.39,0.26
mean_value,2.99,1.96,1.82,1.84,1.9,1.83,1.75,1.72,1.74,1.8,1.76,1.81,1.89,1.99,2.08
75th_percentile,1.16,0.82,0.78,0.89,1.01,1.15,1.25,1.38,1.52,1.7,1.72,1.7,1.61,1.58,1.49
80th_percentile,2.11,1.26,1.06,1.11,1.18,1.3,1.43,1.59,1.74,1.93,2.14,2.23,2.17,2.25,2.12
85th_percentile,3.59,2.53,1.64,1.65,1.61,1.67,1.73,1.86,2,2.23,2.54,2.83,3.05,3.33,3.39
90th_percentile,7.21,4.72,3.79,3.07,2.98,2.74,2.65,2.71,2.82,2.98,3.18,3.52,3.93,4.44,5.28
95th_percentile,15.61,12.2,9.85,8.57,9.04,8.2,8.23,7.49,7.99,8.83,6.89,7.55,7.26,8.21,9.22
97.5th_percentile,25.66,19.69,20.42,20.11,18.15,14.59,14.36,13.79,13.68,14.18,14.08,15.29,15.52,15.75,16.54
maximum_value,100,49.27,58.9,72.75,82.01,87.82,63.6,61.51,61.1,60.96,61.13,64.14,66.9,69.36,71.53
