statistic,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036
number_of_obs,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
standard_deviation,9.82,6.47,7.08,8.12,8.59,8.9,8.59,8.78,9.01,9.24,9.52,9.87,10.18,10.58,11
coeff_of_variation(%),328.34,248.17,246.11,246.12,242.07,234.89,224.18,217.55,208.8,199.69,192.54,183.16,173.85,165.76,158.89
minimum_value,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.5th_percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5th_percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10th_percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15th_percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20th_percentile,0,0.03,0.05,0.04,0.1,0,0,0,0,0,0,0,0,0,0
25th_percentile,0,0.11,0.18,0.19,0.23,0.22,0.18,0.13,0.11,0.11,0.11,0.11,0.11,0.11,0.11
median_value,0.08,0.26,0.44,0.58,0.78,0.99,1.14,1.32,1.54,1.81,2.05,2.4,2.68,3.07,3.36
mean_value,2.99,2.61,2.88,3.3,3.55,3.79,3.83,4.04,4.32,4.63,4.95,5.39,5.86,6.38,6.93
75th_percentile,1.16,1.28,1.4,1.7,2.05,2.22,2.43,2.75,3.21,3.66,4.25,5.1,6.05,7.18,8.41
80th_percentile,2.11,2.39,2.45,2.65,2.99,3.4,3.73,4.08,4.84,5.59,6.12,7,7.79,9.13,10.34
85th_percentile,3.59,3.91,4.2,4.95,5.24,5.72,6.18,6.41,7.22,8.09,9.21,10.12,11.21,12.14,13.33
90th_percentile,7.21,7.45,8.01,8.83,9.2,9.95,10.38,10.88,11.93,12.53,13.33,14.39,15.43,17.02,18.74
95th_percentile,15.61,14.4,15.57,17.44,18.26,19.06,19.05,18.99,20.87,22.61,23.96,26.17,28.03,29.77,31.29
97.5th_percentile,25.66,25.03,27.51,30.34,31.92,32.48,31.58,31,31.7,31.85,32.79,34.52,36.06,36.65,38.55
maximum_value,100,49.27,58.9,72.75,82.01,87.82,84.15,82.65,81.64,81.26,81.42,81.47,81.53,81.62,81.73
