statistic,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036
number_of_obs,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
standard_deviation,17.71,16.29,17.04,18.13,19.03,19.54,19.81,19.86,20,20.14,20.43,20.31,20.65,20.86,21.14
coeff_of_variation(%),255.28,265.49,267.8,268.53,269.97,274.28,274.32,275.17,274.54,272.12,269.46,268.35,268.17,267.4,266.58
minimum_value,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.5th_percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5th_percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10th_percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15th_percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20th_percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25th_percentile,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0
median_value,0.24,0.45,0.6,0.67,0.76,0.9,0.91,0.88,0.81,0.81,0.89,1.08,1.15,1.08,1.05
mean_value,6.94,6.13,6.36,6.75,7.05,7.12,7.22,7.22,7.29,7.4,7.58,7.57,7.7,7.8,7.93
75th_percentile,3.32,1.92,1.64,1.55,1.63,1.72,1.89,2.06,2.25,2.48,2.69,2.9,2.73,2.7,2.6
80th_percentile,6.35,3.44,2.58,2.35,2.36,2.23,2.32,2.52,2.72,3.05,3.31,3.63,3.83,4.15,3.97
85th_percentile,10.15,8.18,6.09,4.83,4.47,4.05,3.79,3.62,3.72,4.04,4.68,5.22,5.48,6.13,6.76
90th_percentile,20.7,20.99,22.5,23.88,24.17,24.93,25.37,22.34,23.78,25,25.11,15.4,14.5,16.82,17.27
95th_percentile,44.01,40.49,41.84,45.15,47.42,49.59,50.22,54.34,55.23,57.56,58.73,57.39,59.57,61.49,62.91
97.5th_percentile,66.96,59.88,66.64,70.39,80.81,84.28,87.11,85.42,88.24,88.46,89.55,89.05,91.38,93.1,93.72
maximum_value,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
