statistic,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036
number_of_obs,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
standard_deviation,9.82,6,6.57,7.45,8.02,8.41,8.51,8.09,8.06,8.06,8.13,8.13,8.28,8.37,8.5
coeff_of_variation(%),328.34,278.52,288.99,295.31,300.18,303.26,299.16,293.01,291.11,286.62,283.33,278.03,276.08,274.88,271.51
minimum_value,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.5th_percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5th_percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10th_percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15th_percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20th_percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25th_percentile,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0
median_value,0.08,0.2,0.31,0.43,0.55,0.56,0.47,0.44,0.36,0.33,0.37,0.45,0.52,0.43,0.42
mean_value,2.99,2.15,2.27,2.52,2.67,2.77,2.84,2.76,2.77,2.81,2.87,2.92,3,3.04,3.13
75th_percentile,1.16,0.82,0.78,0.89,1.02,1.16,1.3,1.45,1.58,1.75,1.85,1.85,1.73,1.72,1.68
80th_percentile,2.11,1.2,1.05,1.11,1.2,1.32,1.49,1.63,1.8,2.01,2.24,2.45,2.42,2.41,2.5
85th_percentile,3.59,2.46,1.63,1.65,1.65,1.76,1.92,1.96,2.15,2.34,2.65,3.03,3.31,3.67,3.85
90th_percentile,7.21,4.83,4.32,4.23,4.02,3.52,3.46,3.28,3.27,3.66,3.9,4.18,4.6,5.24,5.94
95th_percentile,15.61,13.83,15.57,19.79,19.49,20.26,21.65,18.41,18.47,18.5,17.74,18.23,19.34,19.59,18.97
97.5th_percentile,25.66,23.75,26.58,29.67,31.33,31.42,32.24,31.34,31.58,31.92,32.2,32.32,32.84,32.79,33.77
maximum_value,100,49.67,59.2,73.02,82.34,88.17,91.66,74.22,75.9,77.01,77.91,78.67,79.38,79.87,80.29
