statistic,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036
number_of_obs,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
standard_deviation,19.71,17.95,18.51,19.59,20.54,21.1,21.33,21.38,21.55,21.67,21.98,21.81,22.08,22.28,22.54
coeff_of_variation(%),252.96,259.51,261.04,260.32,261.39,264.43,264.15,265.45,266.09,264.44,262.16,262.79,263.17,263.31,262.58
minimum_value,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.5th_percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5th_percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10th_percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15th_percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20th_percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25th_percentile,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
median_value,0,0.21,0.41,0.63,0.8,0.99,1.11,1.06,1,1,1,1.06,1.06,1.05,1.06
mean_value,7.79,6.92,7.09,7.52,7.86,7.98,8.08,8.05,8.1,8.2,8.38,8.3,8.39,8.46,8.58
75th_percentile,3.53,1.89,1.5,1.51,1.66,1.76,1.96,2.13,2.3,2.62,2.93,2.97,2.72,2.51,2.44
80th_percentile,6.99,3.86,2.57,2.27,2.37,2.31,2.46,2.65,2.87,3.19,3.63,3.98,4.11,4.29,4.14
85th_percentile,11.86,9.21,7.06,5.6,5.19,4.63,4.12,3.98,4.01,4.43,4.93,5.72,6.16,7.08,7.5
90th_percentile,23.39,23.47,26.57,30.51,31.87,32.37,33.84,31.94,31.92,32.11,29.93,18.4,18.07,21.03,19.82
95th_percentile,50.02,51.34,51.56,58.08,60.03,63.95,67.01,67.5,67.39,67.52,67.68,68.41,68.72,69.46,69.7
97.5th_percentile,88.31,68.06,71.59,73,83.81,92,90.51,88.99,90.26,90.34,91.24,91.72,93.68,94.16,96.11
maximum_value,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
