statistic,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036
number_of_obs,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
standard_deviation,10.78,7.03,7.71,8.74,9.42,9.89,9.97,9.61,9.61,9.58,9.67,9.72,9.91,10.04,10.13
coeff_of_variation(%),315.77,278.99,288.5,294.67,300,302.94,299.01,296.17,295.28,291.23,288.64,285.85,284.05,283.91,280.51
minimum_value,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.5th_percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5th_percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10th_percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15th_percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20th_percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25th_percentile,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0
median_value,0,0.15,0.3,0.42,0.57,0.65,0.59,0.56,0.4,0.33,0.33,0.4,0.56,0.39,0.4
mean_value,3.41,2.52,2.67,2.97,3.14,3.26,3.33,3.25,3.25,3.29,3.35,3.4,3.49,3.54,3.61
75th_percentile,1.28,0.79,0.75,0.85,1,1.14,1.31,1.48,1.62,1.87,1.94,1.93,1.8,1.65,1.67
80th_percentile,2.5,1.37,1.05,1.13,1.23,1.34,1.53,1.69,1.86,2.08,2.38,2.63,2.58,2.73,2.52
85th_percentile,4.22,2.73,1.98,1.8,1.81,1.87,1.99,2.07,2.3,2.53,2.83,3.19,3.61,4.05,4.29
90th_percentile,8.49,5.91,5.45,4.79,4.49,4.22,4.29,4.01,3.85,4.07,4.64,4.8,5.29,5.89,6.52
95th_percentile,18.61,18.89,20.8,23.12,24.35,24.32,25.48,24.34,24.37,23.64,24.43,23.77,25.3,24.36,24.82
97.5th_percentile,32.69,27.14,29.56,32.27,33.08,34.69,35.37,34.89,34.68,35.28,35.84,35.63,36.11,36.97,38.46
maximum_value,100,52.41,59.55,69.22,80.25,87.96,88.81,90.84,93.05,94.56,95.75,96.73,97.59,98.15,98.57
