statistic,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036
number_of_obs,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
standard_deviation,1.72,1.76,1.81,1.87,1.95,2.08,2.21,2.42,2.64,2.86,3.12,3.38,3.74,4.11,4.52
coeff_of_variation(%),33.26,33.18,33.03,33.17,33.39,34.43,35.55,37.29,39.27,41.04,43.24,45.4,47.82,50.21,52.57
minimum_value,2,2.02,2.03,2.05,2.06,2.08,2.11,2.15,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.5th_percentile,3,3.13,2.43,2.52,2.6,2.63,2.61,2.6,2.65,2.65,2.6,2.62,2.65,2.67,2.69
5th_percentile,4,4.01,4.05,4.08,4.1,4.13,4.18,4.22,4.24,4.11,4.06,4,4,3.72,3.9
10th_percentile,4,4.06,4.12,4.18,4.24,4.31,4.39,4.46,4.54,4.6,4.6,4.64,4.66,4.68,4.67
15th_percentile,4,4.1,4.19,4.28,4.38,4.45,4.54,4.62,4.69,4.78,4.86,4.94,5,5.02,5.04
20th_percentile,4,4.11,4.22,4.33,4.44,4.54,4.64,4.75,4.84,4.93,5.03,5.13,5.21,5.27,5.28
25th_percentile,4,4.18,4.34,4.47,4.6,4.72,4.85,4.95,5.04,5.12,5.23,5.31,5.4,5.5,5.55
median_value,4.92,4.87,5.05,5.19,5.39,5.55,5.7,5.94,6.15,6.35,6.54,6.66,6.89,7.06,7.25
mean_value,5.17,5.32,5.48,5.65,5.84,6.04,6.23,6.48,6.72,6.96,7.21,7.45,7.83,8.18,8.6
75th_percentile,5.65,5.84,6.08,6.34,6.63,6.82,7.07,7.42,7.64,8.01,8.38,8.66,9.14,9.75,10.63
80th_percentile,6,6.18,6.35,6.57,6.88,7.18,7.44,7.85,8.27,8.66,8.99,9.39,10.16,10.81,11.71
85th_percentile,6.5,6.71,6.87,7.12,7.37,7.71,7.9,8.34,8.77,9.28,9.77,10.29,11.12,12,13.02
90th_percentile,7.02,7.28,7.49,7.71,8,8.33,8.69,9.23,9.73,10.24,10.57,11.07,11.92,12.84,14.07
95th_percentile,8.06,8.33,8.66,9,9.42,9.81,10.17,10.66,11.22,12.1,12.72,13.52,14.46,15.46,16.7
97.5th_percentile,9.21,9.35,9.66,10.02,10.36,11.15,11.74,12.65,13.17,13.79,15.18,16.07,17.93,18.76,20.27
maximum_value,22.5,22.65,22.81,22.99,23.19,23.42,23.69,24.68,26.25,28,29.95,30,30,30,30
