statistic,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036
number_of_obs,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
standard_deviation,16.93,15.38,16.23,17.29,18.13,18.48,18.76,18.8,18.91,19.03,19.27,19.13,19.49,19.66,19.94
coeff_of_variation(%),296.1,310.03,308.07,309.03,311.05,316.85,316.27,315.7,311.62,306.5,302.04,295.12,292.09,288.74,286.78
minimum_value,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.5th_percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5th_percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10th_percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15th_percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20th_percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25th_percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
median_value,0.07,0.2,0.36,0.51,0.71,0.88,0.88,0.88,0.88,0.88,1.11,1.14,1.16,1.14,1.13
mean_value,5.72,4.96,5.27,5.6,5.83,5.83,5.93,5.96,6.07,6.21,6.38,6.48,6.67,6.81,6.95
75th_percentile,1.99,1.3,1.28,1.36,1.45,1.55,1.69,1.84,2.05,2.23,2.46,2.6,2.78,2.75,2.79
80th_percentile,3.23,2.05,1.68,1.7,1.73,1.8,1.91,2.12,2.36,2.6,2.96,3.29,3.52,3.82,3.66
85th_percentile,7.41,3.74,3.3,3.02,2.99,2.49,2.44,2.61,2.88,3.29,3.61,4.23,4.51,5.04,5.34
90th_percentile,12.93,9.77,9.5,8.27,7.15,6.31,6.42,5.98,5.89,6.08,6.31,6.9,7.74,8.94,10.75
95th_percentile,35.71,31.66,36.46,43.71,43.7,44.63,48.02,52.44,50.85,48.87,51.09,53.86,55.86,55.86,56.96
97.5th_percentile,66.67,58.22,67.83,68.92,77.5,82.37,83.48,84.68,85.88,87.09,88.67,87.7,91.22,91.83,93.16
maximum_value,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
