statistic,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036
number_of_obs,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
standard_deviation,9.25,5.06,5.41,6.01,6.41,6.66,6.75,6.21,6.13,6.16,6.18,6.07,6.15,6.16,6.32
coeff_of_variation(%),392.93,315.04,322.47,323.7,325.38,326.51,320.11,305.03,300.38,293.47,287.88,274.98,271.62,267.16,262.85
minimum_value,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.5th_percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5th_percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10th_percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15th_percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20th_percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25th_percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
median_value,0.02,0.12,0.25,0.37,0.36,0.33,0.33,0.3,0.26,0.34,0.35,0.42,0.46,0.41,0.42
mean_value,2.35,1.6,1.68,1.86,1.97,2.04,2.11,2.03,2.04,2.1,2.15,2.21,2.26,2.31,2.4
75th_percentile,0.66,0.58,0.69,0.81,0.95,1.06,1.16,1.27,1.42,1.59,1.63,1.64,1.6,1.69,1.7
80th_percentile,1.07,0.83,0.87,0.96,1.08,1.21,1.33,1.45,1.61,1.78,1.98,2.09,2.07,2.17,2.18
85th_percentile,2.4,1.27,1.17,1.22,1.31,1.39,1.57,1.68,1.86,2.07,2.28,2.59,2.77,2.97,3.07
90th_percentile,4.4,2.83,2.11,1.94,2.03,2.17,2.4,2.24,2.46,2.56,2.83,3.21,3.59,4.15,4.75
95th_percentile,11.38,9.32,9.17,12.81,12.58,12.67,13.05,9.34,9.3,8.35,8.83,10.32,10.07,10.7,11.82
97.5th_percentile,22.22,19.18,21.82,23.81,25.35,26.87,27.42,26.31,26.86,28.33,28.46,28.25,28.72,27.53,26.83
maximum_value,100,67.93,76.35,85.29,90.94,94.13,95.94,61.49,60.95,60.77,61.1,51.58,52.06,52.44,52.87
